uid,source,group,dataset,model,tokens,types,type_token_ratio,mattr
fakebr:1176,fakebr,human,fakebr_human,,133,82,0.6165413533834586,0.8026190476190476
fakebr:1176,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,288,181,0.6284722222222222,0.8638493723849372
fakebr:1253,fakebr,human,fakebr_human,,323,191,0.5913312693498453,0.8626277372262774
fakebr:1253,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,246,153,0.6219512195121951,0.8731979695431472
fakebr:1337,fakebr,human,fakebr_human,,61,47,0.7704918032786885,0.7933333333333333
fakebr:1337,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,272,159,0.5845588235294118,0.8549775784753363
fakebr:1386,fakebr,human,fakebr_human,,201,126,0.6268656716417911,0.8303947368421053
fakebr:1386,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,269,152,0.5650557620817844,0.8321818181818181
fakebr:1528,fakebr,human,fakebr_human,,240,131,0.5458333333333333,0.8231413612565445
fakebr:1528,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,188,115,0.6117021276595744,0.8233093525179856
fakebr:1782,fakebr,human,fakebr_human,,72,53,0.7361111111111112,0.8356521739130435
fakebr:1782,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,279,187,0.6702508960573477,0.8592173913043478
fakebr:1863,fakebr,human,fakebr_human,,543,245,0.45119705340699817,0.8021457489878543
fakebr:1863,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,275,162,0.5890909090909091,0.8529203539823009
fakebr:1885,fakebr,human,fakebr_human,,300,186,0.62,0.8518725099601594
fakebr:1885,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,222,148,0.6666666666666666,0.869942196531792
fakebr:299,fakebr,human,fakebr_human,,141,95,0.6737588652482269,0.8495652173913043
fakebr:299,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,260,167,0.6423076923076924,0.8669194312796209
fakebr:3165,fakebr,human,fakebr_human,,121,91,0.7520661157024794,0.8702777777777778
fakebr:3165,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,221,143,0.6470588235294118,0.862906976744186
fakebr:378,fakebr,human,fakebr_human,,130,97,0.7461538461538462,0.8955555555555555
fakebr:378,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,276,161,0.5833333333333334,0.8720704845814978
fakebr:433,fakebr,human,fakebr_human,,205,133,0.6487804878048781,0.86
fakebr:433,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,251,166,0.6613545816733067,0.8966336633663367
fakebr:719,fakebr,human,fakebr_human,,211,132,0.6255924170616114,0.845679012345679
fakebr:719,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,267,165,0.6179775280898876,0.8823853211009174
fakebr:963,fakebr,human,fakebr_human,,317,186,0.5867507886435331,0.8444776119402985
fakebr:963,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,276,179,0.6485507246376812,0.8773568281938326
faketruebr:1315,faketruebr,human,faketruebr_human,,78,56,0.717948717948718,0.8455172413793104
faketruebr:1315,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,310,185,0.5967741935483871,0.8455938697318007
faketruebr:1636,faketruebr,human,faketruebr_human,,108,75,0.6944444444444444,0.7806779661016949
faketruebr:1636,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,278,168,0.60431654676259,0.8549344978165939
faketruebr:1683,faketruebr,human,faketruebr_human,,160,93,0.58125,0.7951351351351351
faketruebr:1683,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,198,133,0.6717171717171717,0.8416107382550335
faketruebr:446,faketruebr,human,faketruebr_human,,73,54,0.7397260273972602,0.8325
faketruebr:446,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,250,142,0.568,0.8013930348258707
faketruebr:664,faketruebr,human,faketruebr_human,,42,31,0.7380952380952381,
faketruebr:664,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,243,144,0.5925925925925926,0.8428865979381444
faketruebr:673,faketruebr,human,faketruebr_human,,158,85,0.5379746835443038,0.7299082568807339
faketruebr:673,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,287,183,0.6376306620209059,0.8670588235294118
