uid,source,group,dataset,model,word_count,matched_words,dictionary_coverage,function (Function Words),pronoun (Pronouns),ppron (Personal Pronouns),i (I),we (We),you (You),shehe (SheHe),they (They),ipron (Impersonal Pronouns),article (Articles),prep (Prepositions),auxverb (Auxiliary Verbs),adverb (Adverbs),conj (Conjunctions),negate (Negations),verb (Verbs),adj (Adjectives),compare (Comparisons),interrog (Interrogatives),number (Numbers),quant (Quantifiers),affect (Affect),posemo (Positive Emotions),negemo (Negative Emotions),anx (Anx),anger (Anger),sad (Sad),social (Social),family (Family),friend (Friends),female (Female),male (Male),cogproc (Cognitive Processes),insight (Insight),cause (Causal),discrep (Discrepancies),tentat (Tentative),certain (Certainty),differ (Differentiation),percept (Perceptual Processes),see (See),hear (Hear),feel (Feel),bio (Biological Processes),body (Body),health (Health),sexual (Sexual),ingest (Ingest),drives (Drives),affiliation (Affiliation),achieve (Achievement),power (Power),reward (Reward),risk (Risk),focuspast (Past Focus),focuspresent (Present Focus),focusfuture (Future Focus),relativ (Relativity),motion (Motion),space (Space),time (Time),work (Work),leisure (Leisure),home (Home),money (Money),relig (Religion),death (Death),informal (Informal Language),swear (Swear),netspeak (Netspeak),assent (Assent),nonflu (Nonfluencies),filler (Filler Words)
fakebr:1176,fakebr,human,fakebr_human,,135,94,69.62962962962963,49.629629629629626,16.296296296296298,10.37037037037037,2.962962962962963,0.0,1.4814814814814814,5.925925925925926,0.0,11.11111111111111,14.074074074074074,20.74074074074074,4.444444444444445,11.11111111111111,5.925925925925926,3.7037037037037037,11.851851851851851,1.4814814814814814,0.7407407407407407,3.7037037037037037,1.4814814814814814,1.4814814814814814,4.444444444444445,1.4814814814814814,2.962962962962963,0.0,1.4814814814814814,0.0,6.666666666666667,0.0,0.0,0.0,0.7407407407407407,11.11111111111111,2.2222222222222223,2.962962962962963,0.7407407407407407,1.4814814814814814,2.2222222222222223,2.2222222222222223,5.185185185185185,0.7407407407407407,3.7037037037037037,0.7407407407407407,2.962962962962963,0.0,2.2222222222222223,0.0,0.7407407407407407,5.925925925925926,1.4814814814814814,0.7407407407407407,0.7407407407407407,2.2222222222222223,2.962962962962963,0.7407407407407407,9.62962962962963,0.7407407407407407,13.333333333333334,4.444444444444445,5.185185185185185,6.666666666666667,0.7407407407407407,1.4814814814814814,0.0,0.0,0.0,0.0,1.4814814814814814,0.0,0.7407407407407407,0.7407407407407407,0.0,0.0
fakebr:1176,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,292,206,70.54794520547945,42.80821917808219,17.80821917808219,9.58904109589041,0.0,0.3424657534246575,1.0273972602739727,8.219178082191782,2.0547945205479454,15.068493150684931,14.383561643835616,19.17808219178082,4.4520547945205475,9.58904109589041,8.904109589041095,1.7123287671232876,6.8493150684931505,6.164383561643835,1.0273972602739727,3.767123287671233,3.0821917808219177,0.3424657534246575,5.821917808219178,3.0821917808219177,2.73972602739726,0.3424657534246575,1.36986301369863,0.0,5.821917808219178,1.0273972602739727,1.36986301369863,0.3424657534246575,0.3424657534246575,9.246575342465754,2.3972602739726026,1.7123287671232876,0.0,1.36986301369863,1.7123287671232876,2.0547945205479454,1.7123287671232876,1.0273972602739727,0.0,0.684931506849315,1.36986301369863,0.0,1.36986301369863,0.0,0.0,10.273972602739725,1.36986301369863,1.36986301369863,5.821917808219178,1.36986301369863,1.36986301369863,0.3424657534246575,4.4520547945205475,0.0,11.301369863013699,1.36986301369863,6.8493150684931505,5.136986301369863,6.506849315068493,0.0,0.0,0.684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1253,fakebr,human,fakebr_human,,327,225,68.80733944954129,44.95412844036697,16.513761467889907,6.72782874617737,0.0,0.0,0.3058103975535168,5.81039755351682,0.6116207951070336,14.678899082568808,10.703363914373089,12.232415902140673,7.339449541284404,13.45565749235474,11.009174311926605,5.504587155963303,14.984709480122325,3.669724770642202,1.529051987767584,7.033639143730887,3.669724770642202,3.058103975535168,5.198776758409786,1.529051987767584,3.669724770642202,0.9174311926605505,0.3058103975535168,1.834862385321101,5.504587155963303,0.0,0.0,0.0,0.9174311926605505,18.654434250764528,2.140672782874618,3.058103975535168,2.4464831804281344,5.81039755351682,1.834862385321101,6.116207951070336,2.4464831804281344,0.3058103975535168,1.834862385321101,0.3058103975535168,0.9174311926605505,0.0,0.0,0.0,0.9174311926605505,7.6452599388379205,0.0,0.9174311926605505,4.281345565749236,0.9174311926605505,3.363914373088685,1.529051987767584,7.033639143730887,3.669724770642202,10.091743119266056,3.9755351681957185,4.892966360856269,2.4464831804281344,3.058103975535168,0.3058103975535168,0.0,0.6116207951070336,0.3058103975535168,1.529051987767584,0.3058103975535168,0.0,0.0,0.3058103975535168,0.0,0.0
fakebr:1253,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,250,168,67.2,43.6,16.8,9.2,0.0,0.4,1.2,8.0,2.0,14.0,15.2,20.4,4.0,9.6,9.6,0.4,8.8,5.6,2.0,5.2,2.8,0.4,7.2,4.0,3.2,1.6,1.2,0.0,8.8,1.6,1.2,0.4,2.0,10.0,2.8,3.6,1.2,1.2,1.6,1.2,0.8,0.0,0.4,0.4,0.4,0.0,0.0,0.0,0.4,13.2,2.4,1.2,7.2,2.0,3.6,0.8,6.0,0.8,10.8,3.2,7.2,5.6,4.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1337,fakebr,human,fakebr_human,,61,45,73.77049180327869,40.98360655737705,16.39344262295082,13.114754098360656,0.0,0.0,0.0,9.836065573770492,3.278688524590164,13.114754098360656,14.754098360655737,24.59016393442623,1.639344262295082,6.557377049180328,3.278688524590164,3.278688524590164,11.475409836065573,3.278688524590164,1.639344262295082,1.639344262295082,0.0,1.639344262295082,3.278688524590164,0.0,3.278688524590164,0.0,1.639344262295082,1.639344262295082,1.639344262295082,0.0,0.0,0.0,1.639344262295082,4.918032786885246,0.0,1.639344262295082,0.0,0.0,0.0,3.278688524590164,3.278688524590164,1.639344262295082,0.0,1.639344262295082,0.0,0.0,0.0,0.0,0.0,19.672131147540984,0.0,0.0,18.0327868852459,1.639344262295082,1.639344262295082,3.278688524590164,6.557377049180328,0.0,18.0327868852459,6.557377049180328,13.114754098360656,1.639344262295082,8.19672131147541,1.639344262295082,1.639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1337,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,279,201,72.04301075268818,43.369175627240146,13.261648745519713,8.243727598566307,0.0,0.35842293906810035,0.0,7.168458781362007,0.7168458781362007,12.186379928315413,17.204301075268816,24.372759856630825,2.5089605734767026,9.67741935483871,7.885304659498208,1.7921146953405018,8.960573476702509,3.942652329749104,3.5842293906810037,3.5842293906810037,1.4336917562724014,1.075268817204301,3.225806451612903,2.150537634408602,1.075268817204301,0.0,1.075268817204301,0.0,3.942652329749104,0.0,0.35842293906810035,0.0,1.075268817204301,8.960573476702509,1.075268817204301,2.867383512544803,1.075268817204301,0.7168458781362007,1.4336917562724014,2.5089605734767026,1.4336917562724014,0.35842293906810035,0.35842293906810035,0.7168458781362007,1.4336917562724014,0.0,0.35842293906810035,0.0,1.075268817204301,15.053763440860216,1.7921146953405018,1.4336917562724014,9.31899641577061,3.225806451612903,1.7921146953405018,0.35842293906810035,6.093189964157706,0.35842293906810035,16.487455197132615,4.301075268817204,7.168458781362007,9.31899641577061,8.960573476702509,0.0,0.35842293906810035,1.7921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1386,fakebr,human,fakebr_human,,205,146,71.21951219512195,43.90243902439025,19.024390243902438,12.195121951219512,1.4634146341463414,0.0,0.4878048780487805,10.24390243902439,0.975609756097561,15.121951219512194,10.731707317073171,19.51219512195122,3.902439024390244,10.731707317073171,9.268292682926829,1.4634146341463414,13.170731707317072,1.4634146341463414,1.4634146341463414,6.829268292682927,2.4390243902439024,0.4878048780487805,0.975609756097561,0.975609756097561,0.0,0.0,0.0,0.0,7.804878048780488,0.4878048780487805,0.0,1.4634146341463414,1.951219512195122,14.634146341463415,3.4146341463414633,4.390243902439025,2.4390243902439024,1.951219512195122,1.951219512195122,2.926829268292683,3.4146341463414633,1.951219512195122,0.975609756097561,0.4878048780487805,0.4878048780487805,0.0,0.0,0.0,0.4878048780487805,7.804878048780488,1.4634146341463414,0.0,4.390243902439025,1.951219512195122,1.951219512195122,4.878048780487805,5.365853658536586,1.951219512195122,11.707317073170731,7.317073170731708,4.878048780487805,4.390243902439025,6.341463414634147,0.4878048780487805,0.0,3.4146341463414633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1386,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,277,187,67.50902527075812,43.68231046931408,12.99638989169675,8.664259927797834,0.0,0.0,0.36101083032490977,6.859205776173285,2.1660649819494586,10.830324909747292,15.884476534296029,24.548736462093864,2.527075812274368,7.9422382671480145,7.581227436823105,1.0830324909747293,6.137184115523466,4.693140794223827,1.444043321299639,2.888086642599278,3.2490974729241877,0.0,3.9711191335740073,2.888086642599278,1.0830324909747293,0.0,1.0830324909747293,0.0,6.137184115523466,0.7220216606498195,0.7220216606498195,0.0,1.0830324909747293,9.747292418772563,1.444043321299639,3.6101083032490973,1.0830324909747293,1.0830324909747293,0.36101083032490977,2.888086642599278,1.8050541516245486,1.444043321299639,0.36101083032490977,0.0,0.0,0.0,0.0,0.0,0.0,12.274368231046932,3.6101083032490973,1.444043321299639,5.776173285198556,3.2490974729241877,1.8050541516245486,0.7220216606498195,3.2490974729241877,1.0830324909747293,11.552346570397113,3.2490974729241877,7.581227436823105,5.054151624548736,6.137184115523466,0.36101083032490977,0.0,2.1660649819494586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1528,fakebr,human,fakebr_human,,245,182,74.28571428571429,46.53061224489796,18.775510204081634,12.653061224489797,0.0,0.0,0.40816326530612246,12.244897959183673,0.8163265306122449,17.551020408163264,19.183673469387756,24.489795918367346,2.857142857142857,8.979591836734693,6.122448979591836,2.4489795918367347,10.204081632653061,0.40816326530612246,1.6326530612244898,3.673469387755102,2.4489795918367347,0.8163265306122449,4.489795918367347,0.8163265306122449,3.673469387755102,0.40816326530612246,1.2244897959183674,0.0,8.979591836734693,2.857142857142857,0.40816326530612246,3.673469387755102,0.8163265306122449,10.204081632653061,1.6326530612244898,2.4489795918367347,2.4489795918367347,2.0408163265306123,0.8163265306122449,4.081632653061225,0.8163265306122449,0.40816326530612246,0.40816326530612246,0.0,2.857142857142857,1.2244897959183674,1.6326530612244898,0.40816326530612246,0.0,7.755102040816326,2.4489795918367347,0.40816326530612246,3.2653061224489797,0.8163265306122449,2.0408163265306123,6.122448979591836,2.4489795918367347,2.0408163265306123,11.428571428571429,4.081632653061225,4.081632653061225,5.3061224489795915,4.081632653061225,0.0,0.40816326530612246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fakebr:1528,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,188,134,71.27659574468085,42.5531914893617,16.48936170212766,9.574468085106384,0.0,0.0,0.0,7.9787234042553195,1.5957446808510638,14.893617021276595,15.957446808510639,18.085106382978722,3.723404255319149,9.042553191489361,10.638297872340425,1.5957446808510638,8.51063829787234,6.382978723404255,1.5957446808510638,6.382978723404255,1.0638297872340425,1.0638297872340425,6.914893617021277,1.5957446808510638,5.319148936170213,0.0,2.127659574468085,0.0,4.787234042553192,0.0,0.0,2.127659574468085,0.0,10.638297872340425,2.6595744680851063,2.6595744680851063,1.5957446808510638,2.127659574468085,0.0,3.723404255319149,0.5319148936170213,0.5319148936170213,0.5319148936170213,0.5319148936170213,3.1914893617021276,1.5957446808510638,1.0638297872340425,0.0,0.5319148936170213,9.042553191489361,1.0638297872340425,0.5319148936170213,5.851063829787234,1.5957446808510638,1.5957446808510638,1.0638297872340425,7.446808510638298,0.5319148936170213,8.51063829787234,1.5957446808510638,6.382978723404255,3.723404255319149,3.1914893617021276,0.5319148936170213,1.0638297872340425,1.5957446808510638,0.0,1.5957446808510638,0.5319148936170213,0.0,0.0,0.5319148936170213,0.0,0.0
