metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size,q_value,significant_fdr_005
focuspast (Past Focus),20,3.2364898920063667,1.9167152209166511,20,0.9859072608004821,0.7298841514216663,0.21025057816361414,0.03520248658760129,4.907361629824463,1.7724546845941026e-05,356.0,2.5914568817131204e-05,1.5518440052361386,large,0.001917678092467709,True
risk (Risk),20,1.3962098973900778,1.032231881650682,20,2.494971065821735,0.8864877772405549,0.3476754839514462,0.04868948864076178,-3.611374129474586,0.0008776066020764191,87.5,0.0024348976183990404,-1.142016773214751,large,0.05794989233506311,False
verb (Verbs),20,10.766987641378364,3.4444913179096406,20,7.494259278342279,2.16611490909809,0.39977228004164606,0.2018969597428919,3.5969940358858494,0.0009144763867542721,310.0,0.0030524933193512137,1.1374693883440719,large,0.05794989233506311,False
percept (Perceptual Processes),20,3.4330247665758464,2.3510371857016557,20,1.5177612114164958,1.0897420358104888,0.19805412697146613,0.07724680882413089,3.3053947240231345,0.0020768725949835433,305.0,0.004698639919059171,1.0452575893816785,large,0.05794989233506311,False
male (Male),20,1.6310403689249955,1.3397791040937352,20,0.6091229655273774,0.7195543972653281,0.0231506653365379,0.0013944419952790295,3.0051412631442753,0.004682174667972829,309.0,0.0031613750300513587,0.9503091082091327,large,0.05794989233506311,False
adj (Adjectives),20,3.1676459309356266,2.1775117611966324,20,4.804425735760334,1.4350693535839008,0.013261549103870967,0.4045693912970404,-2.8068516424004635,0.007849784304967371,94.0,0.0043201840403311225,-0.8876044244169912,large,0.05794989233506311,False
work (Work),20,3.135882760267811,1.9951444936139773,20,4.806545835516522,2.077149146225264,0.4582161151505877,0.5124591283218393,-2.5941300628545583,0.013396931649007555,110.0,0.015473767614636978,-0.8203359545336163,large,0.11213555572694404,False
feel (Feel),20,1.2425729081368921,1.5827481126807934,20,0.3703440879519679,0.5256209915839682,0.00038568268360630257,0.00016864563350744101,2.3389240753889906,0.02469892222913059,270.0,0.04862862879425389,0.7396327352432587,medium,0.1799259265387394,False
hear (Hear),20,1.0742057841517658,1.362848912941575,20,0.35042942192919496,0.3918418396973727,0.0007863974475149099,0.002203722230828853,2.2825718655785567,0.02814033493152463,258.0,0.10792797397439308,0.721812601824793,medium,0.3128462132698859,False
informal (Informal Language),20,0.6309409180430932,0.8560860254602387,20,0.15553035036785925,0.41692346750204223,0.00031046307238084695,8.943601756726171e-08,2.232800881420177,0.03153072251255671,278.0,0.015912657246491123,0.7060736346919292,medium,0.11213555572694404,False
prep (Prepositions),20,18.820024716693297,3.0083282557576374,20,20.685454550912727,2.244867586555885,0.6155285142830353,0.06611536035505056,-2.222524705997095,0.032274527054698965,122.5,0.037255365853716145,-0.7028240226946909,medium,0.16539892527799757,False
i (I),20,0.5732643746771163,1.0166957437954376,20,0.06562784349408554,0.22410367423562527,5.147398515613895e-06,1.4419972743452e-08,2.1805935417994857,0.03547404511710276,245.0,0.0849219680962746,0.6895642243139957,medium,0.26184273496351335,False
assent (Assent),20,0.2553828917924439,0.4021417274374926,20,0.04708754795953959,0.14627916915408093,3.493766050986761e-05,2.236392142522419e-08,2.1768671716158328,0.03577156547357373,254.0,0.047806843114383386,0.6883858425954673,medium,0.1799259265387394,False
drives (Drives),20,9.10543294046203,4.019037193739065,20,11.38549939997728,2.4723039522990935,0.2737781975768706,0.44411926374067845,-2.160984605266709,0.037064612481539284,111.0,0.016668798824275466,-0.6833633341202698,medium,0.11213555572694404,False
quant (Quantifiers),20,1.5435330896470905,1.1426865968327065,20,0.9341621959115362,0.5803802591073799,0.43206720898954876,0.29331227935945914,2.126347520129881,0.04002889150552153,267.5,0.06979995650839597,0.6724101260661155,medium,0.23478167189187737,False
motion (Motion),20,4.865734370357938,1.8725590008786879,20,3.6690868452187764,1.6991779680886965,0.731416464061049,0.5219013650090524,2.116438706197956,0.04091450614866962,276.0,0.04111409777024763,0.6692766839725464,medium,0.16902462416657357,False
ppron (Personal Pronouns),20,10.506474151633698,3.079920460164569,20,8.936662930754045,1.2458586253244055,0.201865660510764,0.9746850355325319,2.1130792291157596,0.0412186589107847,283.0,0.025632348562057285,0.6682143240398587,medium,0.13548527097087423,False
sad (Sad),20,0.5395111194675426,0.7631101605574256,20,0.17540489584557045,0.3185183362295028,6.768114822466505e-05,4.859679280939126e-06,1.969161766478787,0.05625808431348327,243.0,0.18613038873409704,0.6227036263393569,medium,0.3624644412190311,False
anx (Anx),20,0.25287584560575993,0.45743737088222436,20,0.600406980785645,0.6611725586365641,4.696361932605274e-06,0.0014218419270056396,-1.9331194076574423,0.060698167343858224,122.0,0.02502955107652578,-0.611306031727306,medium,0.13548527097087423,False
time (Time),20,4.412015092055888,2.2482934135828985,20,5.6372648565081,1.78704599147798,0.35614512402199816,0.02416074206978259,-1.9079013266651905,0.06398149954127087,150.5,0.18497927889773091,-0.6033313743118945,medium,0.3624644412190311,False
conj (Conjunctions),20,7.778162934732222,2.157666065286403,20,8.807294902169298,1.1819624133373126,0.8000677026832814,0.16201703176591936,-1.8707535875584518,0.06909518812970043,145.0,0.14041971470550127,-0.5915842277615943,medium,0.35831237545541705,False
space (Space),20,6.768542953068876,3.5340908839850607,20,8.290541610666407,1.8972670545803219,0.009251968895455903,0.9876476427311957,-1.6969109965890408,0.0978912425410333,111.0,0.016668798824275466,-0.5366103735807584,medium,0.11213555572694404,False
posemo (Positive Emotions),20,1.7433743074517287,1.5325711313254107,20,2.3932481565491988,0.8431553764560487,0.03069256631259327,0.8560445734820035,-1.661520415408615,0.10483853941034711,115.5,0.023041819576614553,-0.5254188891560349,medium,0.13548527097087423,False
negate (Negations),20,1.8832922664890563,1.7896975282422614,20,1.2409945841756505,0.631525489922455,0.02602835697071813,0.9455808142793483,1.513523061324301,0.13842053585593148,221.5,0.5693651553415692,0.4786180164975492,small,0.7507859778040694,False
body (Body),20,0.13422084839107865,0.322007420173181,20,0.31993995571876793,0.44908816443123695,2.9114005396199674e-07,9.549814058349448e-05,-1.5030005576744072,0.1411047831320933,139.0,0.054706532177277,-0.47529050867543937,small,0.19277539910088085,False
female (Female),20,0.7512908925767638,1.2376149145567739,20,0.3077730570426499,0.47905814005073805,1.6603944907530672e-05,3.0945334766891135e-06,1.4945942420146183,0.14327895907941904,206.0,0.8722140212874756,0.472632198253912,small,0.9566824726092387,False
family (Family),20,0.7495345250562577,1.018093489445246,20,0.3687803841746794,0.5130563808043792,0.00017476788473469768,0.000196651423769537,1.493589286129677,0.143540655876805,225.0,0.4679671261968982,0.47231440329947144,small,0.7367993050759674,False
interrog (Interrogatives),20,3.6757278869845917,1.4141391056075383,20,4.280601509903329,1.138694263123799,0.039102997724026936,0.1792401379971218,-1.4899056495454994,0.1445031586790337,135.0,0.08101749756106373,-0.4711495351316391,small,0.26066499215298766,False
achieve (Achievement),20,1.0483622757955748,1.2003035959180879,20,1.5084769270778309,0.70670799989056,0.0016484266352635817,0.09213806427306576,-1.4772763206107538,0.14784218232540478,123.0,0.03799705040170215,-0.4671557906563127,small,0.16539892527799757,False
leisure (Leisure),20,1.247301747983562,1.4710828853876983,20,0.6939464837433721,1.0429689853223403,0.0023734626605011,4.858489838451606e-05,1.3723108974456588,0.17801335762588055,248.5,0.17324782660117422,0.43396280937980264,small,0.3624644412190311,False
reward (Reward),20,1.7685233133039886,1.0912068150892094,20,2.221723650613315,1.012226744030693,0.31216608977297006,0.40535022646488567,-1.3617127030700142,0.18130768732671687,154.5,0.22339898692914262,-0.4306113660485804,small,0.4132881258189139,False
pronoun (Pronouns),20,17.924708999781288,4.411251570968194,20,16.47430508617158,1.8198732975081373,0.789713724357302,0.7970552906896113,1.3592900988096464,0.1820672938185606,253.5,0.15163242012515,0.4298452713153814,small,0.3624644412190311,False
