rule,human_count,machine_count,human_docs,machine_docs,total_count
NOUN(*),617,1291,20,20,1908
PROPN(*),94,331,11,20,425
VERB(*),135,265,19,20,400
"NOUN(*, NOUN/nmod:de)",118,235,19,20,353
PRON(*),79,171,16,20,250
"NOUN(*, PROPN/nmod:de)",39,87,9,18,126
"VERB(NOUN/nsubj, *)",16,92,11,20,108
ADP(*),36,65,12,15,101
"NOUN(*, PRON/ref)",11,82,6,19,93
"VERB(*, NOUN/obl:em)",23,53,13,17,76
"NOUN(*, NOUN/nmod:em)",21,32,15,16,53
NUM(*),16,36,8,13,52
ADJ(*),25,16,10,8,41
"NOUN(*, NOUN/conj:e)",17,23,9,11,40
"NOUN(ADP/case, *)",18,19,9,11,37
"VERB(*, VERB/conj:e)",9,23,7,10,32
"VERB(*, VERB/advcl:para)",5,20,4,14,25
SYM(*),6,19,5,8,25
"VERB(*, NOUN/obl:de)",11,14,8,11,25
"VERB(*, NOUN/obl:com)",6,17,5,13,23
"NOUN(*, PROPN/nmod:em)",1,19,1,10,20
"ADV(*, NOUN/obl:de)",2,18,2,11,20
"NOUN(*, NOUN/nmod:a)",9,10,7,9,19
"NOUN(*, NOUN/nmod:de, NOUN/nmod:de)",8,11,5,10,19
"VERB(NOUN/obl:em, *)",10,9,8,8,19
"NOUN(ADP/case, *, NOUN/nmod:de)",7,11,5,5,18
"VERB(NOUN/nsubj, *, NOUN/obl:em)",4,14,4,11,18
ADV(*),7,10,4,7,17
"PROPN(*, PROPN/conj:e)",4,12,3,8,16
"VERB(*, NOUN/obl:a)",6,10,5,7,16
"NOUN(*, NOUN/nmod:com)",3,12,3,10,15
SCONJ(*),3,12,3,7,15
"VERB(NOUN/nsubj:pass, *)",3,12,3,12,15
"VERB(PROPN/nsubj, *)",4,10,3,7,14
"NOUN(*, VERB/acl:para)",5,9,5,7,14
"PRON(*, PRON/ref)",8,6,7,5,14
"VERB(*, PROPN/obl:em)",4,9,3,7,13
"VERB(PRON/nsubj, *)",8,5,5,5,13
"NUM(*, NOUN/nmod:de)",3,9,2,7,12
"PROPN(ADP/case, *)",1,11,1,5,12
"SYM(*, NOUN/nmod:de)",9,3,4,3,12
"VERB(*, VERB/conj:mas)",4,8,4,6,12
AUX(*),6,5,6,4,11
"NOUN(*, NUM/nmod:de)",6,5,5,4,11
"VERB(*, NOUN/obl:por)",2,9,2,6,11
"NOUN(*, NOUN/nmod:sobre)",0,10,0,7,10
"NOUN(*, NOUN/nmod:para)",4,6,4,4,10
"VERB(*, NOUN/obl:para)",3,7,3,5,10
"VERB(*, NOUN/obl:como)",1,8,1,7,9
"VERB(*, NOUN/obj)",5,4,4,3,9
"NOUN(*, NOUN/nmod:de, NOUN/nmod:em)",2,7,2,5,9
"NOUN(*, NOUN/conj:e, NOUN/conj:e)",4,4,3,4,8
*(NOUN),3,5,3,3,8
