rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
ADJ(*),0.04812168938254598,0.02076381629483013,0.027357873087715853,0.027357873087715853,10,8,50.0,40.0,246.0,0.17771593574477507,0.6280956167094408,medium,human,0.44080417125935634,False
"SYM(*, NOUN/nmod:de)",0.02654743154277477,0.0056643210687621634,0.020883110474012607,0.020883110474012607,4,3,20.0,15.0,216.0,0.5266974367880024,0.3690214430420272,small,human,0.7510315302347441,False
"NOUN(*, NOUN/conj:e)",0.038891033395126486,0.01975315391220484,0.019137879482921647,0.019137879482921647,9,11,45.0,55.0,217.5,0.6230473406637338,0.4643344359490234,small,human,0.8271490557087501,False
"NOUN(ADP/case, *)",0.03954798645601777,0.020706929378157914,0.01884105707785986,0.01884105707785986,9,11,45.0,55.0,213.5,0.7070057149209512,0.4249507799360952,small,human,0.8650594931330305,False
"VERB(NOUN/obl:em, *)",0.027306549117582797,0.010122978532241287,0.01718357058534151,0.01718357058534151,8,8,40.0,40.0,228.0,0.40091102134372203,0.5961615937491553,medium,human,0.7156462093724988,False
"VERB(PRON/nsubj, *)",0.01966491048192833,0.008118336696303557,0.011546573785624775,0.011546573785624775,5,5,25.0,25.0,211.5,0.695599738449454,0.3971678379940306,small,human,0.8650594931330305,False
"NOUN(*, NOUN/nmod:em)",0.036200954229729986,0.02485232999516793,0.011348624234562055,0.011348624234562055,15,16,75.0,80.0,252.0,0.161217845293678,0.4692708087813257,small,human,0.4345971408994098,False
VERB(*),0.18362231650131947,0.17267310450929577,0.0109492119920237,0.0109492119920237,19,20,95.0,100.0,193.0,0.8604309737352772,0.09951510375394688,negligible,human,0.9201831246891159,False
"PRON(*, PRON/ref)",0.01891691555338699,0.008814105450134,0.010102810103252988,0.010102810103252988,7,5,35.0,25.0,232.5,0.2856414699717621,0.45599461828585264,small,human,0.5498598296956421,False
AUX(*),0.01869003525060931,0.008600873095690966,0.010089162154918343,0.010089162154918343,6,4,30.0,20.0,225.0,0.38350370813037604,0.3701275301595513,small,human,0.703090131572356,False
"NOUN(*, NUM/nmod:de)",0.01871635802639829,0.008640626060176376,0.010075731966221912,0.010075731966221912,5,4,25.0,20.0,215.0,0.5916914280675738,0.33739107815438113,small,human,0.813575713592914,False
