rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
NOUN(*),0.07018874717578985,0.04613020368420491,0.02405854349158494,0.02405854349158494,20,20,100.0,100.0,355.0,2.9248649327368934e-05,1.464826261126197,large,human,0.002252145998207408,True
AUX(*),0.042951507175547354,0.020905727359755745,0.02204577981579161,0.02204577981579161,6,4,30.0,20.0,228.0,0.32799123638436756,0.3842424106076049,small,human,0.6169709579736528,False
"VERB(NOUN/obl:em, *)",0.05406942131038459,0.03228255263360386,0.02178686867678073,0.02178686867678073,8,8,40.0,40.0,221.0,0.531197988927057,0.3622639983432958,small,human,0.7865816374496807,False
ADJ(*),0.05240460989914928,0.03135087842287237,0.021053731476276913,0.021053731476276913,10,8,50.0,40.0,244.0,0.19754546243657345,0.43748108443813566,small,human,0.47534376898800484,False
VERB(*),0.06814779280069835,0.0472692789324939,0.020878513868204454,0.020878513868204454,19,20,95.0,100.0,335.0,0.00027451078428318386,1.0373085663100927,large,human,0.00704577679660172,True
"NOUN(*, NOUN/nmod:de)",0.06744091387997943,0.0472692789324939,0.02017163494748553,0.02017163494748553,19,20,95.0,100.0,335.0,0.00027451078428318386,1.0153454097800416,large,human,0.00704577679660172,True
"PRON(*, PRON/ref)",0.04229175763127304,0.02455574601395956,0.01773601161731348,0.01773601161731348,7,5,35.0,25.0,228.5,0.35016700648812593,0.33949798887084187,small,human,0.6383815088237569,False
"NOUN(*, NOUN/nmod:em)",0.0619421454806399,0.04428894667636552,0.017653198804274378,0.017653198804274378,15,16,75.0,80.0,292.0,0.012805507730674202,0.535115002298809,medium,human,0.08216867460515948,False
"NOUN(*, NOUN/nmod:por)",0.027794507169207727,0.01032374134260361,0.017470765826604118,0.017470765826604118,3,2,15.0,10.0,213.0,0.5562517286918012,0.3351267477324632,small,human,0.7931737612827535,False
"NOUN(*, NUM/nmod:de)",0.03787617295370904,0.02144323275293779,0.01643294020077125,0.01643294020077125,5,4,25.0,20.0,217.0,0.5416161424774153,0.27478942405350393,small,human,0.7868762824671882,False
"SYM(*, NOUN/nmod:de)",0.031087211349189937,0.017808060969481197,0.01327915037970874,0.01327915037970874,4,3,20.0,15.0,216.0,0.5266974367880024,0.2465702158095903,small,human,0.7865816374496807,False
"VERB(*, NOUN/obj)",0.029390921782374225,0.01631578092257651,0.013075140859797715,0.013075140859797715,4,3,20.0,15.0,214.0,0.58137946463042,0.2580206013622,small,human,0.813931250482588,False
"NOUN(*, NOUN/conj:e)",0.05046698828125652,0.038685204202591826,0.011781784078664696,0.011781784078664696,9,11,45.0,55.0,222.5,0.5247076517434062,0.2370699959818005,small,human,0.7865816374496807,False
PRON(*),0.06237333201696273,0.050865660720026296,0.011507671296936438,0.011507671296936438,16,20,80.0,100.0,279.0,0.03363431456578385,0.40613942867402886,small,human,0.14388012342029757,False
"NOUN(ADP/case, *)",0.04863661788780605,0.03984763830489822,0.008788979582907828,0.008788979582907828,9,11,45.0,55.0,212.5,0.7286163780912841,0.17716925477470502,negligible,human,0.8894558455221492,False
ADP(*),0.053265918618308004,0.0456650716707248,0.007600846947583208,0.007600846947583208,12,15,60.0,75.0,236.0,0.3285170035963606,0.1924837190965836,negligible,human,0.6169709579736528,False
"NOUN(ADP/case, *, NOUN/nmod:de)",0.03189084255876619,0.02434697847922003,0.007543864079546159,0.007543864079546159,5,5,25.0,25.0,205.5,0.8588417773219579,0.14724355750171983,negligible,human,0.9075740491775084,False
"VERB(*, NOUN/obl:em)",0.05705419830261797,0.05001093734047327,0.0070432609621447,0.0070432609621447,13,17,65.0,85.0,249.5,0.1816038722059412,0.1938070655422003,negligible,human,0.47534376898800484,False
"VERB(PRON/nsubj, *)",0.03289293654540552,0.02598548520280315,0.0069074513426023686,0.0069074513426023686,5,5,25.0,25.0,205.5,0.8588417773219579,0.1285880671302634,negligible,human,0.9075740491775084,False
"NOUN(*, NOUN/nmod:para)",0.028294213943344564,0.022720313622427855,0.0055739003209167096,0.0055739003209167096,4,4,20.0,20.0,205.0,0.8616947239419631,0.1051039740287773,negligible,human,0.9075740491775084,False
"VERB(*, VERB/conj:mas)",0.036541393294747024,0.031122179973733573,0.005419213321013451,0.005419213321013451,4,6,20.0,30.0,191.0,0.7623907247332706,0.08433801413456592,negligible,human,0.8894558455221492,False
*(NOUN),0.020058341353364824,0.016907102847989325,0.003151238505375499,0.003151238505375499,3,3,15.0,15.0,202.5,0.9306120732473914,0.06973447274094731,negligible,human,0.9428569689480149,False
"VERB(*, NOUN/obl:de)",0.04395248408460615,0.041154700766588,0.0027977833180181516,0.0027977833180181516,8,11,40.0,55.0,206.0,0.8722140212874756,0.05841551738566451,negligible,human,0.9075740491775084,False
"NOUN(*, NOUN/conj:e, NOUN/conj:e)",0.02529999114710684,0.022817191018855286,0.0024828001282515555,0.0024828001282515555,3,4,15.0,20.0,191.0,0.7284715422735428,0.0415356080804907,negligible,human,0.8894558455221492,False
"VERB(*, VERB/xcomp)",0.02053151974811695,0.018877024878602478,0.0016544948695144703,0.0016544948695144703,2,3,10.0,15.0,193.0,0.7596218659702029,0.03021549430588982,negligible,human,0.8894558455221492,False
"NOUN(*, VERB/acl:para)",0.033165867751898115,0.03214825950702769,0.0010176082448704257,0.0010176082448704257,5,7,25.0,35.0,192.5,0.8153216536340843,0.019216887212996223,negligible,human,0.9075740491775084,False
