rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"NOUN(*, NOUN/nmod:sobre)",0.0,0.04440750549442579,-0.04440750549442579,0.04440750549442579,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0229160421977714,large,machine,0.0498526498705757,True
"NOUN(*, PROPN/nmod:em)",0.006496613857130189,0.0499029022618434,-0.04340628840471321,0.04340628840471321,1,10,5.0,50.0,115.0,0.003673637329962828,-1.0453974804351223,large,machine,0.0498526498705757,True
"NOUN(*, NOUN/nmod:de, PRON/ref)",0.0,0.042029614588301435,-0.042029614588301435,0.042029614588301435,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0245312800339128,large,machine,0.0498526498705757,True
"ADV(*, NOUN/obl:de)",0.012369735593344417,0.0540050362085561,-0.04163530061521169,0.04163530061521169,2,11,10.0,55.0,118.0,0.008076369184315639,-0.9383314575688899,large,machine,0.06909782524358936,False
"NOUN(*, PROPN/nmod:de, PRON/ref)",0.0,0.04068147131176168,-0.04068147131176168,0.04068147131176168,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0224384513034528,large,machine,0.0498526498705757,True
"NOUN(*, PRON/ref)",0.024351997883146567,0.06350571713623712,-0.03915371925309055,0.03915371925309055,6,19,30.0,95.0,102.0,0.0067382075770310345,-1.307655013302147,large,machine,0.0648552479289237,False
"VERB(NOUN/nsubj, *, NOUN/obl:por)",0.0,0.036426001655922594,-0.036426001655922594,0.036426001655922594,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8132069006137762,large,machine,0.1016348303231784,False
"VERB(NOUN/nsubj, *, VERB/advcl:por)",0.0,0.035778817184131416,-0.035778817184131416,0.035778817184131416,0,6,0.0,30.0,140.0,0.009584367926958772,-0.9149701402075842,large,machine,0.07379963303758254,False
"VERB(*, VERB/advcl:para)",0.018987723965573702,0.05401280469271922,-0.03502508072714552,0.03502508072714552,4,14,20.0,70.0,115.0,0.012311204314626047,-0.9199751868472038,large,machine,0.08216867460515948,False
"VERB(*, NOUN/obl:como)",0.006541662655121558,0.041279837797255574,-0.034738175142134016,0.034738175142134016,1,7,5.0,35.0,142.5,0.027331395773759273,-0.773933668549663,medium,machine,0.1315323421612165,False
"PROPN(*, PROPN/conj:e, PROPN/conj:e)",0.0,0.0339722375616208,-0.0339722375616208,0.0339722375616208,0,5,0.0,25.0,150.0,0.019798992920099685,-0.8096444510260279,large,machine,0.1016348303231784,False
"VERB(NOUN/nsubj:pass, *)",0.019276376913911288,0.05122478948438208,-0.03194841257047079,0.03194841257047079,3,12,15.0,60.0,121.0,0.014605287259361865,-0.7051503750739574,medium,machine,0.08650823992083567,False
"VERB(*, NOUN/obl:com)",0.026459073978029872,0.0515287800678597,-0.025069706089829828,0.025069706089829828,5,13,25.0,65.0,137.5,0.06627024324002916,-0.5670654518906632,medium,machine,0.2685688804990655,False
"NOUN(*, NOUN/nmod:com)",0.019109216767678287,0.04358161529161732,-0.02447239852393903,0.02447239852393903,3,10,15.0,50.0,145.0,0.07650687079738713,-0.5431579394925125,medium,machine,0.2945514525699405,False
