rule,human_count,machine_count,human_docs,machine_docs,total_count
NOUN(*),866,1881,20,20,2747
ADP(*),681,1497,20,20,2178
DET(*),632,1220,20,20,1852
PUNCT(*),486,951,20,20,1437
VERB(*),276,725,20,20,1001
PROPN(*),238,691,17,20,929
ADJ(*),186,601,20,20,787
*(VERB),172,328,20,20,500
ADV(*),153,345,19,20,498
PRON(*),172,276,20,20,448
AUX(*),120,272,19,20,392
CCONJ(*),116,187,20,19,303
"NOUN(ADP/case, DET/det, *)",107,179,20,20,286
NUM(*),99,170,17,20,269
"NOUN(DET/det, *)",83,176,20,20,259
"NOUN(ADP/case, *)",67,174,15,20,241
SCONJ(*),65,130,18,20,195
"PROPN(ADP/case, DET/det, *)",40,123,11,19,163
"NOUN(ADP/case, *, ADJ/amod)",17,75,9,20,92
"NOUN(DET/det, *, NOUN/nmod)",37,42,16,15,79
"NOUN(ADP/case, DET/det, *, NOUN/nmod)",30,47,15,16,77
"PROPN(ADP/case, *)",21,54,8,17,75
*(NOUN),33,40,14,10,73
"NOUN(ADP/case, *, NOUN/nmod)",27,45,14,16,72
"NOUN(ADP/case, DET/det, *, ADJ/amod)",22,50,10,18,72
"NOUN(*, NOUN/nmod)",16,54,14,17,70
SYM(*),21,47,8,12,68
"PROPN(*, PROPN/flat:name)",20,40,9,15,60
"VERB(ADP/mark, *, NOUN/obj)",7,44,6,18,51
"NOUN(ADP/case, DET/det, *, PROPN/nmod)",16,34,7,14,50
"NOUN(*, ADJ/amod)",9,41,6,15,50
"PROPN(ADP/case, DET/det, *, PROPN/flat:name)",9,38,5,11,47
"NOUN(DET/det, *, PROPN/nmod)",13,34,8,11,47
"NOUN(DET/det, *, ADJ/amod)",8,34,6,17,42
"VERB(*, NOUN/obj)",11,26,9,13,37
"PRON(ADP/case, *)",20,14,6,11,34
"NOUN(CCONJ/cc, *)",19,14,10,10,33
"NOUN(NUM/nummod, *)",8,23,6,9,31
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",4,26,4,14,30
"VERB(*, NOUN/obl)",4,25,3,14,29
"PROPN(DET/det, *)",7,22,5,11,29
"NUM(ADP/case, *)",9,19,5,11,28
"NUM(ADV/advmod, *)",9,18,7,13,27
"ADV(*, ADP/fixed)",10,15,7,11,25
"NOUN(*, VERB/acl)",6,18,6,12,24
X(*),13,11,6,6,24
"NOUN(ADP/case, *, PROPN/nmod)",5,19,3,11,24
*(ADJ),12,12,7,8,24
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod)",9,12,7,9,21
"VERB(*, NOUN/obl:agent)",2,18,2,13,20
*(PROPN),3,17,2,15,20
"NOUN(ADP/case, NUM/nummod, *)",10,10,9,8,20
"PROPN(ADP/case, *, PROPN/flat:name)",5,14,4,9,19
"NOUN(PUNCT/punct, *)",9,10,6,6,19
"NOUN(ADP/case, DET/det, ADJ/amod, *)",7,12,4,9,19
"NOUN(ADP/case, *, ADJ/amod, NOUN/nmod)",1,17,1,13,18
"VERB(PRON/nsubj, *, NOUN/obj)",2,16,2,9,18
"NOUN(DET/det, *, VERB/acl:relcl)",4,13,3,11,17
"NOUN(*, ADJ/amod, NOUN/nmod)",3,14,3,11,17
"NOUN(*, PROPN/nmod)",2,15,2,8,17
"PRON(*, VERB/acl:relcl)",9,8,6,7,17
"VERB(NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",3,13,3,11,16
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod)",4,12,4,6,16
"PROPN(*, PUNCT/punct)",0,15,0,14,15
