rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0.02981786388743034,0.004014399705702081,0.02580346418172826,0.02580346418172826,5,1,25.0,5.0,242.5,0.06746399878132199,0.6567709868522679,medium,human,0.1806823449822052,False
*(NOUN),0.04442692851131633,0.021623545662323322,0.022803382848993005,0.022803382848993005,14,10,70.0,50.0,295.0,0.00824461478528814,0.8321999786610896,large,human,0.0440660445420573,True
"PRON(*, PRON/fixed)",0.033306435112332736,0.012928694110004732,0.020377741002328004,0.020377741002328004,8,4,40.0,20.0,256.0,0.06404772555311068,0.5879802569466863,medium,human,0.1806823449822052,False
CCONJ(*),0.04430512043074927,0.02835527177115548,0.015949848659593792,0.015949848659593792,20,19,100.0,95.0,377.0,1.8029691721083094e-06,1.7710452710560702,large,human,8.276399862138275e-05,True
"NOUN(DET/det, *, NOUN/nmod)",0.0416729553674875,0.026668507646518458,0.015004447720969045,0.015004447720969045,16,15,80.0,75.0,317.0,0.001528466048123442,0.7490365134651853,medium,human,0.010768738066324252,True
"NOUN(ADP/case, NUM/nummod, *)",0.03439980236723096,0.01977581647930763,0.014623985887923331,0.014623985887923331,9,8,45.0,40.0,240.0,0.23518734270644326,0.4366955183102427,small,human,0.40059382548899675,False
ADP(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
PUNCT(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
VERB(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
PRON(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
DET(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
*(VERB),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
ADJ(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
NOUN(*),0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
"NOUN(DET/det, *)",0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
"NOUN(ADP/case, DET/det, *)",0.04323747423019686,0.029660514536320282,0.013576959693876577,0.013576959693876577,20,20,100.0,100.0,368.0,5.873574095711034e-06,1.7559529418812478,large,human,8.276399862138275e-05,True
"NOUN(ADP/case, *, NUM/nmod)",0.02153711805694485,0.008529222224363617,0.013007895832581232,0.013007895832581232,4,2,20.0,10.0,222.0,0.3492454541712222,0.3547368763157405,small,human,0.5307161313386219,False
"ADJ(CCONJ/cc, *)",0.027060519137165485,0.014132792526742308,0.012927726610423178,0.012927726610423178,7,4,35.0,20.0,236.0,0.2223116933956354,0.38721066863873305,small,human,0.39157173268549417,False
"SYM(NUM/nummod, *, NOUN/nmod)",0.020519053841808167,0.007635453177220838,0.012883600664587328,0.012883600664587328,4,2,20.0,10.0,224.0,0.30624702497134626,0.3865457422465873,small,human,0.4944613424016528,False
"NOUN(CCONJ/cc, *)",0.035746914699109136,0.02314676670736343,0.012600147991745705,0.012600147991745705,10,10,50.0,50.0,242.0,0.23016796057521915,0.39882789929480184,small,human,0.3964003765462108,False
ADV(*),0.04161586856032893,0.03039291013099671,0.01122295842933222,0.01122295842933222,19,20,95.0,100.0,348.0,6.610446488702155e-05,1.0901579482531871,large,human,0.0006830794704992228,True
AUX(*),0.0415735159231454,0.03039291013099671,0.01118060579214869,0.01118060579214869,19,20,95.0,100.0,348.0,6.610446488702155e-05,1.088791581244845,large,human,0.0006830794704992228,True
"VERB(*, NOUN/obj, NOUN/obl)",0.02311141440893616,0.012135882304987862,0.010975532103948298,0.010975532103948298,3,3,15.0,15.0,204.5,0.8617479277008719,0.24873690398022885,small,human,0.940640343617149,False
"NOUN(ADP/case, *, NOUN/conj)",0.02456342743227217,0.014069385360272618,0.010494042071999554,0.010494042071999554,4,4,20.0,20.0,208.0,0.7715392391507198,0.257440860123797,small,human,0.8991622711906885,False
"NOUN(ADP/case, DET/det, DET/det, *)",0.02204733679509324,0.011589660819833971,0.010457675975259267,0.010457675975259267,4,4,20.0,20.0,208.0,0.7715392391507198,0.290291537543358,small,human,0.8991622711906885,False
"NOUN(ADP/case, DET/det, *, NOUN/nmod)",0.039504924560823385,0.029529527770569032,0.009975396790254352,0.009975396790254352,15,16,75.0,80.0,284.0,0.02311649602189544,0.4702025678978948,small,human,0.0853108781760427,False
SCONJ(*),0.040208539740956555,0.03114384934274251,0.009064690398214045,0.009064690398214045,18,20,90.0,100.0,328.0,0.0005625664166686855,0.7331685667153698,medium,human,0.00484432192131368,True
"NOUN(*, NOUN/nmod)",0.03916428459219147,0.030430196314531182,0.008734088277660288,0.008734088277660288,14,17,70.0,85.0,271.0,0.055129206982063375,0.39708072149553963,small,human,0.17090054164439647,False
X(*),0.026946012160593807,0.018406222433104864,0.008539789727488943,0.008539789727488943,6,6,30.0,30.0,215.0,0.6285164505762211,0.23711696380784697,small,human,0.8226948090958311,False
"NOUN(ADJ/amod, *)",0.016162269919929716,0.007670732489706888,0.008491537430222827,0.008491537430222827,3,2,15.0,10.0,213.0,0.5562517286918012,0.2664189827922342,small,human,0.7604203617463344,False
