uid,source,group,dataset,model,tokens,types,type_token_ratio,mattr
fakebr:1006,fakebr,human,fakebr_human,,182,118,0.6483516483516484,0.826015037593985
fakebr:1006,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,328,225,0.6859756097560976,0.9038709677419355
fakebr:104,fakebr,human,fakebr_human,,557,289,0.518850987432675,0.8288976377952756
fakebr:104,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,313,199,0.6357827476038339,0.8853030303030303
fakebr:1129,fakebr,human,fakebr_human,,240,134,0.5583333333333333,0.7927748691099477
fakebr:1129,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,754,387,0.513262599469496,0.875177304964539
fakebr:2623,fakebr,human,fakebr_human,,178,114,0.6404494382022472,0.8258914728682171
fakebr:2623,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,542,288,0.5313653136531366,0.8658012170385395
fakebr:3020,fakebr,human,fakebr_human,,100,74,0.74,0.8
fakebr:3020,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,400,247,0.6175,0.8745868945868945
fakebr:3041,fakebr,human,fakebr_human,,162,92,0.5679012345679012,0.7753982300884956
fakebr:3041,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,472,271,0.5741525423728814,0.8667612293144208
fakebr:421,fakebr,human,fakebr_human,,177,116,0.655367231638418,0.8253125
fakebr:421,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,456,274,0.6008771929824561,0.8858476658476658
fakebr:458,fakebr,human,fakebr_human,,300,197,0.6566666666666666,0.881195219123506
fakebr:458,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,271,194,0.7158671586715867,0.9074774774774774
fakebr:573,fakebr,human,fakebr_human,,207,127,0.6135265700483091,0.8586075949367089
fakebr:573,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,742,377,0.5080862533692723,0.8655699855699855
fakebr:917,fakebr,human,fakebr_human,,100,70,0.7,0.8482352941176471
fakebr:917,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,292,184,0.6301369863013698,0.8534979423868313
faketruebr:1043,faketruebr,human,faketruebr_human,,133,87,0.6541353383458647,0.8378571428571429
faketruebr:1043,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,407,262,0.6437346437346437,0.8869832402234636
faketruebr:1429,faketruebr,human,faketruebr_human,,221,123,0.5565610859728507,0.7704651162790698
faketruebr:1429,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,269,188,0.6988847583643123,0.8824545454545455
faketruebr:1587,faketruebr,human,faketruebr_human,,126,89,0.7063492063492064,0.8202597402597402
faketruebr:1587,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,331,194,0.5861027190332326,0.8475886524822696
faketruebr:1773,faketruebr,human,faketruebr_human,,68,52,0.7647058823529411,0.8
faketruebr:1773,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,520,272,0.5230769230769231,0.8333757961783439
faketruebr:215,faketruebr,human,faketruebr_human,,95,70,0.7368421052631579,0.8604347826086957
faketruebr:215,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,239,154,0.6443514644351465,0.8838947368421053
faketruebr:230,faketruebr,human,faketruebr_human,,86,53,0.6162790697674418,0.7616216216216216
faketruebr:230,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,217,147,0.6774193548387096,0.8859523809523809
faketruebr:509,faketruebr,human,faketruebr_human,,160,102,0.6375,0.7935135135135135
faketruebr:509,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,315,215,0.6825396825396826,0.85796992481203
faketruebr:542,faketruebr,human,faketruebr_human,,201,119,0.5920398009950248,0.8225
faketruebr:542,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,386,234,0.6062176165803109,0.8894955489614244
faketruebr:70,faketruebr,human,faketruebr_human,,78,53,0.6794871794871795,0.7248275862068966
faketruebr:70,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,347,204,0.5878962536023055,0.8626845637583893
faketruebr:74,faketruebr,human,faketruebr_human,,139,55,0.39568345323741005,0.8042222222222222
faketruebr:74,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,190,128,0.6736842105263158,0.85177304964539
