tag,human_count,fakebr_human_count,machine_count,fakebr_machine_count,faketruebr_human_count,faketruebr_machine_count,human_rel,fakebr_human_rel,machine_rel,fakebr_machine_rel,faketruebr_human_rel,faketruebr_machine_rel,difference
PROPN,241,228,708,493,13,215,0.055415037939756266,0.08260869565217391,0.07524710383675205,0.08857348185411426,0.008181246066708621,0.05594587561800676,-0.019832065896995786
ADJ,198,129,613,331,69,282,0.04552770751896988,0.04673913043478261,0.06515038792645339,0.05946819978440532,0.0434235368156073,0.07338017174082748,-0.01962268040748351
DET,632,421,1220,709,211,511,0.14532076339388364,0.15253623188405796,0.12966308853225636,0.1273805246137262,0.13278791692888608,0.13296903460837886,0.01565767486162728
PUNCT,486,312,951,608,174,343,0.11174982754656243,0.11304347826086956,0.10107344032309491,0.10923463887890765,0.10950283196979232,0.08925318761384335,0.010676387223467518
PRON,173,109,280,161,64,119,0.03977925959990802,0.03949275362318841,0.029758741630353917,0.028925619834710745,0.040276903713027064,0.030965391621129327,0.010020517969554107
VERB,448,277,1053,625,171,428,0.10301218670958841,0.10036231884057971,0.11191412477415241,0.11228889687387711,0.10761485210824417,0.11137132448607859,-0.008901938064564005
CCONJ,116,53,187,108,63,79,0.026672798344447,0.01920289855072464,0.01987458816027208,0.019403521379805964,0.039647577092511016,0.020556856622430394,0.006798210184174921
NUM,99,55,172,87,44,85,0.02276385375948494,0.019927536231884056,0.01828036985864598,0.015630614444843694,0.027690371302706105,0.022118136872235232,0.004483483900838962
NOUN,899,497,1921,1101,402,820,0.20671418716946424,0.18007246376811595,0.20416622382824956,0.19780812073302192,0.25298930144745124,0.21337496747332813,0.002547963341214682
ADP,681,444,1497,860,237,637,0.15658772131524487,0.1608695652173913,0.15910298650228505,0.1545095220984549,0.14915040906230334,0.1657559198542805,-0.0025152651870401777
X,13,0,11,6,13,5,0.0029891929179121637,0.0,0.0011690934211924754,0.0010779734099892202,0.008181246066708621,0.0013010668748373666,0.0018200994967196883
ADV,154,91,346,216,63,130,0.03541043918142102,0.03297101449275362,0.03677330215750877,0.03880704275961193,0.039647577092511016,0.03382773874577153,-0.0013628629760877517
AUX,120,81,272,155,39,117,0.027592550011496894,0.029347826086956522,0.02890849186948666,0.027847646424721522,0.024543738200125866,0.03044496487119438,-0.001315941857989767
SCONJ,65,46,130,80,19,50,0.01494596458956082,0.016666666666666666,0.013816558614092889,0.01437297879985627,0.01195720578980491,0.013010668748373666,0.0011294059754679304
INTJ,2,0,0,0,2,0,0.0004598758335249483,0.0,0.0,0.0,0.0012586532410320957,0.0,0.0004598758335249483
SYM,22,17,48,26,5,22,0.005058634168774431,0.006159420289855073,0.005101498565203528,0.004671218109953288,0.0031466331025802393,0.005724694249284413,-4.286439642909711e-05
PART,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
