metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size,q_value,significant_fdr_005
ADJ,20,4.178738200474259,1.6703347223217289,20,6.729692724169794,1.5730322337881895,0.8488520558813379,0.7304098061755617,-4.972116246953211,1.4484072036223109e-05,54.0,8.292416774489331e-05,-1.5723212131500386,large,0.001326786683918293,True
CCONJ,20,2.9050116717044916,1.8948663131497545,20,1.9036041495669853,0.7088097317935793,0.06442505550717414,0.05936740110985445,2.213648751825924,0.03292952021776536,255.0,0.14041971470550127,0.7000171995358736,medium,0.37162708737452554,False
DET,20,14.308857822430696,3.1262918966043998,20,12.783007152630903,1.5506852571324232,0.02395601985552932,0.22509903929888203,1.9553893097109676,0.05792040878351625,291.0,0.014359270343387756,0.6183483931031061,medium,0.11487416274710205,False
VERB,20,10.325623897690608,1.732658504935934,20,11.212896738949405,1.229116043287915,0.7878574715049622,0.543864591016485,-1.8678741653056479,0.06950575829094902,138.5,0.09891577101583764,-0.5906736744951708,medium,0.37162708737452554,False
PROPN,20,5.042724983871617,5.377300870904504,20,7.322284280754372,3.156383818438088,0.006211483801758321,0.06418011260295141,-1.6349830108754955,0.11031085059611274,131.0,0.06384240259938125,-0.5170270250046413,medium,0.3404928138633666,False
NOUN,20,22.22543473868414,4.956825096069175,20,20.29165371553591,2.074611878947129,0.08293766958254856,0.030050892964740426,1.6094142489588799,0.11580322606368113,221.0,0.5792183523134169,0.5089414725439336,medium,0.6948910198677665,False
PUNCT,20,11.353625901500823,3.712235264008435,20,10.024028246995787,1.6247516612729582,0.5414267624646755,0.304781944839692,1.4673777706155071,0.15050184332934827,229.0,0.44072844808136424,0.4640255943045099,small,0.6410595608456208,False
X,20,0.3891781857632667,0.8522299867158323,20,0.11770292685157288,0.21862388601224161,6.811917340448465e-07,5.267944387444572e-06,1.3799039727743174,0.17568175883838033,213.0,0.6766178681454846,0.43636395062818195,small,0.6948910198677665,False
INTJ,20,0.0779023807335233,0.27017875355249,20,0.0,0.0,1.2980729563891768e-08,,1.2894797732152958,0.2050249560854494,220.0,0.16258685072635493,0.40776930800777184,small,0.37162708737452554,False
PRON,20,3.5331427069776717,2.055333459764826,20,3.028300078145704,0.9105152863877549,0.33339999564174755,0.9512217121229298,1.0043329946694304,0.3215709424484585,215.0,0.6948910198677665,0.31759797924131483,small,0.6948910198677665,False
ADP,20,15.274480574922146,2.890669055463421,20,15.98421315488327,1.8466266127691586,0.16568673821227609,0.03221462503628855,-0.9253272777246435,0.3606351087054474,161.0,0.29767675447218034,-0.2926141778693062,small,0.5953535089443607,False
AUX,20,2.7098095842175565,1.446700020116323,20,2.959743681748888,0.6798182588587066,0.9718560306266457,0.6772473763999617,-0.6992574174573858,0.488649522004417,164.0,0.33691523838231996,-0.2211246109932525,small,0.598960423790791,False
ADV,20,3.3856626566199433,2.158941930321796,20,3.743253071150331,0.8811390754148729,0.05354453368091334,0.33927261200378506,-0.6858099382333702,0.49699605750787734,144.0,0.1332831707493199,-0.2168721446796843,small,0.37162708737452554,False
SCONJ,20,1.587705400601854,1.4431820295850035,20,1.3871742919829093,0.4713725333171501,0.0049641857598209955,0.5309472609127479,0.5906965709807646,0.5582208684735687,185.0,0.694877426962106,0.18679465703505369,negligible,0.6948910198677665,False
NUM,20,2.2271673574779545,2.4520922179993314,20,1.964485330545876,1.1479150637748194,0.0007238001634989246,0.2138866756684718,0.4338899463921217,0.666821901537655,174.0,0.49025284893052967,0.1372080484447462,negligible,0.6536704652407062,False
SYM,20,0.47493393632944886,0.8330620143570581,20,0.5479604560882912,0.7160914073034712,7.221964552552439e-06,0.0002067003578765723,-0.2972909504405192,0.767863559672885,172.0,0.42653678448993326,-0.09401165311482786,negligible,0.6410595608456208,False
PART,20,0.0,0.0,20,0.0,0.0,,,,,200.0,,0.0,negligible,,False
