term,characteristic_of,distinctiveness,eta_human,eta_machine,abs_distinctiveness
documentos,machine,-4.214331168013222,-3.9679083941311393,0.24642277388208197,4.214331168013222
antes,machine,-4.08553017771814,-3.8397332102413135,0.24579696747682667,4.08553017771814
empresas,machine,-3.9367632625405116,-3.6922076156535066,0.24455564688700482,3.9367632625405116
revelam,machine,-3.761155361889704,-3.5171393296252123,0.24401603226449156,3.761155361889704
urgente,machine,-3.6943049309880944,-3.450957435565627,0.24334749542246725,3.6943049309880944
revelam que,machine,-3.5437508599445176,-3.3015059372476085,0.2422449226969092,3.5437508599445176
especialistas,machine,-3.459211522578352,-3.2179493249248807,0.24126219765347112,3.459211522578352
internacionais,machine,-3.45869343579026,-3.2174293402921372,0.24126409549812303,3.45869343579026
obtidos,machine,-3.458446873587167,-3.217183064372001,0.24126380921516605,3.458446873587167
exclusividade,machine,-3.3657464527568832,-3.1254961268103556,0.24025032594652768,3.3657464527568832
antes que,machine,-3.365153207346492,-3.124913572632446,0.24023963471404572,3.365153207346492
compartilhe,machine,-3.365137367695797,-3.124891946404571,0.24024542129122595,3.365137367695797
com exclusividade,machine,-3.365108531012466,-3.1248612039419092,0.2402473270705568,3.365108531012466
planalto,machine,-3.3650344289119984,-3.124785154127544,0.24024927478445438,3.3650344289119984
entrevista,machine,-3.2618381932360627,-3.0227001157387967,0.23913807749726584,3.2618381932360627
teria sido,machine,-3.2617938178582957,-3.022656334780482,0.23913748307781385,3.2617938178582957
contas,machine,-3.2616068859961906,-3.0224688435278044,0.23913804246838644,3.2616068859961906
palacio,machine,-3.2613048977755894,-3.0221505810964127,0.23915431667917667,3.2613048977755894
escandalo,machine,-3.146092021456254,-2.9079632017823105,0.23812881967394336,3.146092021456254
nao se,machine,-3.1458532554289516,-2.9077438326904947,0.23810942273845664,3.1458532554289516
do planalto,machine,-3.1458269593504427,-2.907694961822268,0.23813199752817485,3.1458269593504427
secretas,machine,-3.145776156236318,-2.907654205992901,0.23812195024341706,3.145776156236318
pediu,machine,-3.145720791575092,-2.9076132376095436,0.23810755396554856,3.145720791575092
paulo,machine,-3.1455926452700886,-2.9074754825305504,0.23811716273953842,3.1455926452700886
oficialmente,machine,-3.145565901692248,-2.907455696588043,0.23811020510420508,3.145565901692248
internacional,machine,-3.145435298035424,-2.907314938111282,0.23812035992414204,3.145435298035424
se identificar,machine,-3.0128723235831867,-2.7768419039138137,0.23603041966937285,3.0128723235831867
palacio do,machine,-3.0128305949029963,-2.776799507353057,0.23603108754993962,3.0128305949029963
real,machine,-3.012829930690156,-2.7767978771092583,0.23603205358089785,3.012829930690156
que pediu,machine,-3.012794843683877,-2.7767628226511922,0.23603202103268495,3.012794843683877
por temer,machine,-3.0127680494665934,-2.7767338278636187,0.23603422160297483,3.0127680494665934
exclusiva,machine,-3.0127523728030297,-2.7767174516343505,0.2360349211686791,3.0127523728030297
que pediram,machine,-3.012744420690779,-2.7767070177589397,0.23603740293183956,3.012744420690779
de corrupcao,machine,-3.012703641707889,-2.776673070266388,0.2360305714415011,3.012703641707889
em uma,machine,-3.012490933022676,-2.7764572180868017,0.2360337149358746,3.012490933022676
bilionario,machine,-3.0124346252634036,-2.7764006972564625,0.23603392800694095,3.0124346252634036
vazados,machine,-3.0123995027059203,-2.7763656449483123,0.23603385775760805,3.0123995027059203
identificar,machine,-3.0123925915273913,-2.776357142870096,0.236035448657295,3.0123925915273913
documentos vazados,machine,-3.012389952669808,-2.7763586921610774,0.23603126050873055,3.012389952669808
pediram,machine,-3.012386552676181,-2.776355718448161,0.2360308342280198,3.012386552676181
oficial,machine,-3.0122386938617773,-2.7762094350129516,0.23602925884882583,3.0122386938617773
so,human,2.9193875038788346,1.3181308759687587,-1.601256627910076,2.9193875038788346
pediram anonimato,machine,-2.85839156840526,-2.6246280524962535,0.23376351590900654,2.85839156840526
esconde,machine,-2.8583514205876663,-2.6245783139381964,0.23377310664946985,2.8583514205876663
segundo fontes,machine,-2.858263891866175,-2.624501342833265,0.2337625490329101,2.858263891866175
digital,machine,-2.858255462309758,-2.6244930843173573,0.23376237799240032,2.858255462309758
alem,machine,-2.85825018535176,-2.6244800173637173,0.2337701679880428,2.85825018535176
denuncia,machine,-2.857973374279222,-2.624203167150251,0.23377020712897092,2.857973374279222
ainda mais,machine,-2.8579700419792315,-2.624206209198992,0.2337638327802396,2.8579700419792315
represalias,machine,-2.857951440548018,-2.624187490184042,0.2337639503639761,2.857951440548018
verdade sobre,machine,-2.8579499588369863,-2.6241788702990414,0.233771088537945,2.8579499588369863
rede,human,2.7343607650589523,1.2877189204962713,-1.446641844562681,2.7343607650589523
diz,human,2.734317761739236,1.2877359226387115,-1.4465818391005245,2.734317761739236
deu,human,2.499615120126917,1.235644765876824,-1.2639703542500926,2.499615120126917
partir de,human,2.4285697557929415,1.223550077572923,-1.2050196782200187,2.4285697557929415
partir,human,2.428564743736479,1.2235508839271554,-1.2050138598093234,2.428564743736479
delacao,human,2.2720194379802496,1.1846594280993055,-1.0873600098809442,2.2720194379802496
muito,human,2.175457944277983,1.1589585223816496,-1.0164994218963335,2.175457944277983
globo,human,2.1754521554838977,1.158953041917787,-1.0164991135661106,2.1754521554838977
todas as,human,2.087440872450112,1.1334843329649846,-0.9539565394851276,2.087440872450112
