uid,source,group,dataset,model,sentences,words,syllables,syllables_per_sentence,syllables_per_word
fakebr:1006,fakebr,human,fakebr_human,,8,178,364,45.5,2.044943820224719
fakebr:1006,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,18,323,795,44.166666666666664,2.461300309597523
fakebr:104,fakebr,human,fakebr_human,,43,556,1171,27.232558139534884,2.106115107913669
fakebr:104,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,12,305,750,62.5,2.459016393442623
fakebr:1129,fakebr,human,fakebr_human,,14,234,517,36.92857142857143,2.2094017094017095
fakebr:1129,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,42,751,1812,43.142857142857146,2.4127829560585887
fakebr:2623,fakebr,human,fakebr_human,,11,174,385,35.0,2.2126436781609193
fakebr:2623,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,28,535,1236,44.142857142857146,2.310280373831776
fakebr:3020,fakebr,human,fakebr_human,,7,100,247,35.285714285714285,2.47
fakebr:3020,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,16,396,949,59.3125,2.3964646464646466
fakebr:3041,fakebr,human,fakebr_human,,9,159,329,36.55555555555556,2.069182389937107
fakebr:3041,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,22,471,1131,51.40909090909091,2.4012738853503186
fakebr:421,fakebr,human,fakebr_human,,12,174,408,34.0,2.3448275862068964
fakebr:421,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,20,452,1157,57.85,2.559734513274336
fakebr:458,fakebr,human,fakebr_human,,10,293,644,64.4,2.197952218430034
fakebr:458,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,18,265,649,36.05555555555556,2.449056603773585
fakebr:573,fakebr,human,fakebr_human,,10,207,428,42.8,2.0676328502415457
fakebr:573,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,29,735,1771,61.06896551724138,2.4095238095238094
fakebr:917,fakebr,human,fakebr_human,,10,100,212,23.555555555555557,2.12
fakebr:917,fakebr,machine,fakebr_machine,anthropic/claude-sonnet-4-5-20250929,18,290,697,38.72222222222222,2.4034482758620688
faketruebr:1043,faketruebr,human,faketruebr_human,,3,128,289,96.33333333333333,2.2578125
faketruebr:1043,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,18,400,981,54.5,2.4525
faketruebr:1429,faketruebr,human,faketruebr_human,,16,217,470,31.333333333333332,2.165898617511521
faketruebr:1429,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,12,267,641,53.416666666666664,2.400749063670412
faketruebr:1587,faketruebr,human,faketruebr_human,,4,124,296,74.0,2.3870967741935485
faketruebr:1587,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,13,327,816,62.76923076923077,2.4954128440366974
faketruebr:1773,faketruebr,human,faketruebr_human,,6,67,150,25.0,2.2388059701492535
faketruebr:1773,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,17,520,1238,72.82352941176471,2.3807692307692307
faketruebr:215,faketruebr,human,faketruebr_human,,5,93,227,45.4,2.4408602150537635
faketruebr:215,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,10,237,571,57.1,2.409282700421941
faketruebr:230,faketruebr,human,faketruebr_human,,3,86,192,64.0,2.2325581395348837
faketruebr:230,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,9,216,543,60.333333333333336,2.513888888888889
faketruebr:509,faketruebr,human,faketruebr_human,,10,159,353,39.22222222222222,2.220125786163522
faketruebr:509,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,12,308,741,61.75,2.405844155844156
faketruebr:542,faketruebr,human,faketruebr_human,,9,199,422,46.888888888888886,2.120603015075377
faketruebr:542,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,14,382,933,66.64285714285714,2.4424083769633507
faketruebr:70,faketruebr,human,faketruebr_human,,6,76,177,29.5,2.3289473684210527
faketruebr:70,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,15,346,891,59.4,2.5751445086705202
faketruebr:74,faketruebr,human,faketruebr_human,,6,135,232,38.666666666666664,1.7185185185185186
faketruebr:74,faketruebr,machine,faketruebr_machine,anthropic/claude-sonnet-4-5-20250929,7,186,437,62.42857142857143,2.349462365591398
