rank,frequency,word
1,193,de
2,137,que
3,133,o
4,122,a
5,86,e
6,82,em
7,77,para
8,73,da
9,73,do
10,48,no
11,39,por
12,37,com
13,36,não
14,29,os
15,29,mais
16,28,um
17,25,na
18,25,uma
19,23,lula
20,22,foi
21,22,foram
22,22,segundo
23,22,como
24,21,as
25,21,ministro
26,21,é
27,17,já
28,17,se
29,16,documentos
30,15,dos
31,15,milhões
32,15,políticos
33,14,brasil
34,14,pela
35,14,fontes
36,14,temer
37,14,esquema
38,14,mas
39,14,governo
40,14,operação
41,13,antes
42,13,ao
43,13,teria
44,13,sua
45,13,lava
46,13,jato
47,13,moraes
48,12,federal
49,12,apenas
50,11,das
51,11,sem
52,11,nos
53,10,nas
54,10,revelam
55,10,você
56,9,obtidos
57,9,ex-presidente
58,9,ele
59,9,dinheiro
60,9,anos
61,9,mendes
62,9,presidente
63,9,planalto
64,9,polícia
65,8,reportagem
66,8,está
67,8,ainda
68,8,maior
69,8,suas
70,8,bilhões
71,8,corrupção
72,8,ser
73,8,revelou
74,8,também
75,8,gilmar
76,8,palácio
77,8,empresas
78,7,áudio
79,7,exclusividade
80,7,contas
81,7,semana
82,7,anonimato
83,7,há
84,7,stf
85,7,pt
86,7,população
87,7,será
88,7,pediu
89,7,investigados
90,7,sido
91,7,à
92,7,pública
93,7,tudo
94,6,três
95,6,são
96,6,ou
97,6,até
98,6,prisão
99,6,escândalo
100,6,estão
101,6,esta
102,6,dodge
103,6,brasília
104,6,república
105,6,supremo
106,6,seu
107,6,campanhas
108,6,cada
109,6,isso
110,6,partidos
111,6,justiça
112,6,petrobras
113,6,estado
114,6,alexandre
115,6,segurança
116,6,indicação
117,5,urgente
118,5,mostram
119,5,ter
120,5,dias
121,5,durante
122,5,secretas
123,5,exterior
124,5,política
125,5,sendo
126,5,país
127,5,compartilhe
128,5,provas
129,5,especialistas
130,5,história
131,5,bilionário
132,5,reforma
133,5,diretamente
134,5,enquanto
135,5,direto
136,5,eles
137,5,quem
138,5,mesmo
139,5,sistema
140,5,escândalos
141,5,pessoalmente
142,5,mídia
143,5,odebrecht
144,5,paulo
145,5,verdade
146,5,picciani
147,5,dentro
148,5,pelo
149,5,internacional
150,5,civil
151,5,parte
152,5,arma
153,5,senado
154,4,áudios
155,4,nossa
156,4,recebido
157,4,votos
158,4,vazado
159,4,nunca
160,4,internacionais
161,4,investigação
162,4,perseguição
163,4,aécio
164,4,revela
165,4,quer
166,4,tribunal
167,4,pediram
168,4,represálias
169,4,caminho
170,4,eleições
171,4,propina
172,4,manipulação
173,4,declarou
174,4,horas
175,4,criminosa
176,4,aprovar
177,4,eleitorais
178,4,votação
179,4,poderá
180,4,poder
181,4,fim
182,4,democracia
183,4,medida
184,4,valores
185,4,menos
186,4,controle
187,4,michel
188,4,esse
189,4,pode
190,4,seus
191,4,eram
192,4,exclusiva
193,4,público
194,4,próximos
195,4,jacob
196,4,barata
197,4,casa
198,4,oficialmente
199,4,ano
200,4,dilma
201,4,afirmou
202,4,nomeação
203,4,diante
204,4,próximas
205,4,projeto
206,4,informações
207,4,civis
208,4,graves
209,3,vazamento
210,3,julgamento
211,3,desembargadores
212,3,explosiva
213,3,pedro
214,3,independentes
215,3,redes
216,3,sociais
217,3,além
218,3,confidenciais
219,3,humanos
220,3,identificar
221,3,testemunhas
222,3,oas
223,3,troca
224,3,confirmam
225,3,procurador
226,3,receberam
227,3,quando
228,3,caso
229,3,judicial
230,3,manifestações
231,3,raquel
232,3,destruir
233,3,senador
234,3,onde
235,3,confirmaram
236,3,dr.
237,3,universidade
238,3,confirmou
239,3,parlamentares
240,3,"3,6"
241,3,conta
