rank,frequency,word
1,162,de
2,105,a
3,103,que
4,99,o
5,65,e
6,59,em
7,49,do
8,47,para
9,41,da
10,35,com
11,28,uma
12,24,por
13,22,governo
14,21,na
15,21,no
16,20,um
17,18,os
18,17,não
19,16,se
20,15,já
21,15,dos
22,14,segundo
23,14,mais
24,13,como
25,13,é
26,12,teria
27,12,pela
28,12,está
29,12,mas
30,12,ao
31,10,empresas
32,10,verdade
33,10,brasil
34,10,brasileiros
35,9,acordo
36,9,anos
37,9,nos
38,9,urgente
39,9,apenas
40,9,gás
41,9,são
42,8,foi
43,8,fontes
44,8,documentos
45,8,antes
46,8,sendo
47,8,as
48,8,bolsonaro
49,8,mínimo
50,8,milhões
51,7,internacionais
52,7,pelo
53,7,nas
54,7,à
55,7,sociais
56,7,esta
57,7,salário
58,7,vai
59,6,sido
60,6,das
61,6,bilhões
62,6,informações
63,6,entre
64,6,região
65,6,redes
66,6,será
67,6,você
68,6,seus
69,6,especialistas
70,6,ser
71,6,ainda
72,6,petrobras
73,6,suas
74,6,jovem
75,6,entrevista
76,6,documento
77,6,jovens
78,6,venezuelanos
79,5,zuma
80,5,durante
81,5,real
82,5,todos
83,5,aos
84,5,estão
85,5,valor
86,5,grandes
87,5,reajuste
88,5,revelam
89,5,aumento
90,5,compartilhe
91,5,programa
92,5,transporte
93,5,adidas
94,5,mil
95,4,seu
96,4,nacional
97,4,anc
98,4,ramaphosa
99,4,vazados
100,4,segurança
101,4,estatal
102,4,empresários
103,4,oficial
104,4,decisão
105,4,federal
106,4,oficialmente
107,4,tempo
108,4,forma
109,4,digital
110,4,alertam
111,4,presidente
112,4,identificar
113,4,seria
114,4,brasileiro
115,4,enquanto
116,4,seja
117,4,justificar
118,4,denúncia
119,4,autoridades
120,4,esconde
121,4,foram
122,4,perfil
123,4,id
124,4,dados
125,4,indígenas
126,3,nesta
127,3,presidencial
128,3,sul
129,3,secreto
130,3,pediram
131,3,exclusividade
132,3,ter
133,3,caso
134,3,estava
135,3,secretas
136,3,completo
137,3,desde
138,3,usando
139,3,sob
140,3,vigilância
141,3,internacional
142,3,dezembro
143,3,país
144,3,mídia
145,3,investigar
146,3,três
147,3,últimos
148,3,dois
149,3,dias
150,3,deve
151,3,horas
152,3,pode
153,3,interesses
154,3,whatsapp
155,3,fonte
156,3,demais
157,3,medida
158,3,permite
159,3,acesso
160,3,usuários
161,3,também
162,3,campanha
163,3,reunião
164,3,corporações
165,3,benefícios
166,3,benefício
167,3,direito
168,3,política
169,3,paulo
170,3,mercado
171,3,exclusiva
172,3,cada
173,3,isso
174,3,notícia
175,3,entrega
176,3,bolívia
177,3,dia
178,3,volume
179,3,objetivo
180,3,prevê
181,3,contrato
182,3,estrangeiras
183,3,empresa
184,3,querem
185,3,contribuintes
186,3,quem
187,3,diversos
188,3,além
189,3,seleção
190,3,adidasinfluenciadores
191,3,essa
192,3,única
193,3,globo
194,3,revista
195,3,atriz
196,3,preferiu
197,3,fazer
198,3,imóveis
199,3,meses
200,3,famílias
201,3,pagamento
202,3,rastreamento
203,3,cadastro
204,3,secretaria
205,3,assistência
206,3,social
207,3,criar
208,3,desconto
209,3,lula
210,3,maduro
211,3,humanitária
212,3,verbas
213,3,yanomami
214,3,taxa
215,3,veículo
216,2,áfrica
217,2,serviço
218,2,sul-africano
219,2,anonimato
220,2,crime
221,2,cyril
222,2,obtidos
223,2,testemunhas
224,2,relataram
225,2,local
226,2,abafar
227,2,divulgando
228,2,versão
229,2,falsa
230,2,renúncia
231,2,através
232,2,controlada
233,2,imprensa
234,2,esquema
235,2,bilionário
236,2,corrupção
237,2,incluindo
238,2,ele
239,2,divulgar
240,2,comprovam
241,2,contas
242,2,ficou
243,2,entanto
244,2,dentro
245,2,vida
246,2,independentes
247,2,conseguiram
248,2,marcas
249,2,família
250,2,falar
251,2,reuniões
252,2,interna
253,2,teriam
254,2,americanas
255,2,menos
256,2,assumir
257,2,próximas
258,2,possa
259,2,organizações
260,2,investigação
261,2,independente
262,2,esse
263,2,nunca
264,2,apontam
265,2,envolve
266,2,bilionários
267,2,monitoramento
268,2,agências
269,2,inteligência
270,2,vigor
271,2,última
272,2,terça-feira
273,2,ligações
274,2,processo
275,2,ou
276,2,usado
277,2,américa
278,2,permitir
279,2,compartilhar
280,2,sensíveis
281,2,qualquer
282,2,conteúdo
283,2,considerado
284,2,1.006
285,2,congelado
286,2,beneficiar
287,2,polêmica
288,2,jair
289,2,internas
290,2,medo
291,2,atende
292,2,anterior
293,2,pressionado
294,2,temer
295,2,decreto
296,2,referência
297,2,maior
298,2,acabar
299,2,guedes
300,2,ministro
301,2,economia
302,2,privada
303,2,atual
304,2,apuração
305,2,causa
306,2,revolta
307,2,união
308,2,censurada
309,2,polêmicas
310,2,novo
311,2,metros
312,2,cúbicos
313,2,verdadeiro
314,2,energético
315,2,acontecendo
316,2,choque
317,2,consumidor
318,2,extensão
319,2,venda
320,2,original
321,2,todo
322,2,seis
323,2,participação
324,2,escândalo
325,2,garantindo
326,2,estariam
327,2,têm
328,2,us
329,2,bolso
330,2,pagar
331,2,influenciadores
332,2,mês
333,2,pacotes
334,2,exclusivos
335,2,circula
336,2,oportunidade
337,2,quer
338,2,tornar
339,2,influenciador
340,2,marca
341,2,receber
342,2,seguidores
343,2,foto
344,2,outros
345,2,estratégia
346,2,paolla
347,2,oliveira
348,2,atrizes
349,2,reeleito
350,2,caras
351,2,declarações
352,2,milhares
353,2,principais
354,2,maceió
355,2,experimentos
356,2,militares
357,2,pinheiro
358,2,fevereiro
359,2,depois
360,2,bom
361,2,bairros
362,2,anônimo
