rank,frequency,word
1,355,de
2,240,que
3,232,o
4,227,a
5,151,e
6,141,em
7,124,para
8,122,do
9,114,da
10,72,com
11,69,no
12,63,por
13,53,não
14,53,uma
15,48,um
16,47,os
17,46,na
18,43,mais
19,36,segundo
20,36,governo
21,35,como
22,34,é
23,33,se
24,32,já
25,30,foi
26,30,dos
27,29,as
28,26,lula
29,26,foram
30,26,pela
31,26,mas
32,25,ao
33,25,teria
34,24,brasil
35,24,documentos
36,23,milhões
37,23,ministro
38,22,fontes
39,21,antes
40,21,apenas
41,20,está
42,20,nos
43,18,anos
44,18,empresas
45,17,nas
46,17,das
47,16,você
48,16,federal
49,16,temer
50,16,esquema
51,16,operação
52,15,revelam
53,15,são
54,15,políticos
55,15,verdade
56,14,urgente
57,14,ainda
58,14,sua
59,14,suas
60,14,bilhões
61,14,ser
62,14,à
63,13,sendo
64,13,esta
65,13,sem
66,13,será
67,13,lava
68,13,jato
69,13,sido
70,13,presidente
71,13,moraes
72,12,petrobras
73,12,pelo
74,11,obtidos
75,11,ele
76,11,internacionais
77,11,estão
78,11,especialistas
79,11,brasileiros
80,11,também
81,11,acordo
82,10,exclusividade
83,10,sociais
84,10,durante
85,10,maior
86,10,compartilhe
87,10,seu
88,10,corrupção
89,10,dinheiro
90,10,mendes
91,10,seus
92,10,planalto
93,10,polícia
94,10,informações
95,10,segurança
96,9,reportagem
97,9,três
98,9,ex-presidente
99,9,redes
100,9,contas
101,9,anonimato
102,9,pt
103,9,vai
104,9,enquanto
105,9,cada
106,9,mínimo
107,9,revelou
108,9,isso
109,9,palácio
110,9,entrevista
111,9,gás
112,8,áudio
113,8,ter
114,8,dias
115,8,ou
116,8,secretas
117,8,escândalo
118,8,política
119,8,país
120,8,stf
121,8,salário
122,8,pediu
123,8,quem
124,8,gilmar
125,8,mídia
126,8,tudo
127,8,entre
128,8,paulo
129,8,estado
130,8,oficialmente
131,8,internacional
132,8,bolsonaro
133,7,identificar
134,7,semana
135,7,supremo
136,7,pediram
137,7,há
138,7,horas
139,7,bilionário
140,7,população
141,7,eles
142,7,medida
143,7,investigados
144,7,sistema
145,7,pública
146,7,seja
147,7,pode
148,7,exclusiva
149,7,todos
150,7,dentro
151,7,oficial
152,7,vazados
153,7,aumento
154,7,real
155,7,aos
156,7,mil
157,6,mostram
158,6,além
159,6,nunca
160,6,até
161,6,prisão
162,6,investigação
163,6,caso
164,6,dodge
165,6,quer
166,6,brasília
167,6,república
168,6,represálias
169,6,digital
170,6,história
171,6,denúncia
172,6,campanhas
173,6,diretamente
174,6,empresários
175,6,partidos
176,6,menos
177,6,meses
178,6,justiça
179,6,esse
180,6,transporte
181,6,nacional
182,6,civil
183,6,parte
184,6,próximas
185,6,estrangeiras
186,6,brasileiro
187,6,esconde
188,6,alexandre
189,6,indicação
190,6,região
191,6,jovem
192,6,documento
193,6,jovens
194,6,venezuelanos
195,5,áudios
196,5,nossa
197,5,dois
198,5,votos
199,5,independentes
200,5,testemunhas
201,5,exterior
202,5,perseguição
203,5,notícia
204,5,revela
205,5,nesta
206,5,tribunal
207,5,provas
208,5,onde
209,5,direito
210,5,declarou
211,5,reforma
212,5,aprovar
213,5,forma
214,5,grande
215,5,direto
216,5,internas
217,5,incluindo
218,5,prevê
219,5,poder
220,5,mesmo
221,5,crime
222,5,escândalos
223,5,secreto
224,5,dia
225,5,controle
226,5,michel
227,5,pessoalmente
228,5,odebrecht
229,5,revelaram
230,5,contrato
231,5,público
232,5,próximos
233,5,fazer
234,5,jacob
235,5,picciani
236,5,ano
237,5,deve
238,5,afirmou
239,5,reais
240,5,desde
241,5,mercado
242,5,número
243,5,crise
244,5,empresa
245,5,dados
246,5,decisão
247,5,estatal
248,5,essa
249,5,arma
250,5,acesso
251,5,senado
252,5,alertam
253,5,tempo
254,5,justificar
255,5,zuma
256,5,valor
257,5,grandes
258,5,reajuste
259,5,programa
260,5,adidas
261,4,vazamento
262,4,explosiva
263,4,recebido
264,4,vazado
265,4,disso
266,4,confidenciais
267,4,humanos
268,4,preferiu
269,4,medo
270,4,pinheiro
271,4,receberam
272,4,quando
273,4,todo
274,4,aécio
275,4,acabar
276,4,caminho
277,4,eleições
278,4,propina
279,4,confirmaram
280,4,manipulação
281,4,dr.
282,4,renúncia
283,4,confirmou
284,4,criminosa
285,4,regime
286,4,conta
287,4,deputados
288,4,eleitorais
289,4,votação
290,4,poderá
291,4,povo
292,4,fim
293,4,democracia
294,4,divulgar
295,4,polêmicas
296,4,total
297,4,saber
298,4,analistas
299,4,valores
300,4,imprensa
301,4,última
302,4,campanha
303,4,participação
304,4,desvio
305,4,partido
306,4,eram
307,4,era
308,4,direta
309,4,vida
310,4,assim
311,4,barata
312,4,exclusivos
313,4,comprovam
314,4,casa
315,4,dilma
316,4,nomeação
317,4,faz
318,4,diante
319,4,teriam
320,4,demais
321,4,agências
322,4,tem
323,4,americanas
324,4,projeto
325,4,últimos
326,4,casos
327,4,civis
328,4,fonte
329,4,graves
330,4,pessoas
331,4,verdadeira
332,4,objetivo
333,4,reunião
334,4,presidencial
335,4,anc
336,4,ramaphosa
337,4,seria
338,4,autoridades
339,4,perfil
340,4,id
341,4,indígenas
342,3,julgamento
343,3,desembargadores
344,3,feita
345,3,pedro
346,3,situação
347,3,defesa
348,3,completa
349,3,garantir
350,3,fiscais
351,3,direitos
352,3,verdadeiro
353,3,retaliação
354,3,relatam
355,3,oas
356,3,troca
357,3,confirmam
358,3,procurador
359,3,milionários
360,3,judicial
361,3,onu
362,3,manifestações
363,3,raquel
364,3,destruir
365,3,privada
366,3,senador
367,3,oposição
368,3,conversas
369,3,universidade
370,3,evidências
371,3,dito
372,3,ligações
373,3,advogado
374,3,eleitoral
375,3,congresso
376,3,às
377,3,meio
378,3,parlamentares
379,3,"3,6"
380,3,bolso
381,3,pagar
382,3,nada
383,3,paga
384,3,acontecer
385,3,denúncias
386,3,usado
387,3,pelos
388,3,gastos
389,3,congelado
390,3,identificado
391,3,poderão
392,3,através
393,3,laranjas
394,3,político
395,3,mãos
396,3,prática
397,3,candidatos
398,3,embora
399,3,tenha
400,3,outros
401,3,cadeia
402,3,fake
403,3,news
404,3,podem
405,3,saiba
406,3,reuniões
407,3,deveria
408,3,tarde
409,3,qualquer
410,3,brasileira
411,3,secretos
412,3,comandava
413,3,luiz
414,3,envolve
415,3,obras
416,3,públicos
417,3,funcionários
418,3,realmente
419,3,ordem
420,3,afirmam
421,3,roberto
422,3,ministério
423,3,mandados
424,3,aliados
425,3,pf
426,3,família
427,3,rio
428,3,terça-feira
429,3,agentes
430,3,filho
431,3,divulgados
432,3,dessa
433,3,us
434,3,fazenda
435,3,metros
436,3,saúde
437,3,deste
438,3,atual
439,3,cargo
440,3,muito
441,3,números
442,3,revelar
443,3,recursos
444,3,plano
445,3,investigações
446,3,este
447,3,jornal
448,3,infiltrados
449,3,dizendo
450,3,semanas
451,3,tornar
452,3,me
453,3,exclusivo
454,3,assumir
455,3,processo
456,3,garantido
457,3,constitucionalista
458,3,serem
459,3,apuração
460,3,multinacionais
461,3,operações
462,3,brasileiras
463,3,cia
464,3,americano
465,3,petrobrás
466,3,inteligência
467,3,essas
468,3,energético
469,3,trabalhou
470,3,interna
471,3,censurada
472,3,novo
473,3,questões
474,3,realizados
475,3,moradores
476,3,relataram
477,3,problemas
478,3,informou
479,3,segunda-feira
480,3,entanto
481,3,apontam
482,3,passado
483,3,ficar
484,3,hoje
485,3,processos
486,3,bastidores
487,3,assessoria
488,3,bom
489,3,principais
490,3,policiais
491,3,militares
492,3,milhares
493,3,ligadas
494,3,tiveram
495,3,sul
496,3,estava
497,3,completo
498,3,usando
499,3,sob
500,3,vigilância
501,3,dezembro
502,3,investigar
503,3,interesses
504,3,whatsapp
505,3,permite
506,3,usuários
507,3,corporações
508,3,benefícios
509,3,benefício
510,3,entrega
511,3,bolívia
512,3,volume
513,3,querem
514,3,contribuintes
515,3,diversos
516,3,seleção
517,3,adidasinfluenciadores
518,3,única
519,3,globo
520,3,revista
521,3,atriz
522,3,imóveis
523,3,famílias
524,3,pagamento
525,3,rastreamento
526,3,cadastro
527,3,secretaria
528,3,assistência
529,3,social
530,3,criar
531,3,desconto
532,3,maduro
533,3,humanitária
534,3,verbas
535,3,yanomami
536,3,taxa
537,3,veículo
538,2,farsa
539,2,ordens
540,2,diretas
541,2,gravação
542,2,santos
543,2,combinando
544,2,importa
545,2,decidido
546,2,outro
547,2,aumentar
548,2,pena
549,2,saia
550,2,gravações
551,2,apartamento
552,2,passou
553,2,apresentadas
554,2,acusação
555,2,imóvel
556,2,empresário
557,2,jamais
558,2,chocante
559,2,léo
560,2,redução
561,2,médicos
562,2,sinais
563,2,tentar
564,2,gerum
565,2,possui
566,2,paralela
567,2,jornalistas
568,2,comentar
569,2,todas
570,2,juristas
571,2,prepara
572,2,relatório
573,2,escondendo
574,2,removam
575,2,neves
576,2,procuradora-geral
577,2,carreira
578,2,tucano
579,2,pedido
580,2,quarta-feira
581,2,pgr
582,2,estar
583,2,ilegalmente
584,2,patrimônio
585,2,obtido
586,2,precisamos
587,2,reservado
588,2,procuradora
589,2,terem
590,2,porém
591,2,houve
592,2,marco
593,2,aurélio
594,2,havia
595,2,abuso
596,2,autoridade
597,2,apurou
598,2,sessão
599,2,reservada
600,2,viu
601,2,assinaram
602,2,ação
603,2,associação
604,2,aprova
605,2,fundo
606,2,urgência
607,2,políticas
608,2,ninguém
609,2,senadores
610,2,impostos
611,2,próprias
612,2,marcada
613,2,relâmpago
614,2,manobra
615,2,assalto
616,2,hospitais
617,2,fome
618,2,garantem
619,2,desviado
620,2,bolsos
621,2,luxo
622,2,familiares
623,2,receberá
624,2,cerca
625,2,vão
626,2,candidato
627,2,lavagem
628,2,financiamento
629,2,cláusula
630,2,pequenos
631,2,populares
632,2,serão
633,2,ouvida
634,2,ficará
635,2,mesmos
636,2,sempre
637,2,aqueles
638,2,envolvidos
639,2,existe
640,2,beneficia
641,2,resultados
642,2,feitas
643,2,propaganda
644,2,hora
645,2,partir
646,2,internet
647,2,notícias
648,2,decisões
649,2,algoritmos
650,2,pesquisas
651,2,proibidas
652,2,eleição
653,2,terá
654,2,controlam
655,2,máquina
656,2,pressão
657,2,pressionando
658,2,caixa
659,2,sofre
660,2,salários
661,2,aposentados
662,2,delações
663,2,sabia
664,2,ordenou
665,2,recebia
666,2,ex-executivos
667,2,delação
668,2,inácio
669,2,silva
670,2,refinaria
671,2,repar
672,2,explodiu
673,2,"2,5"
674,2,propinas
675,2,favorecer
676,2,disse
677,2,delator
678,2,dallagnol
679,2,novas
680,2,finalmente
681,2,esquemas
682,2,abastecimento
683,2,olhos
684,2,costa
685,2,contratos
686,2,desviar
687,2,funcionava
688,2,rombo
689,2,devem
690,2,tona
691,2,responsáveis
692,2,crimes
693,2,corruptos
694,2,agora
695,2,queimando
696,2,desta
697,2,janeiro
698,2,jorge
699,2,desvios
700,2,exclusivas
701,2,registros
702,2,pagamentos
703,2,mensais
704,2,nomes
705,2,off
706,2,escondidos
707,2,velha
708,2,setor
709,2,públicas
710,2,informação
711,2,tentou
712,2,assessores
713,2,coletiva
714,2,emergência
715,2,conhecimento
716,2,contratado
717,2,advogados
718,2,inicialmente
719,2,envolvendo
720,2,chocou
721,2,anunciou
722,2,ontem
723,2,institucional
724,2,transferências
725,2,vinculadas
726,2,neutralizar
727,2,aqui
728,2,decidiu
729,2,tentaram
730,2,amaral
731,2,chocantes
732,2,planejada
733,2,mostrariam
734,2,suspeitas
735,2,suíça
736,2,estaria
737,2,impeachment
738,2,líderes
739,2,câmara
740,2,preferiram
741,2,perder
742,2,foro
743,2,privilegiado
744,2,bombástica
745,2,carne
746,2,fraca
747,2,ex-funcionário
748,2,própria
749,2,planejado
750,2,samarco
751,2,estratégicos
752,2,competir
753,2,gestão
754,2,coincidência
755,2,verdadeiros
756,2,manipulado
757,2,automaticamente
758,2,simultaneamente
759,2,mantinha
760,2,danos
761,2,circunstâncias
762,2,tinham
763,2,acidentes
764,2,precisa
765,2,pentágono
766,2,secreta
767,2,micro-ondas
768,2,anônima
769,2,base
770,2,nosso
771,2,portal
772,2,médico
773,2,testes
774,2,equipamentos
775,2,estados
776,2,unidos
777,2,desenvolvimento
778,2,norte
779,2,porta-voz
780,2,manifestaram
781,2,preocupação
782,2,comissão
783,2,estamos
784,2,recusa
785,2,vaga
786,2,blindagem
787,2,presidência
788,2,escolha
789,2,vez
790,2,aprovação
791,2,nome
792,2,apoio
793,2,investigadores
794,2,ganha
795,2,teve
796,2,internos
797,2,outras
798,2,dezenas
799,2,sérias
800,2,preso
801,2,cooperativa
802,2,influência
803,2,revisor
804,2,julgamentos
805,2,pedir
806,2,estratégico
807,2,membros
808,2,peça
809,2,início
810,2,décadas
811,2,promete
812,2,assiste
813,2,oculta
814,2,desapareceram
815,2,apresentado
816,2,orquestrado
817,2,mortes
818,2,completamente
819,2,trabalhador
820,2,executado
821,2,assassinato
822,2,complicações
823,2,cirurgia
824,2,áfrica
825,2,serviço
826,2,sul-africano
827,2,cyril
828,2,local
829,2,abafar
830,2,divulgando
831,2,versão
832,2,falsa
833,2,controlada
834,2,ficou
835,2,conseguiram
836,2,marcas
837,2,falar
838,2,possa
839,2,organizações
840,2,independente
841,2,bilionários
842,2,monitoramento
843,2,vigor
844,2,américa
845,2,permitir
846,2,compartilhar
847,2,sensíveis
848,2,conteúdo
849,2,considerado
850,2,1.006
851,2,beneficiar
852,2,polêmica
853,2,jair
854,2,atende
855,2,anterior
856,2,pressionado
857,2,decreto
858,2,referência
859,2,guedes
860,2,economia
861,2,causa
862,2,revolta
863,2,união
864,2,cúbicos
865,2,acontecendo
866,2,choque
867,2,consumidor
868,2,extensão
869,2,venda
870,2,original
871,2,seis
872,2,garantindo
873,2,estariam
874,2,têm
875,2,influenciadores
876,2,mês
877,2,pacotes
878,2,circula
879,2,oportunidade
880,2,influenciador
881,2,marca
882,2,receber
883,2,seguidores
884,2,foto
885,2,estratégia
886,2,paolla
887,2,oliveira
888,2,atrizes
889,2,reeleito
890,2,caras
891,2,declarações
892,2,maceió
893,2,experimentos
894,2,fevereiro
895,2,depois
896,2,bairros
897,2,anônimo
898,2,culpar
899,2,extração
900,2,sal-gema
901,2,braskem
902,2,divulgado
903,2,recebendo
904,2,nem
905,2,divinópolis
906,2,identidade
907,2,identificação
908,2,data
909,2,criando
910,2,roraima
911,2,absurdo
912,2,renovação
913,2,licenciamento
914,2,anual
915,2,trlav
916,1,expõe
917,1,confessam
918,1,condenação
919,1,encomendada
920,1,revelação
921,1,abala
922,1,8ª
923,1,turma
924,1,trf-4
925,1,admitiram
926,1,condenar
927,1,magistrados
928,1,joão
929,1,gebran
930,1,neto
931,1,leandro
932,1,paulsen
933,1,victor
934,1,laus
935,1,aparecem
936,1,rindo
937,1,apresente
938,1,resultado
939,1,diz
940,1,vamos
941,1,tão
942,1,cedo
943,1,autenticadas
944,1,peritos
945,1,circulam
946,1,triplex
947,1,reformas
948,1,notas
949,1,falsificações
950,1,grosseiras
951,1,laudo
952,1,pericial
953,1,encomendado
954,1,entidades
955,1,dono
956,1,confirma
957,1,vendeu
958,1,cedeu
959,1,torturado
960,1,psicologicamente
961,1,seguidos
962,1,aceitar
963,1,mentir
964,1,atenderam
965,1,trauma
966,1,severo
967,1,dizem
968,1,chegou
969,1,suicídio
970,1,vezes
971,1,maurício
972,1,apresentou
973,1,bancárias
974,1,depósitos
975,1,origem
976,1,desconhecida
977,1,investigativos
978,1,questionado
979,1,recusou
980,1,cancelou
981,1,entrevistas
982,1,agendadas
983,1,classificam
984,1,século
985,1,massivas
986,1,organizadas
987,1,acusada
988,1,explosivo
989,1,confessado
990,1,admitido
991,1,conversa
992,1,conduzindo
993,1,psdb-mg
994,1,bloqueou
995,1,"7,4"
996,1,afirma
997,1,tirar
998,1,jantar
999,1,restaurante
1000,1,reuniu
1001,1,petistas
1002,1,influentes
1003,1,irmã
1004,1,andrea
1005,1,falsamente
1006,1,acusados
1007,1,joesley
1008,1,batista
1009,1,j
1010,1,f
1011,1,penal
1012,1,ouviram
1013,1,originais
1014,1,procuradoria
1015,1,perito
1016,1,forense
1017,1,carlos
1018,1,magalhães
1019,1,claramente
1020,1,adulteradas
1021,1,incriminar
1022,1,rejeitado
1023,1,pedidos
1024,1,absurdos
1025,1,novembro
1026,1,classificando-os
1027,1,precedentes
1028,1,tamanha
1029,1,falta
1030,1,petição
1031,1,online
1032,1,pedindo
1033,1,hashtag
1034,1,foradodge
1035,1,comentada
1036,1,alberto
1037,1,zacharias
1038,1,toron
1039,1,entrará
1040,1,criminal
1041,1,prevaricação
1042,1,finalidade
1043,1,escondidas
1044,1,caos
1045,1,consultada
1046,1,votam
1047,1,destina
1048,1,te
1049,1,perguntou
1050,1,uniram
1051,1,segredo
1052,1,absoluto
1053,1,maiores
1054,1,roubalheiras
1055,1,vistas
1056,1,criação
1057,1,retirados
1058,1,financiar
1059,1,debate
1060,1,chamam
1061,1,fecham
1062,1,escolas
1063,1,desmoronam
1064,1,passa
1065,1,luxuosas
1066,1,distribuído
1067,1,fiscalização
1068,1,livremente
1069,1,festas
1070,1,hotéis
1071,1,deputado
1072,1,média
1073,1,permanece
1074,1,auditor
1075,1,cheque
1076,1,branco
1077,1,usar
1078,1,perpetuar
1079,1,proibição
1080,1,financia
1081,1,mudanças
1082,1,cria
1083,1,sigilo
1084,1,doações
1085,1,financiando
1086,1,abre
1087,1,organizado
1088,1,doar
1089,1,descubra
1090,1,retrocede
1091,1,transparência
1092,1,acaba
1093,1,concentra
