rank,fakebr_human_word,fakebr_human_frequency,fakebr_machine_word,fakebr_machine_frequency,faketruebr_human_word,faketruebr_human_frequency,faketruebr_machine_word,faketruebr_machine_frequency,human_word,human_frequency,machine_word,machine_frequency
1,de,106,de,193,de,62,de,162,de,168,de,355
2,a,87,que,137,e,52,a,105,a,130,que,240
3,o,76,o,133,a,43,que,103,o,106,o,232
4,que,58,a,122,o,30,o,99,e,95,a,227
5,do,45,e,86,que,27,e,65,que,85,e,151
6,da,44,em,82,para,27,em,59,do,63,em,141
7,e,43,para,77,em,19,do,49,da,63,para,124
8,em,29,da,73,da,19,para,47,para,51,do,122
9,com,26,do,73,do,18,da,41,em,48,da,114
10,para,24,no,48,no,16,com,35,com,39,com,72
11,um,24,por,39,com,13,uma,28,no,37,no,69
12,ele,23,com,37,um,12,por,24,um,36,por,63
13,na,22,não,36,vai,10,governo,22,na,28,não,53
14,no,21,os,29,uma,10,na,21,uma,27,uma,53
15,uma,17,mais,29,se,10,no,21,não,24,um,48
16,não,15,um,28,não,9,um,20,ele,23,os,47
17,é,14,na,25,todos,8,os,18,se,22,na,46
18,dos,13,uma,25,as,8,não,17,é,21,mais,43
19,está,12,lula,23,mil,8,se,16,os,18,segundo,36
20,se,12,foi,22,brasil,7,já,15,as,16,governo,36
