rank,frequency,word
1,12,ministro
2,9,lula
3,7,decisão
4,7,aécio
5,7,entrevistados
6,6,ex-presidente
7,6,país
8,6,delação
9,5,pec
10,5,deputados
11,4,moro
12,4,globo
13,4,senador
14,4,relação
15,4,deputado
16,4,morte
17,4,poderia
18,4,fim
19,4,prisão
20,4,hoje
21,4,sendo
22,4,proposta
23,4,redução
24,4,senadores
25,4,favor
26,4,petróleo
27,4,petrobras
28,4,mendes
29,4,corte
30,4,kim
31,4,alvos
32,4,ataque
33,4,nuclear
34,4,alexandre
35,4,moraes
36,4,stf
37,4,cantora
38,3,pt
39,3,partido
40,3,mil
41,3,agora
42,3,pena
43,3,caso
44,3,rede
45,3,afastado
46,3,neves
47,3,tempo
48,3,operação
49,3,amigo
50,3,emocional
51,3,momento
52,3,vida
53,3,doeu
54,3,tomar
55,3,deu
56,3,cada
57,3,muita
58,3,brasil
59,3,viana
60,3,reduzir
61,3,milhões
62,3,campo
63,3,propina
64,3,negócio
65,3,gilmar
66,3,suprema
67,3,nomeação
68,3,governo
69,3,supremo
70,3,pesquisa
71,3,mostra
72,3,armas
73,3,pessoas
74,3,jong-un
75,3,eua
76,3,durante
77,3,barriga
78,3,novela
79,3,cavalo
80,3,paula
81,2,diz
82,2,dinheiro
83,2,juiz
84,2,alega
85,2,aspas
86,2,própria
87,2,sentença
88,2,casa
89,2,acusações
90,2,força
91,2,sociedade
92,2,mundo
93,2,cometer
94,2,todo
95,2,líder
96,2,popular
97,2,amigos
98,2,suicídio
99,2,folha
100,2,conversou
101,2,temor
102,2,depressão
103,2,conta
104,2,friboi
105,2,pouco
106,2,segundo
107,2,redes
108,2,sociais
109,2,melhor
110,2,projeto
111,2,lava
112,2,jato
113,2,última
114,2,toda
115,2,avô
116,2,escreveu
117,2,processo
118,2,brasileira
119,2,maneira
120,2,fontes
121,2,primo
122,2,próximo
123,2,federal
124,2,falar
125,2,três
126,2,anos
127,2,certeza
128,2,tanto
129,2,próprio
130,2,posse
131,2,desde
132,2,ainda
133,2,ter
134,2,chegou
135,2,disse
136,2,acabou
137,2,foto
138,2,pode
139,2,fazer
140,2,pra
141,2,pública
142,2,prevê
143,2,número
144,2,jorge
145,2,quantidade
146,2,apontam
147,2,população
148,2,ruim
149,2,ano
150,2,milhão
151,2,senado
152,2,deve
153,2,constituição
154,2,representa
155,2,habitantes
156,2,justiça
157,2,bilhões
158,2,porém
159,2,benin
160,2,pmdb
161,2,estatal
162,2,cerveró
163,2,propinas
164,2,confirmou
165,2,cúpula
166,2,cunha
167,2,us
168,2,apenas
169,2,parte
170,2,poderá
171,2,governador
172,2,danielle
173,2,esquema
174,2,atual
175,2,minas
176,2,gerais
177,2,fernando
178,2,pimentel
179,2,recorrer
180,2,pixuleco
181,2,defesa
182,2,drogas
183,2,bebidas
184,2,alcoólicas
185,2,enfim
186,2,totalmente
187,2,declararam
188,2,cidadão
189,2,venda
190,2,concordam
191,2,mapa
192,2,guerra
193,2,pyongyang
194,2,norte
195,2,washington
196,2,nucleares
197,2,mísseis
198,2,primeiro
199,2,obama
200,2,capacidade
201,2,jamais
202,2,sabiá
203,2,glória
204,2,perez
205,2,glamouriza
206,2,tráfico
207,2,trabalho
208,2,sério
209,2,povo
210,2,brasileiro
211,2,lugar
212,2,concorda
213,2,fernandes
214,2,mordida
215,2,animal
216,2,levou
217,2,vídeo
218,1,sobreviver
219,1,chama
220,1,mentiroso
221,1,mesquinho
222,1,conspirador
223,1,trabalhadores
224,1,soltou
225,1,nota
226,1,repúdio
227,1,sérgio
228,1,bloqueio
229,1,patrimônios
230,1,pobre
231,1,básico
232,1,abre
233,1,condenar
234,1,provas
235,1,propagar
236,1,mentiras
237,1,contradizer
238,1,sergio
239,1,decidiu
240,1,vingar-se
241,1,inocente
242,1,bloquear
243,1,bens
244,1,decretou
245,1,asfixia
246,1,econômica
247,1,priva
248,1,meios
249,1,subsistir
250,1,defender
251,1,falsas
252,1,mesquinha
253,1,tramada
254,1,segredo
255,1,longo
256,1,meses
257,1,tarefa
258,1,curitiba
259,1,concluída
260,1,forte
261,1,reação
262,1,jurídico
263,1,injusta
264,1,tríplex
265,1,típico
266,1,retaliação
267,1,vale
268,1,cumplicidade
269,1,tipo
270,1,arbitrariedades
271,1,maior
272,1,fecha
273,1,temem
274,1,cometa
275,1,reportagem
276,1,familiares
277,1,percebeu
278,1,sentimento
279,1,causada
280,1,efeitos
281,1,colaterais
282,1,céu
283,1,inferno
284,1,quase
285,1,ganhar
286,1,dilma
287,1,turno
288,1,transformou
289,1,herói
290,1,nacional
291,1,aplaudido
292,1,pé
293,1,restaurante
294,1,entrava
295,1,apontado
296,1,resposta
297,1,poder
298,1,entanto
299,1,diversas
300,1,delações
301,1,colhidas
302,1,passaram
303,1,apontar
304,1,corrupto
305,1,semana
306,1,cargo
307,1,república
308,1,manchando
309,1,assim
310,1,história
311,1,tancredo
312,1,redemocratização
313,1,avaliar
314,1,reagindo
315,1,caos
316,1,próximas
317,1,conversamos
318,1,colega
319,1,atualmente
320,1,mandato
321,1,todos
322,1,aceitaram
323,1,sob
324,1,manto
325,1,anonimato
326,1,extremamente
327,1,preocupadas
328,1,estado
329,1,evidente
330,1,fala
331,1,dois
332,1,veja
333,1,disseram
334,1,conheço
335,1,posso
336,1,triste
337,1,nele
338,1,assistindo
339,1,velório
340,1,havia
341,1,preparado
342,1,janeiro
343,1,presidente
344,1,certo
345,1,cabeça
346,1,resultado
347,1,eleição
348,1,anunciado
349,1,começou
350,1,entrar
351,1,nesta
352,1,odebrecht
353,1,acreditava
354,1,sair
355,1,ileso
356,1,vazamento
357,1,conversa
358,1,dono
359,1,passou
360,1,estaria
361,1,dizer
362,1,estrutura
363,1,eventual
364,1,dar
365,1,nisso
366,1,preocupa
367,1,coragem
368,1,perguntar
369,1,irmã
370,1,sentindo
371,1,culpado
372,1,ferido
373,1,polícia
374,1,golpe
375,1,duro
376,1,receber
377,1,acho
378,1,doeria
379,1,quanto
380,1,ver
381,1,jornais
382,1,andrea
383,1,uniforme
384,1,presidiária
385,1,expressão
386,1,tão
387,1,sofrida
388,1,sangrando
389,1,dentro
390,1,sabe
391,1,nada
392,1,nova
393,1,revelação
394,1,afunda
395,1,mantendo
396,1,sempre
397,1,alguém
398,1,família
399,1,perto
400,1,besteira
401,1,deus
402,1,livre
403,1,seriamente
404,1,preocupado
405,1,desistindo
406,1,vê
407,1,pessoalmente
408,1,barba
409,1,cabelo
410,1,despenteado
411,1,reconhece
412,1,condenado
413,1,corredor
414,1,tentando
415,1,reanimar
416,1,difícil
417,1,pior
418,1,gente
419,1,deletando
420,1,bloqueando
421,1,vemos
422,1,verdade
423,1,lição
424,1,dolorida
425,1,achava
426,1,querido
427,1,tantos
428,1,espero
429,1,suporte
430,1,dor
431,1,precisa
432,1,apoiar
433,1,petista
434,1,ac
435,1,106/2015
436,1,pesquisas
437,1,recentes
438,1,opinião
439,1,avalia
440,1,desempenho
441,1,parlamentares
442,1,e/ou
443,1,péssimo
444,1,custo
445,1,mantê-los
446,1,capital
447,1,impressiona
448,1,chega
449,1,atingir
450,1,cifra
451,1,astronômica
452,1,bilhão
453,1,equivale
454,1,"1,1"
455,1,salários
456,1,mínimos
457,1,início
458,1,assunto
459,1,ganhou
460,1,repercussão
461,1,centenas
462,1,milhares
463,1,internautas
464,1,votaram
465,1,site
466,1,independente
467,1,orientação
468,1,partidária
469,1,pressão
470,1,continuar
471,1,emenda
472,1,caia
473,1,esquecimento
474,1,visa
475,1,terço
476,1,unidade
477,1,federação
478,1,federais
479,1,aprovada
480,1,haveria
481,1,385.
482,1,somente
483,1,câmara
484,1,gerar
485,1,economia
486,1,média
487,1,perdemos
488,1,estados
489,1,unidos
490,1,onde
491,1,parlamentar
492,1,apresentou
493,1,julho
494,1,2015.
495,1,encaminhada
496,1,comissão
497,1,ccj
498,1,então
499,1,ficou
500,1,parada
501,1,espera
502,1,relator
503,1,áfrica
504,1,prejuízo
505,1,rombo
506,1,alcança
507,1,informou
508,1,contratos
509,1,firmados
510,1,base
511,1,expectativas
512,1,lucro
513,1,contrariaram
514,1,pareceres
515,1,técnicos
516,1,aconselhavam
517,1,africa
518,1,normal
519,1,perfurar
520,1,alguns
521,1,poços
522,1,secos
523,1,aconteceu
524,1,junção
525,1,ineficiência
526,1,administrativa
527,1,corrupção
528,1,declarou
529,1,procurador
530,1,mpf
531,1,diogo
532,1,castor
533,1,mattos
534,1,força-tarefa
535,1,área
536,1,international
537,1,responsável
538,1,comandada
539,1,diretores
540,1,nestor
541,1,2003/2008
542,1,zelada
543,1,2008/2012
544,1,ambos
545,1,condenados
546,1,recebimento
547,1,leia-se
548,1,renan
549,1,calheiros
550,1,beneficiados
551,1,negam
552,1,dólares
553,1,rendeu
554,1,gorda
555,1,recebida
556,1,eduardo
557,1,descoberta
558,1,sozinho
559,1,companhia
560,1,mg
561,1,cadeia
562,1,matéria
563,1,publicada
564,1,revista
565,1,época
566,1,informa
567,1,fonteles
568,1,dona
569,1,agência
570,1,pepper
571,1,interativa
572,1,fechou
573,1,acordo
574,1,premiada
575,1,acrônimo
576,1,pf
577,1,investiga
578,1,desvio
579,1,ministério
580,1,desenvolvimento
581,1,rercursos
582,1,abastecido
583,1,campanha
584,1,mãos
585,1,herman
586,1,benjamin
587,1,stj
588,1,faltando
589,1,homologada
590,1,tesoureiro
591,1,usaram
592,1,criminoso
593,1,financiar
594,1,ilegalmente
595,1,campanhas
596,1,eleitorais
597,1,analisada
598,1,despacho
599,1,suspendendo
600,1,chefe
601,1,civil
602,1,xeque-mate
603,1,enterrou
604,1,pretensões
605,1,anunciar
606,1,levará
607,1,análise
608,1,plenário
609,1,significa
610,1,partir
611,1,deverá
612,1,julgada
613,1,diretamente
614,1,ministros
615,1,circunstância
616,1,cabe
617,1,recursos
618,1,quarta
619,1,embora
620,1,sido
621,1,alvo
622,1,ações
623,1,sobrepõe
624,1,todas
625,1,demais
626,1,tratar
627,1,entendimento
628,1,chamou
629,1,acovardada
630,1,bala
631,1,perdida
632,1,assaltos
633,1,sequestros
634,1,policiais
635,1,assassinados
636,1,diariamente
637,1,perdendo
638,1,entes
639,1,queridos
640,1,banalização
641,1,total
642,1,realidade
643,1,realizada
644,1,cni/ibope
645,1,claramente
646,1,brasileiros
647,1,pensam
648,1,violência
649,1,generalizada
650,1,dados
651,1,divulgados
652,1,acreditam
653,1,penas
654,1,rígidas
655,1,podem
656,1,drasticamente
657,1,criminalidade
658,1,defendem
659,1,perpétua
660,1,crimes
661,1,ediondos
662,1,revelou
663,1,maioridade
664,1,penal
665,1,segurança
666,1,consideram
667,1,age
668,1,péssima
669,1,contrários
670,1,porte
671,1,comum
672,1,legalização
673,1,maconha
674,1,consultados
675,1,proibição
676,1,0:00
677,1,horas
678,1,consultadas
679,1,2.002
680,1,cidades
681,1,revela
682,1,primeiros
683,1,plano
684,1,batalha
685,1,divulgado
686,1,coreia
687,1,reunião
688,1,alta
689,1,militar
690,1,comunista
691,1,jornal
692,1,post
693,1,possui
694,1,tecnologia
695,1,suficiente
696,1,fabricar
697,1,ogivas
698,1,miniaturas
699,1,possibilita
700,1,bombas
701,1,acopladas
702,1,intercontinentais
703,1,coréia
704,1,considerando
705,1,ataques
706,1,cidades-chave
707,1,desses
708,1,previamente
709,1,anunciados
710,1,kin-jong-un
711,1,propaganda
712,1,transmitida
713,1,tv
714,1,trajetórias
715,1,destacadas
716,1,subtítulo
717,1,mainland
718,1,strike
719,1,plan
720,1,san
721,1,diego
722,1,califórnia
723,1,austin
724,1,texas
725,1,dc
726,1,ilhas
727,1,havaí
728,1,possíveis
729,1,bem
730,1,sucedido
731,1,nesses
732,1,matar
733,1,cerca
734,1,1/2
735,1,reino
736,1,eremita
737,1,nunca
738,1,visto
739,1,ameaça
740,1,significativa
741,1,gestões
742,1,barack
743,1,facilitando
744,1,fortalecimento
745,1,trocando
746,1,miúdos
747,1,comeu
748,1,gíria
749,1,projetos
750,1,iniciais
751,1,incluíam
752,1,imperialistas
753,1,forlando
754,1,kin
755,1,medidas
756,1,drásticas
757,1,icbms
758,1,projetados
759,1,atacar
760,1,outros
761,1,países
762,1,sim
763,1,assegurar
764,1,território
765,1,vamos
766,1,parar
767,1,desenvolvê-los
768,1,ativista
769,1,desarmamento
770,1,derek
771,1,johnson
772,1,diretor
773,1,executivo
774,1,global
775,1,zero
776,1,condenou
777,1,marcha
778,1,direção
779,1,coordenadas
780,1,trump
781,1,inda
782,1,feito
783,1,esforço
784,1,diplomático
785,1,conversas
786,1,governantes
787,1,devem
788,1,evitar
789,1,qualquer
790,1,cenário
791,1,arrisque
792,1,uso
793,1,catástrofe
794,1,vista
795,1,x
796,1,twitter
797,1,criticou
798,1,querer
799,1,referência
800,1,tramas
801,1,narradas
802,1,personagens
803,1,bibi
804,1,rubinho
805,1,etc
806,1,glamour
807,1,banhado
808,1,sangue
809,1,exercer
810,1,direito
811,1,opinar
812,1,achar
813,1,conveniente
814,1,concordamos
815,1,críticas
816,1,membro
817,1,declaração
818,1,impensada
819,1,julga
820,1,maioria
821,1,vezes
822,1,solta
823,1,bandidos
824,1,empresário
825,1,corruptos
826,1,políticos
827,1,pilantras
828,1,banda
829,1,podre
830,1,autora
831,1,aline
832,1,ministra
833,1,envolveria
834,1,assuntos
835,1,nove
836,1,questão
837,1,bom
838,1,senso
839,1,deixo
840,1,aqui
841,1,pergunta
842,1,impunidade
843,1,honesto
844,1,suportou
845,1,leva
846,1,acariciar
847,1,susto
848,1,manhã
849,1,fazenda
850,1,enquanto
851,1,acariciava
852,1,compartilhado
853,1,instagram
854,1,artista
855,1,fazendo
856,1,carinho
857,1,surpreendida
858,1,dizem
859,1,más
860,1,línguas
861,1,fama
862,1,antipática
863,1,assustada
864,1,grita
865,1,legenda
866,1,explica
867,1,brincando
868,1,grito
