rank,frequency,word
1,23,lula
2,22,segundo
3,21,ministro
4,16,documentos
5,15,milhões
6,15,políticos
7,14,brasil
8,14,fontes
9,14,temer
10,14,esquema
11,14,governo
12,14,operação
13,13,antes
14,13,lava
15,13,jato
16,13,moraes
17,12,federal
18,12,apenas
19,10,revelam
20,9,obtidos
21,9,ex-presidente
22,9,dinheiro
23,9,anos
24,9,mendes
25,9,presidente
26,9,planalto
27,9,polícia
28,8,reportagem
29,8,ainda
30,8,maior
31,8,bilhões
32,8,corrupção
33,8,revelou
34,8,gilmar
35,8,palácio
36,8,empresas
37,7,áudio
38,7,exclusividade
39,7,contas
40,7,semana
41,7,anonimato
42,7,stf
43,7,pt
44,7,população
45,7,pediu
46,7,investigados
47,7,sido
48,7,pública
49,7,tudo
50,6,três
51,6,prisão
52,6,escândalo
53,6,dodge
54,6,brasília
55,6,república
56,6,supremo
57,6,campanhas
58,6,cada
59,6,partidos
60,6,justiça
61,6,petrobras
62,6,estado
63,6,alexandre
64,6,segurança
65,6,indicação
66,5,urgente
67,5,mostram
68,5,ter
69,5,dias
70,5,durante
71,5,secretas
72,5,exterior
73,5,política
74,5,sendo
75,5,país
76,5,compartilhe
77,5,provas
78,5,especialistas
79,5,história
80,5,bilionário
81,5,reforma
82,5,diretamente
83,5,enquanto
84,5,direto
85,5,sistema
86,5,escândalos
87,5,pessoalmente
88,5,mídia
89,5,odebrecht
90,5,paulo
91,5,verdade
92,5,picciani
93,5,dentro
94,5,internacional
95,5,civil
96,5,parte
97,5,arma
98,5,senado
99,4,áudios
100,4,recebido
101,4,votos
102,4,vazado
103,4,nunca
104,4,internacionais
105,4,investigação
106,4,perseguição
107,4,aécio
108,4,revela
109,4,quer
110,4,tribunal
111,4,pediram
112,4,represálias
113,4,caminho
114,4,eleições
115,4,propina
116,4,manipulação
117,4,declarou
118,4,horas
119,4,criminosa
120,4,aprovar
121,4,eleitorais
122,4,votação
123,4,poderá
124,4,poder
125,4,fim
126,4,democracia
127,4,medida
128,4,valores
129,4,menos
130,4,controle
131,4,michel
132,4,pode
133,4,exclusiva
134,4,público
135,4,próximos
136,4,jacob
137,4,barata
138,4,casa
139,4,oficialmente
140,4,ano
141,4,dilma
142,4,afirmou
143,4,nomeação
