rank,frequency,word
1,22,governo
2,14,segundo
3,10,empresas
4,10,verdade
5,10,brasil
6,10,brasileiros
7,9,acordo
8,9,anos
9,9,urgente
10,9,apenas
11,9,gás
12,8,fontes
13,8,documentos
14,8,antes
15,8,sendo
16,8,bolsonaro
17,8,mínimo
18,8,milhões
19,7,internacionais
20,7,sociais
21,7,salário
22,7,vai
23,6,sido
24,6,bilhões
25,6,informações
26,6,região
27,6,redes
28,6,especialistas
29,6,ainda
30,6,petrobras
31,6,jovem
32,6,entrevista
33,6,documento
34,6,jovens
35,6,venezuelanos
36,5,zuma
37,5,durante
38,5,real
39,5,todos
40,5,valor
41,5,grandes
42,5,reajuste
43,5,revelam
44,5,aumento
45,5,compartilhe
46,5,programa
47,5,transporte
48,5,adidas
49,5,mil
50,4,nacional
51,4,anc
52,4,ramaphosa
53,4,vazados
54,4,segurança
55,4,estatal
56,4,empresários
57,4,oficial
58,4,decisão
59,4,federal
60,4,oficialmente
61,4,tempo
62,4,forma
63,4,digital
64,4,alertam
65,4,presidente
66,4,identificar
67,4,brasileiro
68,4,enquanto
69,4,justificar
70,4,denúncia
71,4,autoridades
72,4,esconde
73,4,perfil
74,4,id
75,4,dados
76,4,indígenas
77,3,nesta
78,3,presidencial
79,3,sul
80,3,secreto
81,3,pediram
82,3,exclusividade
83,3,ter
84,3,caso
85,3,secretas
86,3,completo
87,3,desde
88,3,usando
89,3,sob
90,3,vigilância
91,3,internacional
92,3,dezembro
93,3,país
94,3,mídia
95,3,investigar
96,3,três
97,3,últimos
98,3,dois
99,3,dias
100,3,deve
101,3,horas
102,3,pode
103,3,interesses
104,3,whatsapp
105,3,fonte
106,3,demais
107,3,medida
108,3,permite
109,3,acesso
110,3,usuários
111,3,campanha
112,3,reunião
113,3,corporações
114,3,benefícios
115,3,benefício
116,3,direito
117,3,política
118,3,paulo
119,3,mercado
120,3,exclusiva
121,3,cada
122,3,notícia
123,3,entrega
124,3,bolívia
125,3,dia
126,3,volume
127,3,objetivo
128,3,prevê
129,3,contrato
130,3,estrangeiras
131,3,empresa
132,3,querem
133,3,contribuintes
134,3,diversos
135,3,além
136,3,seleção
137,3,adidasinfluenciadores
138,3,única
139,3,globo
140,3,revista
141,3,atriz
142,3,preferiu
143,3,fazer
144,3,imóveis
145,3,meses
146,3,famílias
147,3,pagamento
148,3,rastreamento
149,3,cadastro
150,3,secretaria
151,3,assistência
152,3,social
153,3,criar
154,3,desconto
155,3,lula
156,3,maduro
157,3,humanitária
158,3,verbas
159,3,yanomami
160,3,taxa
161,3,veículo
162,2,áfrica
163,2,serviço
164,2,sul-africano
165,2,anonimato
166,2,crime
167,2,cyril
168,2,obtidos
169,2,testemunhas
170,2,relataram
171,2,local
172,2,abafar
173,2,divulgando
174,2,versão
175,2,falsa
176,2,renúncia
177,2,através
178,2,controlada
179,2,imprensa
180,2,esquema
181,2,bilionário
182,2,corrupção
183,2,incluindo
184,2,divulgar
185,2,comprovam
186,2,contas
187,2,ficou
188,2,entanto
189,2,dentro
190,2,vida
191,2,independentes
192,2,conseguiram
193,2,marcas
194,2,família
195,2,falar
196,2,reuniões
197,2,interna
198,2,americanas
199,2,menos
200,2,assumir
201,2,próximas
202,2,possa
203,2,organizações
204,2,investigação
205,2,independente
206,2,nunca
207,2,apontam
208,2,envolve
209,2,bilionários
210,2,monitoramento
211,2,agências
212,2,inteligência
213,2,vigor
214,2,última
215,2,terça-feira
216,2,ligações
217,2,processo
218,2,usado
219,2,américa
220,2,permitir
221,2,compartilhar
222,2,sensíveis
223,2,qualquer
224,2,conteúdo
225,2,considerado
226,2,1.006
227,2,congelado
228,2,beneficiar
229,2,polêmica
230,2,jair
231,2,internas
232,2,medo
233,2,atende
234,2,anterior
235,2,pressionado
236,2,temer
237,2,decreto
238,2,referência
239,2,maior
240,2,acabar
241,2,guedes
242,2,ministro
243,2,economia
244,2,privada
245,2,atual
246,2,apuração
247,2,causa
248,2,revolta
249,2,união
250,2,censurada
251,2,polêmicas
252,2,novo
253,2,metros
254,2,cúbicos
255,2,verdadeiro
256,2,energético
257,2,acontecendo
258,2,choque
259,2,consumidor
260,2,extensão
261,2,venda
262,2,original
263,2,todo
264,2,seis
265,2,participação
266,2,escândalo
267,2,garantindo
268,2,estariam
269,2,têm
270,2,us
271,2,bolso
272,2,pagar
273,2,influenciadores
274,2,mês
275,2,pacotes
276,2,exclusivos
277,2,circula
278,2,oportunidade
279,2,quer
280,2,tornar
281,2,influenciador
282,2,marca
283,2,receber
284,2,seguidores
285,2,foto
286,2,outros
287,2,estratégia
288,2,paolla
289,2,oliveira
290,2,atrizes
291,2,reeleito
292,2,caras
293,2,declarações
294,2,milhares
295,2,principais
296,2,maceió
297,2,experimentos
298,2,militares
299,2,pinheiro
300,2,fevereiro
301,2,bom
302,2,bairros
303,2,anônimo
304,2,culpar
305,2,extração
306,2,sal-gema
307,2,braskem
308,2,verdadeira
309,2,realizados
310,2,defesa
311,2,onde
312,2,número
313,2,divulgado
314,2,ligadas
315,2,represálias
316,2,revelaram
317,2,operação
318,2,recebendo
319,2,moradores
320,2,relatam
321,2,divinópolis
322,2,identidade
323,2,identificação
324,2,data
325,2,sistema
326,2,disso
327,2,criando
328,2,roraima
329,2,infiltrados
330,2,regime
331,2,grande
332,2,estado
333,2,crise
334,2,situação
335,2,reais
336,2,pt
337,2,eleitoral
338,2,gastos
339,2,fazenda
340,2,absurdo
341,2,renovação
342,2,licenciamento
343,2,anual
344,2,trlav
345,1,jacob
346,1,assassinado
347,1,quarta-feira
348,1,gabinete
349,1,orquestrado
350,1,membros
351,1,congresso
352,1,africano
353,1,sigla
354,1,inglês
355,1,liderados
356,1,reportagem
357,1,palácio
358,1,ouvido
359,1,disparos
360,1,volta
361,1,22h
362,1,horário
363,1,imagens
364,1,câmeras
365,1,mostram
366,1,homens
367,1,encapuzados
368,1,entrando
369,1,ala
370,1,oeste
371,1,edifício
372,1,tentando
373,1,voluntária
374,1,tv
375,1,prestes
376,1,revelar
377,1,coletiva
378,1,marcada
379,1,quinta-feira
380,1,envolvendo
381,1,conexões
382,1,cartéis
383,1,china
384,1,rússia
385,1,confidenciais
386,1,pretendia
387,1,transferências
388,1,dólares
389,1,suíça
390,1,figura
391,1,importante
392,1,luta
393,1,anti-apartheid
394,1,preso
395,1,exílio
396,1,poucos
397,1,sabem
398,1,mantinha
399,1,dossiê
400,1,seguro
401,1,médicos
402,1,forenses
403,1,examinar
404,1,corpo
405,1,cremação
406,1,forçada
407,1,confirmaram
408,1,estrangulamento
409,1,sinais
410,1,tortura
411,1,mantida
412,1,constante
413,1,impedida
414,1,assassinato
415,1,planejado
416,1,líderes
417,1,logo
418,1,eleição
419,1,partido
420,1,agentes
421,1,cia
422,1,participado
423,1,planejamento
424,1,interessados
425,1,garantir
426,1,exploração
427,1,minérios
428,1,raros
429,1,favorecesse
430,1,direção
431,1,influência
432,1,sul-africana
433,1,ameaçando
434,1,jornalistas
435,1,tentam
436,1,repórteres
437,1,desapareceram
438,1,misteriosamente
439,1,cargo
440,1,cerimônia
441,1,relâmpago
442,1,comunidade
443,1,questionar
444,1,circunstâncias
445,1,morte
446,1,direitos
447,1,humanos
448,1,começam
449,1,pedir
450,1,pedido
451,1,bloqueado
452,1,própria
453,1,onu
454,1,teme
455,1,instabilidade
