rank,frequency,word
1,13,ministro
2,11,mil
3,10,brasil
4,10,vai
5,9,lula
6,9,país
7,9,todos
8,8,globo
9,8,anos
10,8,habitantes
11,7,decisão
12,7,caso
13,7,aécio
14,7,entrevistados
15,7,pode
16,7,apenas
17,7,partir
18,6,ex-presidente
19,6,delação
20,6,fim
21,6,hoje
22,6,pessoas
23,6,stf
24,6,valor
25,6,adidas
26,5,diz
27,5,mundo
28,5,rede
29,5,sociais
30,5,estado
31,5,pec
32,5,proposta
33,5,deputados
34,5,favor
35,5,governo
36,5,todas
37,5,durante
38,5,nao
39,5,minimo
40,5,benefício
41,4,moro
42,4,todo
43,4,amigos
44,4,senador
45,4,relação
46,4,pouco
47,4,tempo
48,4,amigo
49,4,deputado
50,4,vida
51,4,morte
52,4,presidente
53,4,poderia
54,4,ter
55,4,prisão
56,4,deu
57,4,cada
58,4,sendo
59,4,redução
60,4,senadores
61,4,petróleo
62,4,petrobras
63,4,mendes
64,4,corte
65,4,mostra
66,4,kim
67,4,alvos
68,4,ataque
69,4,nuclear
70,4,nunca
71,4,alexandre
72,4,moraes
73,4,cantora
74,4,chamadas
75,4,forma
76,4,voce
77,4,salario
78,4,viagens
79,4,taxa
80,4,indígenas
81,4,vc
82,4,pagar
83,4,vencimento
84,3,pt
85,3,partido
86,3,agora
87,3,pena
88,3,vale
89,3,afastado
90,3,neves
91,3,operação
92,3,república
93,3,federal
94,3,emocional
95,3,momento
96,3,doeu
97,3,tomar
98,3,começou
99,3,entrar
100,3,dizer
101,3,fazer
102,3,pra
103,3,muita
104,3,gente
105,3,pública
106,3,viana
107,3,reduzir
108,3,população
109,3,site
110,3,deve
111,3,milhões
112,3,campo
113,3,prejuízo
114,3,propina
115,3,porém
116,3,negócio
117,3,acordo
118,3,gilmar
119,3,suprema
120,3,nomeação
121,3,supremo
122,3,pesquisa
123,3,armas
124,3,horas
125,3,jong-un
126,3,eua
127,3,norte
128,3,tv
129,3,primeiro
130,3,bem
131,3,barriga
132,3,outros
133,3,jamais
134,3,novela
135,3,trabalho
136,3,aqui
137,3,cavalo
138,3,paula
139,3,temer
140,3,pronunciamento
141,3,mensagens
142,3,whatsapp
143,3,amanha
144,3,governos
145,3,facebook
146,3,sao
147,3,existe
148,3,bolsonaro
149,3,q
150,3,paolla
151,3,oliveira
152,3,pinheiro
153,3,venezuelanos
154,3,licenciamento
155,3,"33,66"
156,3,amanhã
157,2,dinheiro
158,2,trabalhadores
159,2,juiz
160,2,alega
161,2,aspas
162,2,própria
163,2,sentença
164,2,casa
165,2,defender
166,2,acusações
167,2,força
168,2,sociedade
169,2,cometer
170,2,líder
171,2,popular
172,2,suicídio
173,2,folha
174,2,conversou
175,2,temor
176,2,depressão
177,2,conta
178,2,friboi
179,2,ganhar
180,2,segundo
181,2,nacional
182,2,redes
183,2,melhor
184,2,projeto
185,2,lava
186,2,jato
187,2,última
188,2,toda
189,2,avô
190,2,escreveu
191,2,processo
192,2,brasileira
193,2,maneira
194,2,fontes
195,2,primo
196,2,próximo
197,2,falar
198,2,três
199,2,fala
200,2,certeza
201,2,tanto
202,2,próprio
203,2,janeiro
204,2,posse
205,2,certo
206,2,desde
207,2,anunciado
208,2,ainda
209,2,chegou
210,2,disse
211,2,acabou
212,2,foto
213,2,nova
214,2,prevê
215,2,número
216,2,jorge
217,2,quantidade
218,2,apontam
219,2,ruim
220,2,capital
221,2,ano
222,2,milhão
223,2,senado
224,2,constituição
225,2,haveria
226,2,câmara
227,2,representa
228,2,justiça
229,2,espera
230,2,bilhões
231,2,benin
232,2,pmdb
233,2,estatal
234,2,cerveró
235,2,propinas
236,2,confirmou
237,2,cúpula
238,2,cunha
239,2,us
240,2,parte
241,2,poderá
242,2,governador
243,2,cadeia
244,2,revista
245,2,informa
246,2,danielle
247,2,esquema
248,2,atual
249,2,minas
250,2,gerais
251,2,fernando
252,2,pimentel
253,2,recorrer
254,2,pixuleco
255,2,defesa
256,2,drogas
257,2,bebidas
258,2,alcoólicas
259,2,entes
260,2,queridos
261,2,enfim
262,2,total
263,2,realidade
264,2,totalmente
265,2,declararam
266,2,cidadão
267,2,venda
268,2,concordam
269,2,mapa
270,2,guerra
271,2,plano
272,2,pyongyang
273,2,militar
274,2,washington
275,2,nucleares
276,2,mísseis
277,2,obama
278,2,capacidade
279,2,vamos
280,2,qualquer
281,2,sabiá
282,2,twitter
283,2,glória
284,2,perez
285,2,glamouriza
286,2,tráfico
287,2,sério
288,2,povo
289,2,brasileiro
290,2,lugar
291,2,direito
292,2,declaração
293,2,vezes
294,2,bom
295,2,concorda
296,2,fernandes
297,2,mordida
298,2,animal
299,2,levou
300,2,vídeo
301,2,instagram
302,2,apresentar
303,2,carta
304,2,renúncia
305,2,i
306,2,/i
307,2,rodrigo
308,2,autorizou
309,2,monitoramento
310,2,comunicacao
311,2,america
312,2,monitorado
313,2,estao
314,2,cuidado
315,2,informacoes
316,2,sensiveis
317,2,porque
318,2,tambem
319,2,quiser
320,2,comprar
321,2,gas
322,2,bolivia
323,2,venezuela
324,2,parabens
325,2,pagina
326,2,presentes
327,2,mês
328,2,pacote
329,2,roupas
330,2,acessórios
331,2,prostituição
332,2,única
333,2,sobrevivência
334,2,atrizes
335,2,reeleito
