rank,frequency,word
1,36,segundo
2,36,governo
3,26,lula
4,24,brasil
5,24,documentos
6,23,milhões
7,23,ministro
8,22,fontes
9,21,antes
10,21,apenas
11,18,anos
12,18,empresas
13,16,federal
14,16,temer
15,16,esquema
16,16,operação
17,15,revelam
18,15,políticos
19,15,verdade
20,14,urgente
21,14,ainda
22,14,bilhões
23,13,sendo
24,13,lava
25,13,jato
26,13,sido
27,13,presidente
28,13,moraes
29,12,petrobras
30,11,obtidos
31,11,internacionais
32,11,especialistas
33,11,brasileiros
34,11,acordo
35,10,exclusividade
36,10,sociais
37,10,durante
38,10,maior
39,10,compartilhe
40,10,corrupção
41,10,dinheiro
42,10,mendes
43,10,planalto
44,10,polícia
45,10,informações
46,10,segurança
47,9,reportagem
48,9,três
49,9,ex-presidente
50,9,redes
51,9,contas
52,9,anonimato
53,9,pt
54,9,vai
55,9,enquanto
56,9,cada
57,9,mínimo
58,9,revelou
59,9,palácio
60,9,entrevista
61,9,gás
62,8,áudio
63,8,ter
64,8,dias
65,8,secretas
66,8,escândalo
67,8,política
68,8,país
69,8,stf
70,8,salário
71,8,pediu
72,8,gilmar
73,8,mídia
74,8,tudo
75,8,paulo
76,8,estado
77,8,oficialmente
78,8,internacional
79,8,bolsonaro
80,7,identificar
81,7,semana
82,7,supremo
83,7,pediram
84,7,horas
85,7,bilionário
86,7,população
87,7,medida
88,7,investigados
89,7,sistema
90,7,pública
91,7,pode
92,7,exclusiva
93,7,todos
94,7,dentro
95,7,oficial
96,7,vazados
97,7,aumento
98,7,real
99,7,mil
100,6,mostram
101,6,além
102,6,nunca
103,6,prisão
104,6,investigação
105,6,caso
106,6,dodge
107,6,quer
108,6,brasília
109,6,república
110,6,represálias
111,6,digital
112,6,história
113,6,denúncia
114,6,campanhas
115,6,diretamente
116,6,empresários
117,6,partidos
118,6,menos
119,6,meses
120,6,justiça
121,6,transporte
122,6,nacional
123,6,civil
124,6,parte
125,6,próximas
126,6,estrangeiras
127,6,brasileiro
128,6,esconde
129,6,alexandre
130,6,indicação
131,6,região
132,6,jovem
133,6,documento
134,6,jovens
135,6,venezuelanos
136,5,áudios
137,5,dois
138,5,votos
139,5,independentes
140,5,testemunhas
141,5,exterior
142,5,perseguição
143,5,notícia
144,5,revela
145,5,nesta
146,5,tribunal
147,5,provas
148,5,onde
149,5,direito
150,5,declarou
151,5,reforma
152,5,aprovar
153,5,forma
154,5,grande
155,5,direto
156,5,internas
157,5,incluindo
158,5,prevê
159,5,poder
160,5,crime
161,5,escândalos
162,5,secreto
163,5,dia
164,5,controle
165,5,michel
166,5,pessoalmente
167,5,odebrecht
168,5,revelaram
169,5,contrato
170,5,público
171,5,próximos
172,5,fazer
173,5,jacob
174,5,picciani
175,5,ano
176,5,deve
177,5,afirmou
178,5,reais
179,5,desde
180,5,mercado
181,5,número
182,5,crise
183,5,empresa
184,5,dados
185,5,decisão
186,5,estatal
187,5,arma
188,5,acesso
189,5,senado
190,5,alertam
191,5,tempo
192,5,justificar
193,5,zuma
194,5,valor
195,5,grandes
196,5,reajuste
197,5,programa
198,5,adidas
