rank,fakebr_human_word,fakebr_human_frequency,fakebr_machine_word,fakebr_machine_frequency,faketruebr_human_word,faketruebr_human_frequency,faketruebr_machine_word,faketruebr_machine_frequency,human_word,human_frequency,machine_word,machine_frequency
1,ministro,12,lula,23,vai,10,governo,22,ministro,13,segundo,36
2,lula,9,segundo,22,todos,8,segundo,14,mil,11,governo,36
3,decisão,7,ministro,21,mil,8,empresas,10,brasil,10,lula,26
4,aécio,7,documentos,16,brasil,7,verdade,10,vai,10,brasil,24
5,entrevistados,7,milhões,15,partir,6,brasil,10,lula,9,documentos,24
6,ex-presidente,6,políticos,15,valor,6,brasileiros,10,país,9,milhões,23
7,país,6,brasil,14,anos,6,acordo,9,todos,9,ministro,23
8,delação,6,fontes,14,adidas,6,anos,9,globo,8,fontes,22
9,pec,5,temer,14,habitantes,6,urgente,9,anos,8,antes,21
10,deputados,5,esquema,14,pode,5,apenas,9,habitantes,8,apenas,21
11,moro,4,governo,14,nao,5,gás,9,decisão,7,anos,18
12,globo,4,operação,14,apenas,5,fontes,8,caso,7,empresas,18
13,senador,4,antes,13,minimo,5,documentos,8,aécio,7,federal,16
14,relação,4,lava,13,benefício,5,antes,8,entrevistados,7,temer,16
15,deputado,4,jato,13,chamadas,4,sendo,8,pode,7,esquema,16
16,morte,4,moraes,13,todas,4,bolsonaro,8,apenas,7,operação,16
17,poderia,4,federal,12,forma,4,mínimo,8,partir,7,revelam,15
18,fim,4,apenas,12,voce,4,milhões,8,ex-presidente,6,políticos,15
19,prisão,4,revelam,10,salario,4,internacionais,7,delação,6,verdade,15
20,hoje,4,obtidos,9,globo,4,sociais,7,fim,6,urgente,14
