rule,human_count,machine_count,human_docs,machine_docs,total_count
NOUN(*),617,1432,20,20,2049
"NOUN(*, NOUN/nmod:de)",118,292,19,20,410
VERB(*),135,249,19,20,384
PROPN(*),94,257,11,20,351
PRON(*),79,127,16,20,206
ADP(*),36,80,12,19,116
"NOUN(*, PROPN/nmod:de)",39,73,9,19,112
"VERB(NOUN/nsubj, *)",16,66,11,20,82
"NOUN(*, NOUN/conj:e)",17,61,9,19,78
"NOUN(*, PRON/ref)",11,60,6,20,71
"VERB(*, NOUN/obl:em)",23,40,13,20,63
ADJ(*),25,34,10,11,59
"NOUN(*, NOUN/nmod:em)",21,34,15,17,55
NUM(*),16,31,8,11,47
"NOUN(ADP/case, *)",18,29,9,13,47
"ADV(*, NOUN/obl:de)",2,30,2,17,32
"VERB(*, VERB/conj:e)",9,23,7,14,32
"VERB(*, NOUN/obj)",5,23,4,15,28
"VERB(*, NOUN/obl:a)",6,21,5,12,27
"NOUN(*, NOUN/nmod:a)",9,17,7,9,26
"VERB(*, VERB/advcl:para)",5,19,4,10,24
"VERB(*, NOUN/obl:de)",11,12,8,9,23
"VERB(NOUN/obl:em, *)",10,12,8,9,22
"NOUN(ADP/case, *, NOUN/nmod:de)",7,15,5,10,22
"NOUN(*, NOUN/nmod:de, NOUN/nmod:de)",8,13,5,10,21
"NOUN(*, NOUN/nmod:com)",3,17,3,10,20
"ADJ(*, ADJ/conj:e)",3,15,3,10,18
"NOUN(*, VERB/acl:para)",5,13,5,9,18
"PROPN(*, PROPN/conj:e)",4,13,3,6,17
"NOUN(*, PROPN/nmod:em)",1,16,1,11,17
AUX(*),6,11,6,10,17
"VERB(NOUN/nsubj, *, NOUN/obl:em)",4,12,4,9,16
"NOUN(*, NOUN/nmod:para)",4,12,4,10,16
SYM(*),6,9,5,4,15
"NOUN(*, NOUN/nmod:sobre)",0,14,0,9,14
ADV(*),7,7,4,6,14
"VERB(PRON/nsubj, *)",8,5,5,5,13
"VERB(PROPN/nsubj, *)",4,9,3,8,13
"ADV(*, PRON/obl:de)",1,12,1,12,13
"VERB(*, NOUN/obl:para)",3,10,3,8,13
"NOUN(*, NOUN/nmod:de, PRON/ref)",0,13,0,11,13
"NOUN(*, NUM/nmod:de)",6,6,5,5,12
SCONJ(*),3,9,3,7,12
"VERB(ADP/mark, *)",3,8,2,6,11
"NOUN(*, NOUN/nmod:de, NOUN/conj:e)",2,9,2,7,11
"ADJ(*, NOUN/obl:a)",2,9,2,8,11
"NOUN(*, ADJ/amod)",1,9,1,8,10
"VERB(*, VERB/ccomp)",2,8,2,7,10
"PRON(*, PRON/ref)",8,2,7,2,10
"VERB(*, VERB/conj:mas)",4,6,4,5,10
"PROPN(ADP/case, *)",1,9,1,5,10
"SYM(*, NOUN/nmod:de)",9,1,4,1,10
"VERB(*, PROPN/obl:em)",4,5,3,5,9
"NOUN(*, NOUN/nmod:de, PROPN/nmod:em)",3,6,1,5,9
"PROPN(*, NOUN/conj:e)",1,8,1,6,9
X(*),5,4,2,3,9
"NOUN(*, NOUN/nmod:de, NOUN/nmod:em)",2,7,2,6,9
"VERB(*, NOUN/obl:com)",6,3,5,3,9
"ADV(*, VERB/acl:de)",0,8,0,7,8
"VERB(NOUN/nsubj, *, VERB/advcl:para)",2,6,2,6,8
"NOUN(*, VERB/acl:de)",2,5,2,5,7
"VERB(*, NOUN/obl:como)",1,6,1,6,7
"NOUN(*, NOUN/conj:e, NOUN/conj:e)",4,3,3,3,7
"VERB(NOUN/nsubj:pass, *)",3,4,3,4,7
"NOUN(*, NOUN/nmod:de, NOUN/nmod:para)",2,4,2,4,6
"NOUN(*, NOUN/conj:e, NOUN/nmod:de)",3,3,3,2,6
"NOUN(*, SYM/nmod:de)",1,4,1,2,5
"NOUN(*, VERB/acl:de_que)",0,5,0,4,5
"NUM(*, NOUN/nmod:de)",3,2,2,2,5
"NOUN(*, NOUN/nmod:por)",3,2,3,2,5
"VERB(*, NOUN/obl:por)",2,3,2,3,5
"VERB(*, NOUN/obl:durante)",3,2,2,2,5
"PROPN(*, PROPN/nmod:de)",2,3,2,3,5
