rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"SYM(*, NOUN/nmod:de)",0.029151687547736848,0.0018684634290002861,0.02728322411873656,0.02728322411873656,4,1,20.0,5.0,232.0,0.13812397547208768,0.44531118058932173,small,human,0.35809919566837545,False
VERB(*),0.183534319659917,0.15966926398953643,0.02386505567038058,0.02386505567038058,19,20,95.0,100.0,206.0,0.8817307917391243,0.23669495204621663,small,human,0.9351690215414954,False
"PRON(*, PRON/ref)",0.021294819838166158,0.0025179883722092717,0.018776831465956885,0.018776831465956885,7,2,35.0,10.0,257.0,0.036612597170316966,0.8515059958315879,large,human,0.1708587867948125,False
"VERB(*, PROPN/obl:em)",0.022997743661589222,0.007553171420640816,0.015444572240948407,0.015444572240948407,3,5,15.0,25.0,184.5,0.5614263561000019,0.31397894913766616,small,human,0.7415065080566062,False
"VERB(*, NOUN/obl:com)",0.01713036554395352,0.0038231084535142678,0.013307257090439251,0.013307257090439251,5,3,25.0,15.0,225.5,0.33310747605133795,0.5372114075443595,medium,human,0.5422679842696199,False
"VERB(NOUN/obl:em, *)",0.026296801972203254,0.01430280993316439,0.011993992039038864,0.011993992039038864,8,9,40.0,45.0,217.0,0.6199804180377007,0.41801493666937894,small,human,0.7613794607480535,False
ADV(*),0.022497355902225364,0.010513391582467752,0.011983964319757612,0.011983964319757612,4,6,20.0,30.0,186.0,0.6310911822607577,0.27262442382150015,small,human,0.7616617716940178,False
"VERB(*, NOUN/obl:de)",0.024739593353112176,0.01339084394778339,0.011348749405328786,0.011348749405328786,8,9,40.0,45.0,222.0,0.5181859784524852,0.4271223030463664,small,human,0.7402656835035503,False
"NOUN(ADP/case, *)",0.037632923543204154,0.02675484681505333,0.010878076728150825,0.010878076728150825,9,13,45.0,65.0,198.5,0.9773668599536914,0.25189266046207526,small,human,0.9891804500261824,False
"VERB(PRON/nsubj, *)",0.019513752135695294,0.00949694092151963,0.010016811214175664,0.010016811214175664,5,5,25.0,25.0,212.5,0.6694980921365306,0.34574511318410145,small,human,0.7943197703314769,False
