rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"PRON(*, PRON/ref)",0.047446755624632304,0.010096646274068874,0.03735010935056343,0.03735010935056343,7,2,35.0,10.0,255.0,0.04379228351496303,0.7174896611995101,medium,human,0.19159124037796327,False
"SYM(*, NOUN/nmod:de)",0.03423689862475886,0.006397504516595531,0.027839394108163325,0.027839394108163325,4,1,20.0,5.0,232.0,0.13812397547208768,0.5260448609742467,medium,human,0.3334026994153841,False
NOUN(*),0.06990725618356294,0.04700815177903502,0.02289910440452792,0.02289910440452792,20,20,100.0,100.0,354.0,3.293105907732221e-05,1.4572803454250114,large,human,0.0023051741354125545,True
"VERB(*, NOUN/obl:com)",0.037784394410547886,0.015728576218203488,0.0220558181923444,0.0220558181923444,5,3,25.0,15.0,224.5,0.35280684571358767,0.39419852127428345,small,human,0.5743367255802589,False
SYM(*),0.0426962854165787,0.02258608035853405,0.02011020505804465,0.02011020505804465,5,4,25.0,20.0,218.0,0.5173969897361274,0.31061673621471575,small,human,0.7101527310103709,False
VERB(*),0.06787665769693384,0.04816890585950412,0.01970775183742972,0.01970775183742972,19,20,95.0,100.0,334.0,0.0003047989167029453,1.0107445257125987,large,human,0.0035559873615343615,True
"NOUN(*, NOUN/nmod:de)",0.06707381052810368,0.04816890585950412,0.018904904668599565,0.018904904668599565,19,20,95.0,100.0,334.0,0.0003047989167029453,0.986041184371034,large,human,0.0035559873615343615,True
"NOUN(*, NOUN/nmod:por)",0.027596734833386354,0.013498712377128217,0.014098022456258137,0.014098022456258137,3,2,15.0,10.0,213.0,0.5562517286918012,0.2561131810776696,small,human,0.7346720944986053,False
"NOUN(*, NOUN/conj:e, NOUN/nmod:de)",0.026570675437660736,0.013614180214878518,0.012956495222782218,0.012956495222782218,3,2,15.0,10.0,211.0,0.6211146917039807,0.2341091573517357,small,human,0.7905096076232482,False
"VERB(NOUN/obl:em, *)",0.05146756062722437,0.039991212555343054,0.011476348071881318,0.011476348071881318,8,9,40.0,45.0,206.0,0.8687136042774082,0.19363629918983383,negligible,human,0.9691266903194173,False
"NOUN(*, NOUN/nmod:em)",0.060341853726633796,0.04945032883915684,0.010891524887476953,0.010891524887476953,15,17,75.0,85.0,275.5,0.04167034345474078,0.3426302147838901,small,human,0.19159124037796327,False
PRON(*),0.0620064173179677,0.05183373383383988,0.010172683484127823,0.010172683484127823,16,20,80.0,100.0,278.0,0.035961198488680894,0.3668509551195187,small,human,0.17980599244340448,False
"VERB(*, NOUN/obl:de)",0.04675782436187248,0.037227800237243286,0.009530024124629194,0.009530024124629194,8,9,40.0,45.0,221.0,0.5378344794966698,0.18634782527679736,negligible,human,0.7240079531685941,False
"NOUN(*, NUM/nmod:de)",0.036493342191427816,0.027676812358442403,0.008816529832985413,0.008816529832985413,5,5,25.0,25.0,203.5,0.9150196541901148,0.14692877933570841,negligible,human,0.9704753908076974,False
"VERB(*, VERB/conj:mas)",0.03707745138661447,0.028294074146634672,0.008783377239979795,0.008783377239979795,4,5,20.0,25.0,199.0,0.9852430985323205,0.13502076415959643,negligible,human,0.9995219840182962,False
ADJ(*),0.04773005700494686,0.04084742653018623,0.006882630474760634,0.006882630474760634,10,11,50.0,55.0,228.0,0.4311897967135865,0.15571884945999848,negligible,human,0.6707396837766901,False
"PROPN(*, PROPN/nmod:de)",0.024488123181190705,0.01810797706968596,0.006380146111504746,0.006380146111504746,2,3,10.0,15.0,193.0,0.7596218659702029,0.09996810449632813,negligible,human,0.9012462816595627,False
"NOUN(*, NOUN/conj:e, NOUN/conj:e)",0.026116234777796298,0.01996275757379032,0.00615347720400598,0.00615347720400598,3,3,15.0,15.0,199.5,1.0,0.10079941803965858,negligible,human,1.0,False
"VERB(PRON/nsubj, *)",0.03235668662032794,0.029621582797742785,0.002735103822585152,0.002735103822585152,5,5,25.0,25.0,202.5,0.9432867381033272,0.0495106104331496,negligible,human,0.9792661131070144,False
"VERB(NOUN/nsubj:pass, *)",0.02552941328647223,0.023230129668259193,0.0022992836182130355,0.0022992836182130355,3,4,15.0,20.0,194.0,0.8222651196182946,0.04164831996804964,negligible,human,0.9435829241521413,False
"VERB(*, PROPN/obl:em)",0.028732499459611253,0.0273090697763017,0.0014234296833095551,0.0014234296833095551,3,5,15.0,25.0,182.5,0.5104391275221503,0.0225105894981944,negligible,human,0.7101527310103709,False
