rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"ADV(*, NOUN/obl:de)",0.010237881267039561,0.06774971148307582,-0.05751183021603626,0.05751183021603626,2,17,10.0,85.0,64.0,7.411259637775362e-05,-1.8951464889684564,large,machine,0.0025939408732213766,True
"NOUN(*, NOUN/nmod:de, PRON/ref)",0.0,0.05588790749011198,-0.05588790749011198,0.05588790749011198,0,11,0.0,55.0,90.0,0.0001669860144431449,-1.5410169810493233,large,machine,0.0030467480000603616,True
"ADV(*, PRON/obl:de)",0.003551068338762238,0.057634894049260796,-0.05408382571049856,0.05408382571049856,1,12,5.0,60.0,84.0,0.00017409988571773496,-1.5155517516827253,large,machine,0.0030467480000603616,True
"NOUN(*, NOUN/nmod:sobre)",0.0,0.05069676951537254,-0.05069676951537254,0.05069676951537254,0,9,0.0,45.0,110.0,0.0009302976856460412,-1.2707496762195776,large,machine,0.009302976856460412,True
"NOUN(*, PROPN/nmod:em)",0.0061483980679958175,0.05389921195604541,-0.047750813888049595,0.047750813888049595,1,11,5.0,55.0,105.5,0.001709993496526248,-1.2039464171201055,large,machine,0.01496244309460467,True
"ADV(*, VERB/acl:de)",0.0,0.04456323645927808,-0.04456323645927808,0.04456323645927808,0,7,0.0,35.0,130.0,0.0045320590791432455,-1.0332303555722588,large,machine,0.03172441355400272,True
"NOUN(*, PRON/ref)",0.02357668474988648,0.0666451114969853,-0.04306842674709881,0.04306842674709881,6,20,30.0,100.0,91.0,0.002702902993668183,-1.6044015172132107,large,machine,0.021022578839641422,True
"VERB(*, NOUN/obj)",0.019333539308078206,0.06035952474112517,-0.04102598543304697,0.04102598543304697,4,15,20.0,75.0,108.0,0.007452737626049866,-1.0919621516747633,large,machine,0.04742651216577187,True
"NOUN(*, ADJ/amod)",0.008839309203295542,0.044197460078401314,-0.03535815087510577,0.03535815087510577,1,8,5.0,40.0,134.0,0.015393456380801512,-0.746741716013905,medium,machine,0.08979516222134215,False
"ADJ(*, NOUN/obl:a)",0.009080433619006586,0.04259433168521592,-0.03351389806620933,0.03351389806620933,2,8,10.0,40.0,137.0,0.02620844355471373,-0.7956332060644812,medium,machine,0.14112238837153548,False
"ADJ(*, ADJ/conj:e)",0.017400037912902,0.047066089098516964,-0.029666051185614963,0.029666051185614963,3,10,15.0,50.0,144.0,0.07125872013969944,-0.6642984362305047,medium,machine,0.24940552048894804,False
"VERB(*, NOUN/obl:como)",0.006791941792932524,0.03622457475506958,-0.029432632962137054,0.029432632962137054,1,6,5.0,30.0,152.0,0.0523786422443844,-0.6600570991109851,medium,machine,0.21567676218275927,False
"NOUN(*, NOUN/nmod:com)",0.01922682422773605,0.04773325801738065,-0.028506433789644604,0.028506433789644604,3,10,15.0,50.0,145.0,0.07650687079738713,-0.6059895717342528,medium,machine,0.25502290265795713,False
"NOUN(*, NOUN/nmod:de, NOUN/conj:e)",0.012428129399879884,0.03696325343748094,-0.02453512403760106,0.02453512403760106,2,7,10.0,35.0,157.0,0.1159117195058553,-0.551041380279499,medium,machine,0.300678270745521,False
"VERB(*, VERB/ccomp)",0.014875279954210303,0.038833971647940876,-0.023958691693730574,0.023958691693730574,2,7,10.0,35.0,157.0,0.1159117195058553,-0.4862404992587577,small,machine,0.300678270745521,False
