rule,human_count,machine_count,human_docs,machine_docs,total_count
NOUN(*),866,1943,20,20,2809
ADP(*),681,1494,20,20,2175
DET(*),632,1274,20,20,1906
PUNCT(*),486,856,20,20,1342
ADJ(*),186,784,20,20,970
VERB(*),276,667,20,20,943
PROPN(*),238,612,17,20,850
ADV(*),153,285,19,20,438
*(VERB),172,235,20,20,407
PRON(*),172,171,20,20,343
CCONJ(*),116,222,20,20,338
AUX(*),120,190,19,20,310
"NOUN(ADP/case, DET/det, *)",107,151,20,20,258
"NOUN(DET/det, *)",83,124,20,20,207
"NOUN(ADP/case, *)",67,139,15,20,206
NUM(*),99,98,17,16,197
SCONJ(*),65,130,18,20,195
"PROPN(ADP/case, DET/det, *)",40,105,11,19,145
"NOUN(DET/det, *, NOUN/nmod)",37,66,16,18,103
"NOUN(ADP/case, *, NOUN/nmod)",27,72,14,18,99
"NOUN(ADP/case, *, ADJ/amod)",17,80,9,19,97
"NOUN(ADP/case, DET/det, *, ADJ/amod)",22,75,10,20,97
"NOUN(ADP/case, DET/det, *, NOUN/nmod)",30,62,15,18,92
"NOUN(*, NOUN/nmod)",16,52,14,19,68
"PROPN(ADP/case, *)",21,46,8,16,67
"VERB(ADP/mark, *, NOUN/obj)",7,58,6,15,65
"NOUN(*, ADJ/amod)",9,55,6,18,64
"NOUN(DET/det, *, ADJ/amod)",8,51,6,18,59
"PROPN(*, PROPN/flat:name)",20,37,9,15,57
"NOUN(ADP/case, DET/det, *, PROPN/nmod)",16,38,7,18,54
*(NOUN),33,14,14,9,47
"NOUN(CCONJ/cc, *)",19,25,10,13,44
SYM(*),21,22,8,8,43
"VERB(*, NOUN/obl)",4,38,3,16,42
"NOUN(DET/det, *, PROPN/nmod)",13,27,8,12,40
"PRON(ADP/case, *)",20,17,6,14,37
"VERB(*, NOUN/obj)",11,26,9,16,37
"VERB(PUNCT/punct, *, NOUN/obj)",2,34,1,16,36
"VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",4,31,4,18,35
"PROPN(DET/det, *)",7,26,5,14,33
"PROPN(ADP/case, DET/det, *, PROPN/flat:name)",9,20,5,10,29
"NOUN(CCONJ/cc, *, ADJ/amod)",4,23,3,14,27
"PROPN(PUNCT/punct, *, PUNCT/punct)",4,23,3,13,27
"NUM(ADP/case, *)",9,18,5,10,27
"NOUN(DET/det, *, ADJ/amod, NOUN/nmod)",4,21,4,13,25
"NOUN(ADP/case, *, NOUN/conj)",6,19,4,11,25
"VERB(CCONJ/cc, *, NOUN/obj)",3,22,3,14,25
"ADJ(CCONJ/cc, *)",8,15,7,10,23
"NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod)",9,14,7,11,23
"ADJ(ADV/advmod, *)",8,14,4,10,22
*(ADJ),12,9,7,8,21
"NOUN(*, VERB/acl)",6,15,6,9,21
"NOUN(ADP/case, *, VERB/acl)",1,19,1,14,20
"NOUN(*, ADJ/amod, NOUN/nmod)",3,17,3,11,20
"NOUN(ADP/case, *, PROPN/nmod)",5,15,3,12,20
X(*),13,5,6,3,18
"VERB(PRON/nsubj, *, NOUN/obj)",2,16,2,11,18
"ADV(*, ADP/fixed)",10,8,7,4,18
"ADJ(*, ADJ/conj)",4,14,4,10,18
"NOUN(NUM/nummod, *)",8,10,6,6,18
"VERB(*, NOUN/obl:agent)",2,15,2,10,17
"NOUN(ADP/case, DET/det, ADJ/amod, *)",7,10,4,9,17
"NOUN(ADP/case, NUM/nummod, *)",10,6,9,6,16
"PRON(*, PRON/fixed)",9,7,8,7,16
"NOUN(DET/det, *, VERB/acl)",6,10,6,8,16
"ADJ(*, NOUN/obl)",2,14,2,12,16
"NUM(ADV/advmod, *)",9,7,7,5,16
"NOUN(*, PROPN/nmod)",2,14,2,11,16
"VERB(PRON/nsubj, *, VERB/xcomp)",0,15,0,11,15
"PROPN(ADP/case, DET/det, *, PROPN/flat:name, PROPN/flat:name)",2,12,2,8,14
