rule,human_mean,machine_mean,difference,abs_difference,human_docs,machine_docs,pct_human_docs,pct_machine_docs,u_statistic,u_p_value,cohens_d,effect_size,characteristic_of,q_value,significant_fdr_005
"NOUN(PUNCT/punct, *, NOUN/nmod, PUNCT/punct)",0.031256686033813715,0.0,0.031256686033813715,0.031256686033813715,5,0,25.0,0.0,250.0,0.019798992920099685,0.7988961078815189,medium,human,0.05752914923953493,False
*(NOUN),0.04555146760668973,0.020294355444915042,0.02525711216177469,0.02525711216177469,14,9,70.0,45.0,301.0,0.004669881886935534,0.9021028022831508,large,human,0.02479868312372663,True
"PRON(*, VERB/acl:relcl)",0.027915840215397187,0.003971669694629984,0.0239441705207672,0.0239441705207672,6,1,30.0,5.0,252.0,0.03543276031216575,0.7184984925925698,medium,human,0.09408008772540563,False
X(*),0.030206985451625812,0.010915822169752287,0.019291163281873525,0.019291163281873525,6,3,30.0,15.0,239.0,0.15438894403469147,0.5064741575471747,medium,human,0.2678511452282406,False
"NOUN(ADP/case, NUM/nummod, *)",0.03658194193492589,0.017701452969801856,0.018880488965124037,0.018880488965124037,9,6,45.0,30.0,251.0,0.11618687227796488,0.525066621061806,medium,human,0.23237374455592977,False
"NOUN(PUNCT/punct, *)",0.029556840122012283,0.01110421102076473,0.018452629101247554,0.018452629101247554,6,3,30.0,15.0,239.0,0.15438894403469147,0.49117718254687637,small,human,0.2678511452282406,False
"NOUN(ADP/case, NUM/nummod, *, NOUN/nmod)",0.022447050537156912,0.004874958885554715,0.017572091651602197,0.017572091651602197,4,1,20.0,5.0,232.0,0.13812397547208768,0.49843056864271296,small,human,0.2525171412303842,False
"SYM(NUM/nummod, *, NOUN/nmod)",0.02155772584869358,0.004196394346051193,0.017361331502642387,0.017361331502642387,4,1,20.0,5.0,232.0,0.13812397547208768,0.5228482354291667,medium,human,0.2525171412303842,False
"NOUN(ADP/case, DET/det, DET/det, *)",0.024187254383660612,0.007812847902955496,0.016374406480705116,0.016374406480705116,4,2,20.0,10.0,224.0,0.30624702497134626,0.4213826867950933,small,human,0.44076674622044226,False
"ADV(*, ADP/fixed)",0.02873137554220217,0.012724220658055929,0.016007154884146238,0.016007154884146238,7,4,35.0,20.0,239.0,0.18565688416728499,0.47298135957475995,small,human,0.3010483931816137,False
"VERB(ADP/mark, *, NOUN/obl)",0.020873335210363154,0.004870115667690075,0.01600321954267308,0.01600321954267308,4,1,20.0,5.0,231.0,0.15107633024080885,0.4669802317696747,small,human,0.2678511452282406,False
NUM(*),0.042589736644117845,0.0288297587206841,0.013759977923433746,0.013759977923433746,17,16,85.0,80.0,321.0,0.0010826015137063519,0.7671499270821301,medium,human,0.007939077767179913,True
VERB(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
"NOUN(DET/det, *)",0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
PRON(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
PUNCT(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
"NOUN(ADP/case, DET/det, *)",0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
ADJ(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
CCONJ(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
ADP(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
*(VERB),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
NOUN(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
DET(*),0.04320663070225188,0.030574717101030675,0.012631913601221203,0.012631913601221203,20,20,100.0,100.0,364.0,9.747975903084567e-06,1.7149072400391503,large,human,0.00013647166264318394,True
"NOUN(ADP/case, DET/det, *, NOUN/conj)",0.0202919191451491,0.008511570804577128,0.011780348340571971,0.011780348340571971,3,2,15.0,10.0,213.0,0.5562517286918012,0.30305676478805105,small,human,0.7138563851544782,False
"NUM(ADV/advmod, *)",0.027321647914558135,0.016982795314476353,0.010338852600081782,0.010338852600081782,7,5,35.0,25.0,230.5,0.31682746349635105,0.3016648408359466,small,human,0.44787552513422624,False
ADV(*),0.041563413510270944,0.03132968674546662,0.010233726764804323,0.010233726764804323,19,20,95.0,100.0,344.0,0.00010373400726161331,1.024209644492299,large,human,0.000998439819893028,True
AUX(*),0.04156314150195652,0.03132968674546662,0.010233454756489901,0.010233454756489901,19,20,95.0,100.0,344.0,0.00010373400726161331,1.0242000593874496,large,human,0.000998439819893028,True
"ADP(*, DET/fixed)",0.01893863211090259,0.008845345945305588,0.010093286165597001,0.010093286165597001,3,2,15.0,10.0,213.0,0.5562517286918012,0.2722108415280236,small,human,0.7138563851544782,False
"NOUN(ADP/case, *, NUM/nmod)",0.020400450425487777,0.01209510505134491,0.008305345374142868,0.008305345374142868,4,3,20.0,15.0,213.0,0.6096811941287701,0.22792489641079225,small,human,0.7695975729166442,False
SCONJ(*),0.04013490973150381,0.032103771562204494,0.008031138169299318,0.008031138169299318,18,20,90.0,100.0,324.0,0.0008352452991736281,0.6644282087756515,medium,human,0.006431388803636937,True
"PRON(*, PRON/fixed)",0.030057303060544105,0.022438745386239772,0.007618557674304333,0.007618557674304333,8,7,40.0,35.0,227.0,0.4097256080463605,0.22183382279173333,small,human,0.5583871118507922,False
SYM(*),0.03042985106176114,0.02293801859406113,0.0074918324677000075,0.0074918324677000075,8,8,40.0,40.0,229.0,0.3840050503264285,0.22404164613104605,small,human,0.5376070704569998,False
"NOUN(DET/det, *, NOUN/nmod)",0.03860962477168467,0.03189788764352886,0.006711737128155808,0.006711737128155808,16,18,80.0,90.0,293.0,0.01220189636666607,0.38907689409415774,small,human,0.05219700112407152,False
"ADV(ADV/advmod, *)",0.0181326168353022,0.011546632774294777,0.006585984061007423,0.006585984061007423,3,3,15.0,15.0,204.5,0.8617479277008719,0.17611803636041415,negligible,human,0.9089669922324266,False
PROPN(*),0.03864189169561162,0.03289796471054587,0.0057439269850657546,0.0057439269850657546,17,20,85.0,100.0,306.0,0.004312906934012985,0.4261510897337531,small,human,0.02479868312372663,True
"VERB(*, PROPN/obl)",0.016902993438798287,0.011815132513904082,0.005087860924894206,0.005087860924894206,3,3,15.0,15.0,201.5,0.9652731605495289,0.1411686942154932,negligible,human,0.984450773010778,False
"NOUN(ADP/case, DET/det, *, NOUN/nmod)",0.037526014686364385,0.032588058276171096,0.004937956410193289,0.004937956410193289,15,18,75.0,90.0,276.0,0.04059261071862388,0.2606958571260713,small,human,0.102479705748657,False
*(ADJ),0.028234143708161248,0.023510030883023714,0.004724112825137534,0.004724112825137534,7,8,35.0,40.0,210.0,0.7675880967367699,0.13374927122496816,negligible,human,0.8383586304784579,False
"ADV(ADP/case, *)",0.01590767234064088,0.011626609461552636,0.004281062879088245,0.004281062879088245,3,3,15.0,15.0,201.5,0.9652731605495289,0.12490629188385445,negligible,human,0.984450773010778,False
"NOUN(DET/det, *, NOUN/nmod, NOUN/nmod)",0.022472112980124644,0.01839258876808409,0.004079524212040553,0.004079524212040553,5,6,25.0,30.0,199.0,0.9862860041374929,0.1144761634962651,negligible,human,0.9927323178900255,False
"NOUN(NUM/nummod, *)",0.024009418541584598,0.019980958430005857,0.00402846011157874,0.00402846011157874,6,6,30.0,30.0,212.0,0.7011888433629818,0.11633731071578422,negligible,human,0.8180536505901455,False
"PROPN(PUNCT/punct, *)",0.01571149762172006,0.012464016817991192,0.003247480803728867,0.003247480803728867,3,3,15.0,15.0,204.5,0.8617479277008719,0.09575459004546545,negligible,human,0.9089669922324266,False
"NOUN(*, NOUN/nmod)",0.03716828252511257,0.034445084115364094,0.0027231984097484743,0.0027231984097484743,14,19,70.0,95.0,255.0,0.13937634418560169,0.13775714048810161,negligible,human,0.2525171412303842,False
"NOUN(ADP/case, *, NOUN/conj, NOUN/nmod)",0.015213216430252618,0.01327614838475753,0.0019370680454950887,0.0019370680454950887,3,3,15.0,15.0,201.5,0.9652731605495289,0.05490446762913064,negligible,human,0.984450773010778,False
"NOUN(ADP/case, *, NOUN/nmod)",0.03503284518702677,0.03327048167308378,0.0017623635139429883,0.0017623635139429883,14,18,70.0,90.0,256.0,0.13175168315347646,0.09036365726459035,negligible,human,0.2525171412303842,False
"VERB(PROPN/nsubj, *, NOUN/obj, PUNCT/punct)",0.01331968816701469,0.011746137777471567,0.0015735503895431234,0.0015735503895431234,3,3,15.0,15.0,201.5,0.9652731605495289,0.05175002289784939,negligible,human,0.984450773010778,False
"NOUN(CCONJ/cc, *)",0.032873333868609134,0.03143680511203341,0.001436528756575725,0.001436528756575725,10,13,50.0,65.0,216.0,0.6626132631177077,0.048364080020341246,negligible,human,0.7849418655394385,False
"VERB(NOUN/nsubj, *, NOUN/obj, PUNCT/punct)",0.0165074672199117,0.015363152119203393,0.001144315100708308,0.001144315100708308,3,4,15.0,20.0,196.0,0.8863312464374042,0.032031558597958705,negligible,human,0.9285374962677568,False
"VERB(*, NOUN/obj, NOUN/obl)",0.02114285255222663,0.02000732798689061,0.00113552456533602,0.00113552456533602,3,5,15.0,25.0,187.5,0.6422327219393262,0.026149902984210143,negligible,human,0.7787703872335138,False
"NOUN(ADP/case, *)",0.0348704886782075,0.034551054705323374,0.00031943397288412834,0.00031943397288412834,15,20,75.0,100.0,264.0,0.0855608050467197,0.019771584938918636,negligible,human,0.19096179677093963,False
