source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
fakebr,ppron (Personal Pronouns),10,10.872286885090835,2.6937024463473134,10,7.467834332483315,1.292239335525406,3.4044525526075198,3.4044525526075198,90.0,0.0028272720911168077,1.6115207478085523,large,True,True,human
fakebr,shehe (SheHe),10,9.155691966091611,2.571431482356238,10,6.136128842464666,1.0270556738088306,3.019563123626945,3.019563123626945,84.0,0.011329696684474665,1.542209789427938,large,True,False,human
fakebr,article (Articles),10,17.203206870680514,1.7311211576543983,10,14.532227284840243,1.7794043345072739,2.6709795858402714,2.6709795858402714,83.0,0.014019277113959953,1.521553964418234,large,True,False,human
fakebr,cause (Causal),10,1.9941881240086636,1.1755000530669741,10,3.8863694127632797,1.3429595488135824,-1.892181288754616,1.892181288754616,14.0,0.00728455700947966,-1.4993388500591116,large,True,True,machine
fakebr,relativ (Relativity),10,10.100112241530175,2.1299617647602935,10,13.256695607511015,2.2342016403902543,-3.1565833659808398,3.1565833659808398,15.0,0.009108496398030965,-1.4461801824297265,large,True,True,machine
fakebr,time (Time),10,4.586617832543668,1.2793800642292654,10,5.895165265126586,0.5732765912714435,-1.3085474325829178,1.3085474325829178,18.0,0.017257456083119765,-1.3199954344174107,large,True,False,machine
fakebr,space (Space),10,4.829523715987102,2.3652461093786976,10,7.62994025477879,1.8579054275916425,-2.800416538791688,2.800416538791688,21.0,0.031209012771740218,-1.3167535485316963,large,True,False,machine
fakebr,function (Function Words),10,46.05562773522574,4.897998525700561,10,41.52950396212599,1.4538036595680512,4.526123773099748,4.526123773099748,80.0,0.025748080821108063,1.2528193061650077,large,True,False,human
fakebr,adj (Adjectives),10,3.1663516093455315,1.4717424169945952,10,4.873461999929885,1.3040231392410773,-1.7071103905843539,1.7071103905843539,19.0,0.0211339281291611,-1.2277713049095085,large,True,False,machine
fakebr,posemo (Positive Emotions),10,2.5949979308674145,0.796837931803698,10,1.7621655862498664,0.5582406245523414,0.8328323446175481,0.8328323446175481,78.0,0.03763531378731424,1.2105790832531056,large,True,False,human
fakebr,you (You),10,0.9585231672902857,0.5905206627467076,10,0.3325836222543529,0.431398757871198,0.6259395450359329,0.6259395450359329,80.5,0.021548799260585436,1.210441357878599,large,True,False,human
fakebr,auxverb (Auxiliary Verbs),10,4.276922089789883,1.4671187699363621,10,2.9147284892293253,0.7585086086184138,1.3621936005605577,1.3621936005605577,77.0,0.04507378631623227,1.166405977746611,large,True,False,human
fakebr,pronoun (Pronouns),10,17.322974418467854,4.408943114977812,10,13.701759799642385,1.475698293299042,3.6212146188254692,3.6212146188254692,82.0,0.017257456083119765,1.101480789827595,large,True,False,human
fakebr,discrep (Discrepancies),10,1.8747494462547336,0.7582483877411357,10,1.1437409429391552,0.554836771197332,0.7310085033155784,0.7310085033155784,76.0,0.053902557169387175,1.1002974003705386,large,False,False,human
fakebr,risk (Risk),10,1.7337913530530837,1.160995076049631,10,3.0285132102429926,1.2298656927986655,-1.2947218571899088,1.2947218571899088,25.0,0.06402210128302689,-1.0826101171621119,large,False,False,machine
fakebr,verb (Verbs),10,9.434143155855562,1.8955587427481961,10,7.638311709940497,1.4700691727922894,1.7958314459150646,1.7958314459150646,77.5,0.04117376752710334,1.0587327453859905,large,True,False,human
fakebr,affect (Affect),10,5.9903715398406225,2.1122673287512272,10,4.140499361218798,1.375213329270775,1.8498721786218244,1.8498721786218244,77.0,0.04515456962427901,1.037937547303205,large,True,False,human
