tag,human_count,fakebr_human_count,machine_count,fakebr_machine_count,faketruebr_human_count,faketruebr_machine_count,human_rel,fakebr_human_rel,machine_rel,fakebr_machine_rel,faketruebr_human_rel,faketruebr_machine_rel,difference
ADJ,198,129,793,432,69,361,0.04552770751896988,0.04673913043478261,0.08797426225870868,0.0844574780058651,0.0434235368156073,0.09258784303667607,-0.042446554739738795
PRON,173,109,171,90,64,81,0.03977925959990802,0.03949275362318841,0.018970490348347017,0.017595307917888565,0.040276903713027064,0.020774557578866377,0.020808769251561006
PUNCT,486,312,856,488,174,368,0.11174982754656243,0.11304347826086956,0.0949633902817839,0.095405669599218,0.10950283196979232,0.09438317517312131,0.016786437264778534
PROPN,241,228,615,409,13,206,0.055415037939756266,0.08260869565217391,0.06822720213001997,0.07996089931573802,0.008181246066708621,0.05283406001538856,-0.012812164190263702
NUM,99,55,98,56,44,42,0.02276385375948494,0.019927536231884056,0.01087197692478367,0.010948191593352884,0.027690371302706105,0.010771992818671455,0.01189187683470127
NOUN,899,497,1957,1098,402,859,0.20671418716946424,0.18007246376811595,0.21710672287552696,0.21466275659824047,0.25298930144745124,0.22031290074378046,-0.010392535706062717
ADP,681,444,1494,864,237,630,0.15658772131524487,0.1608695652173913,0.16574217883292655,0.1689149560117302,0.14915040906230334,0.1615798922800718,-0.00915445751768168
AUX,120,81,190,109,39,81,0.027592550011496894,0.029347826086956522,0.02107832260927446,0.021309872922776148,0.024543738200125866,0.020774557578866377,0.006514227402222433
DET,632,421,1274,709,211,565,0.14532076339388364,0.15253623188405796,0.1413357000221877,0.1386119257086999,0.13278791692888608,0.14490895101308027,0.003985063371695935
ADV,154,91,285,155,63,130,0.03541043918142102,0.03297101449275362,0.03161748391391169,0.030303030303030304,0.039647577092511016,0.03334188253398307,0.003792955267509328
VERB,448,277,902,501,171,401,0.10301218670958841,0.10036231884057971,0.10006656312402928,0.09794721407624633,0.10761485210824417,0.10284688381636317,0.0029456235855591234
SYM,22,17,22,15,5,7,0.005058634168774431,0.006159420289855073,0.002440647881073885,0.002932551319648094,0.0031466331025802393,0.0017953321364452424,0.002617986287700546
X,13,0,5,1,13,4,0.0029891929179121637,0.0,0.0005546927002440647,0.00019550342130987292,0.008181246066708621,0.0010259040779687098,0.002434500217668099
CCONJ,116,53,222,121,63,101,0.026672798344447,0.01920289855072464,0.024628355890836475,0.023655913978494623,0.039647577092511016,0.025904077968709926,0.0020444424536105246
SCONJ,65,46,130,67,19,63,0.01494596458956082,0.016666666666666666,0.014422010206345684,0.013098729227761487,0.01195720578980491,0.01615798922800718,0.0005239543832151351
INTJ,2,0,0,0,2,0,0.0004598758335249483,0.0,0.0,0.0,0.0012586532410320957,0.0,0.0004598758335249483
PART,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
