metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size,q_value,significant_fdr_005
ADJ,20,4.178738200474259,1.6703347223217289,20,8.870949035812814,1.7900974403455003,0.8488520558813379,0.9004973531316622,-8.570718506863962,2.0658866410493638e-10,10.0,2.959753733675675e-07,-2.71029916658476,large,4.73560597388108e-06,True
PRON,20,3.5331427069776717,2.055333459764826,20,1.964423434753516,0.8336004136041457,0.33339999564174755,0.051907472717863626,3.1630730752017184,0.0030663880764147844,299.5,0.0074044550897009185,1.000251532319049,large,0.05923564071760735,False
PUNCT,20,11.353625901500823,3.712235264008435,20,9.518275651752761,1.260439972592131,0.5414267624646755,0.9975026095085986,2.0936568492345033,0.04301640555286189,265.0,0.08101749756106373,0.6620724282392787,medium,0.25925599219540396,False
NUM,20,2.2271673574779545,2.4520922179993314,20,1.0621616131529212,0.9586915565528252,0.0007238001634989246,0.03344720539524773,1.9788761745264458,0.055110545408706794,253.0,0.154482773491977,0.6257755918944443,medium,0.31457283184886187,False
X,20,0.3891781857632667,0.8522299867158323,20,0.06140154113728907,0.16656685308645422,6.811917340448465e-07,7.827677885276043e-08,1.6880903070319293,0.09958599226261419,237.0,0.1769472179149848,0.5338210266273851,medium,0.31457283184886187,False
ADP,20,15.274480574922146,2.890669055463421,20,16.45133656624879,1.1902395632411595,0.16568673821227609,0.8831376697151535,-1.6835748090525038,0.10046294582491173,118.0,0.027483421975621553,-0.5323931007888978,medium,0.14657825053664827,False
AUX,20,2.7098095842175565,1.446700020116323,20,2.120403508620476,0.9143217839771155,0.9718560306266457,0.09035488340409537,1.5401941175141154,0.13179992775142332,255.0,0.14041971470550127,0.48705214501376376,small,0.31457283184886187,False
INTJ,20,0.0779023807335233,0.27017875355249,20,0.0,0.0,1.2980729563891768e-08,,1.2894797732152958,0.2050249560854494,220.0,0.16258685072635493,0.40776930800777184,small,0.31457283184886187,False
SYM,20,0.47493393632944886,0.8330620143570581,20,0.23035812173106693,0.38175763090543846,7.221964552552439e-06,1.454873508979055e-05,1.1935987615687682,0.24003357340880457,218.0,0.5929662783599607,0.3774490698913559,small,0.7906217044799476,False
PROPN,20,5.042724983871617,5.377300870904504,20,6.624158076909526,2.5335384726050636,0.006211483801758321,0.09435757822372887,-1.1897844827211155,0.24151191264160207,135.0,0.08097474269745612,-0.37624288901239744,small,0.25925599219540396,False
CCONJ,20,2.9050116717044916,1.8948663131497545,20,2.449799483212218,0.8962134692078837,0.06442505550717414,0.1809579308185429,0.9712093239598063,0.33758578081195534,212.5,0.7454714931525204,0.307123354850533,small,0.8519674207457375,False
VERB,20,10.325623897690608,1.732658504935934,20,10.083101895391712,1.2667954978000269,0.7878574715049622,0.12884444310733706,0.5053157864553346,0.6162555384974122,216.0,0.6750141566504884,0.159794882283812,negligible,0.8307866543390626,False
NOUN,20,22.22543473868414,4.956825096069175,20,21.720695623892915,1.6032629219979617,0.08293766958254856,0.9605022590044042,0.43328384946031684,0.6672582476554192,200.5,1.0,0.1370163837660119,negligible,1.0,False
ADV,20,3.3856626566199433,2.158941930321796,20,3.2069629257528556,1.1814882636644604,0.05354453368091334,0.001649594767614578,0.32472228119556135,0.7471722181419249,196.5,0.9353194228772207,0.10268620155836382,negligible,0.9976740510690354,False
SCONJ,20,1.587705400601854,1.4431820295850035,20,1.4783293710905667,0.46423201766579847,0.0049641857598209955,0.27087011163567054,0.32265257898726213,0.7487270130456087,165.0,0.35067962693515997,0.10203170425271325,negligible,0.5610874030962559,False
DET,20,14.308857822430696,3.1262918966043998,20,14.157643150540576,1.7011244528657778,0.02395601985552932,0.4887097425538057,0.19000412820405155,0.850317262303255,225.0,0.5074853847612371,0.06008458099594409,negligible,0.7381605596527084,False
PART,20,0.0,0.0,20,0.0,0.0,,,,,200.0,,0.0,negligible,,False
