rank,frequency,word
1,106,de
2,87,a
3,76,o
4,58,que
5,45,do
6,44,da
7,43,e
8,29,em
9,26,com
10,24,para
11,24,um
12,23,ele
13,22,na
14,21,no
15,17,uma
16,15,não
17,14,é
18,13,dos
19,12,está
20,12,se
21,12,por
22,12,como
23,12,ministro
24,11,ao
25,11,os
26,10,mais
27,10,foi
28,9,lula
29,8,à
30,8,as
31,8,foram
32,7,decisão
33,7,aécio
34,7,entrevistados
35,6,ex-presidente
36,6,sua
37,6,país
38,6,delação
39,6,seu
40,6,dele
41,5,muito
42,5,era
43,5,nem
44,5,pec
45,5,deputados
46,5,pelo
47,4,moro
48,4,das
49,4,quem
50,4,globo
51,4,senador
52,4,relação
53,4,este
54,4,deputado
55,4,morte
56,4,já
57,4,poderia
58,4,fim
59,4,prisão
60,4,hoje
61,4,sendo
62,4,proposta
63,4,redução
64,4,senadores
65,4,favor
66,4,petróleo
67,4,petrobras
68,4,mendes
69,4,pela
70,4,corte
71,4,kim
72,4,alvos
73,4,ataque
74,4,nuclear
75,4,alexandre
76,4,moraes
77,4,stf
78,4,cantora
79,3,pt
80,3,tem
81,3,partido
82,3,mil
83,3,agora
84,3,pena
85,3,até
86,3,caso
87,3,rede
88,3,afastado
89,3,neves
90,3,tempo
91,3,operação
92,3,amigo
93,3,só
94,3,emocional
95,3,momento
96,3,vida
97,3,doeu
98,3,tomar
99,3,isso
100,3,estava
101,3,me
102,3,deu
103,3,nos
104,3,cada
105,3,muita
106,3,brasil
107,3,viana
108,3,reduzir
109,3,milhões
110,3,campo
111,3,propina
112,3,negócio
113,3,ser
114,3,gilmar
115,3,suprema
116,3,nomeação
117,3,governo
118,3,supremo
119,3,essa
120,3,pesquisa
121,3,mostra
122,3,armas
123,3,pessoas
124,3,seus
125,3,são
126,3,também
127,3,ou
128,3,jong-un
129,3,eua
130,3,durante
131,3,barriga
132,3,novela
133,3,cavalo
134,3,paula
135,2,diz
136,2,dinheiro
137,2,juiz
138,2,alega
139,2,aspas
140,2,própria
141,2,sentença
142,2,casa
143,2,acusações
144,2,força
145,2,sociedade
146,2,mundo
147,2,cometer
148,2,todo
149,2,líder
150,2,popular
151,2,amigos
152,2,suicídio
153,2,folha
154,2,conversou
155,2,temor
156,2,depressão
157,2,conta
158,2,friboi
159,2,pouco
160,2,segundo
161,2,nas
162,2,redes
163,2,sociais
164,2,melhor
165,2,projeto
166,2,lava
167,2,jato
168,2,última
169,2,toda
170,2,avô
171,2,escreveu
172,2,processo
173,2,brasileira
174,2,maneira
175,2,fontes
176,2,primo
177,2,próximo
178,2,federal
179,2,falar
180,2,três
181,2,estão
182,2,há
183,2,anos
184,2,certeza
185,2,tanto
186,2,próprio
187,2,posse
188,2,desde
189,2,ainda
190,2,ter
191,2,chegou
192,2,disse
193,2,acabou
194,2,foto
195,2,pode
196,2,fazer
197,2,ela
198,2,mesmo
199,2,estamos
200,2,pra
201,2,mas
202,2,pública
203,2,esta
204,2,prevê
205,2,número
206,2,jorge
207,2,quantidade
208,2,apontam
209,2,população
210,2,ruim
211,2,ano
212,2,milhão
213,2,senado
214,2,deve
215,2,constituição
216,2,fosse
217,2,representa
