rank,frequency,word
1,203,de
2,134,a
3,114,que
4,107,o
5,106,e
6,89,do
7,82,para
8,73,da
9,71,em
10,48,por
11,38,uma
12,38,um
13,36,com
14,34,no
15,25,as
16,23,dos
17,21,os
18,18,foram
19,17,não
20,16,como
21,16,das
22,15,à
23,15,na
24,15,mais
25,14,foi
26,14,além
27,14,ao
28,13,tribunal
29,13,ministro
30,12,federal
31,12,lula
32,12,fontes
33,12,enquanto
34,12,teria
35,11,corrupção
36,11,mas
37,11,esquema
38,11,operação
39,11,sem
40,11,mendes
41,10,documentos
42,10,ainda
43,10,é
44,10,eleitoral
45,10,empresas
46,9,supremo
47,9,stf
48,9,políticos
49,9,recursos
50,9,meio
51,9,denúncias
52,9,político
53,9,segundo
54,9,nos
55,8,dinheiro
56,8,investigação
57,8,indicam
58,8,financiamento
59,8,campanha
60,8,milhões
61,8,especialistas
62,8,até
63,8,presidente
64,8,odebrecht
65,7,lavagem
66,7,garantir
67,7,lava
68,7,jato
69,7,nas
70,7,já
71,7,essas
72,7,sua
73,7,contas
74,7,contratos
75,7,nova
76,7,bastidores
77,7,ser
78,7,justiça
79,7,governo
80,7,petrobras
81,7,moraes
82,6,também
83,6,envolvendo
84,6,sido
85,6,disso
86,6,teriam
87,6,sistema
88,6,investigações
89,6,aliados
90,6,fundo
91,6,campanhas
92,6,temer
93,6,uso
94,6,mil
95,6,apontam
96,6,internas
97,6,se
98,6,crise
99,6,armas
100,6,guerra
101,5,decisão
102,5,membros
103,5,pt
104,5,entre
105,5,estaria
106,5,ele
107,5,redes
108,5,podem
109,5,há
110,5,pública
111,5,diante
112,5,pode
113,5,brasileiro
114,5,aécio
115,5,então
116,5,criminosa
117,5,poder
118,5,qualquer
119,5,acusações
120,5,parte
121,5,secreto
122,5,afirmam
123,5,incluindo
124,5,civil
125,5,às
126,5,ligados
127,4,trf-4
128,4,ex-presidente
129,4,autoridades
130,4,anos
131,4,dentro
132,4,rede
133,4,proteger
134,4,essa
135,4,manobra
136,4,sendo
137,4,defesa
138,4,ter
139,4,sociais
140,4,caso
141,4,agentes
142,4,cenário
143,4,plano
144,4,oas
145,4,polícia
146,4,neves
147,4,pela
148,4,grupo
149,4,valores
150,4,manipulação
151,4,durante
152,4,ano
153,4,são
154,4,partido
155,4,congresso
156,4,grandes
157,4,valor
158,4,novas
159,4,está
160,4,apenas
161,4,medidas
162,4,evitar
163,4,gilmar
164,4,pelo
165,4,revelam
166,4,públicos
167,4,revelado
168,4,deputados
169,4,indicação
170,4,suspeitas
171,4,ministério
172,4,novo
173,4,maior
174,4,casa
175,4,brasil
176,4,onde
177,4,gestão
178,4,micro-ondas
179,4,eletrônicos
180,4,escalada
181,4,violência
182,4,policiais
183,3,surpreendente
184,3,inédita
185,3,pressão
186,3,judiciário
187,3,tem
188,3,eleitorais
189,3,mesmo
190,3,presidência
191,3,provas
192,3,internacionais
193,3,esses
194,3,favorecer
195,3,interesses
196,3,política
197,3,desde
198,3,opinião
199,3,usadas
200,3,políticas
201,3,levar
202,3,graves
203,3,próprio
204,3,país
205,3,raquel
206,3,dodge
207,3,familiares
208,3,ontem
209,3,senador
210,3,financiar
211,3,esquemas
212,3,apesar
213,3,atingir
214,3,bilhões
215,3,empresarial
216,3,michel
217,3,nacional
218,3,surpreendentemente
219,3,aprovadas
220,3,ocultos
221,3,oficialmente
222,3,transparência
223,3,fiscalização
224,3,denunciam
225,3,atual
226,3,deve
227,3,possível
228,3,troca
229,3,presidencial
230,3,repar
231,3,ex-executivos
232,3,delação
233,3,obras
234,3,diretamente
235,3,trabalhadores
236,3,funcionários
237,3,pagamentos
238,3,petista
239,3,paulo
240,3,ilícitos
241,3,barata
242,3,alerj
243,3,faz
244,3,controversa
245,3,picciani
246,3,deputado
247,3,rio
248,3,seu
249,3,público
250,3,quase
251,3,reportagem
252,3,história
253,3,dilma
254,3,nomeação
255,3,dia
256,3,esta
257,3,crises
258,3,comunicação
259,3,aumento
260,3,exposição
261,3,mercado
262,3,grupos
263,3,criminosos
264,3,medo
265,3,desativar
266,3,mísseis
267,3,coreia
268,3,norte
269,3,projeto
270,3,champ
271,3,esse
272,3,civis
273,3,segurança
274,3,tráfico
275,3,enfrenta
276,2,região
277,2,só
278,2,luiz
279,2,inácio
280,2,silva
281,2,passiva
282,2,pediu
283,2,imediata
284,2,chantagem
285,2,pena
286,2,original
287,2,meses
288,2,nesta
289,2,revelaram
290,2,relator
291,2,processo
292,2,recebeu
293,2,manipular
294,2,ampliação
295,2,seria
296,2,resistência
297,2,sigilosos
298,2,vazados
299,2,influenciar
300,2,prisão
301,2,normas
302,2,tradicionais
303,2,causando
304,2,reação
305,2,juristas
306,2,risco
307,2,golpe
308,2,julgamento
309,2,acusado
310,2,testemunhas
311,2,advogados
312,2,confirmada
313,2,gravações
314,2,advogado
315,2,acusou
316,2,falsas
317,2,usados
318,2,fabricados
319,2,cia
320,2,oficiais
321,2,dados
322,2,imagem
323,2,alegações
324,2,sabotagem
325,2,andamento
326,2,chocou
327,2,revelação
328,2,confidenciais
329,2,usando
330,2,informações
331,2,ilícita
332,2,controlar
333,2,judiciais
334,2,algo
335,2,direitos
336,2,desse
337,2,explosivo
338,2,irregularidades
339,2,movimento
340,2,desestabilizar
341,2,tona
342,2,próximas
343,2,secreta
344,2,ligada
345,2,república
346,2,recurso
347,2,urgente
348,2,clandestina
349,2,irmã
350,2,próximos
351,2,obtidos
352,2,pgr
353,2,desviados
354,2,superfaturados
355,2,agora
356,2,organização
357,2,mostra
358,2,afirmou
359,2,bloqueio
