rank,frequency,word
1,62,de
2,52,e
3,43,a
4,30,o
5,27,que
6,27,para
7,19,em
8,19,da
9,18,do
10,16,no
11,13,com
12,12,um
13,10,vai
14,10,uma
15,10,se
16,9,não
17,8,todos
18,8,as
19,8,mil
20,7,brasil
21,7,os
22,7,é
23,6,na
24,6,partir
25,6,entre
26,6,valor
27,6,anos
28,6,adidas
29,6,habitantes
30,5,mas
31,5,pode
32,5,nao
33,5,ou
34,5,apenas
35,5,minimo
36,5,tem
37,5,benefício
38,4,chamadas
39,4,todas
40,4,aos
41,4,seus
42,4,forma
43,4,voce
44,4,salario
45,4,eles
46,4,globo
47,4,você
48,4,seu
49,4,será
50,4,caso
51,4,mais
52,4,viagens
53,4,estado
54,4,taxa
55,4,indígenas
56,4,vc
57,4,pagar
58,4,vencimento
59,3,temer
60,3,pronunciamento
61,3,presidente
62,3,ser
63,3,já
64,3,país
65,3,até
66,3,mensagens
67,3,whatsapp
68,3,amanha
69,3,mundo
70,3,governos
71,3,facebook
72,3,sao
73,3,sociais
74,3,muito
75,3,existe
76,3,ao
77,3,diz
78,3,esse
79,3,bolsonaro
80,3,nossa
81,3,q
82,3,pessoas
83,3,nos
84,3,paolla
85,3,oliveira
86,3,pinheiro
87,3,nunca
88,3,venezuelanos
89,3,são
90,3,só
91,3,licenciamento
92,3,"33,66"
93,3,amanhã
94,2,apresentar
95,2,carta
96,2,renúncia
97,2,tv
98,2,i
99,2,está
100,2,república
101,2,sua
102,2,/i
103,2,rodrigo
104,2,essa
105,2,stf
106,2,autorizou
107,2,monitoramento
108,2,todo
109,2,comunicacao
110,2,america
111,2,acordo
112,2,outros
113,2,monitorado
114,2,estao
115,2,governo
116,2,dos
117,2,tenha
118,2,cuidado
119,2,informacoes
120,2,dizer
121,2,sensiveis
122,2,amigos
123,2,hoje
124,2,porque
125,2,fim
126,2,seja
127,2,tambem
128,2,quiser
129,2,gente
130,2,pelo
131,2,site
132,2,comprar
133,2,gas
134,2,bolivia
135,2,venezuela
136,2,parabens
137,2,isso
138,2,aqui
139,2,pagina
140,2,presentes
141,2,mês
142,2,pacote
143,2,roupas
144,2,acessórios
145,2,ter
146,2,vale
147,2,rede
148,2,prostituição
149,2,única
150,2,sobrevivência
151,2,atrizes
152,2,reeleito
153,2,das
154,2,atriz
