rank,frequency,word
1,136,de
2,121,a
3,93,que
4,89,e
5,84,o
6,71,do
7,59,para
8,57,em
9,48,da
10,29,um
11,28,por
12,24,no
13,23,uma
14,22,dos
15,22,com
16,20,os
17,19,na
18,18,governo
19,15,teria
20,13,não
21,13,como
22,13,as
23,11,além
24,11,nas
25,10,fontes
26,10,se
27,9,ao
28,9,essa
29,9,redes
30,8,já
31,8,real
32,8,é
33,8,sociais
34,8,especialistas
35,8,pode
36,8,das
37,8,petrobras
38,8,gás
39,7,sua
40,7,anos
41,7,apenas
42,7,foi
43,7,mas
44,7,brasil
45,7,até
46,7,internas
47,7,segurança
48,7,entre
49,7,oficial
50,7,adidas
51,7,indígenas
52,6,seu
53,6,sido
54,6,presidente
55,6,país
56,6,estado
57,6,disso
58,6,estariam
59,6,ainda
60,6,política
61,6,população
62,6,sem
63,6,dados
64,6,acordo
65,6,boliviano
66,5,zuma
67,5,ele
68,5,forma
69,5,também
70,5,essas
71,5,sistema
72,5,afirmam
73,5,pelo
74,5,grupos
75,5,garantir
76,5,segundo
77,5,informações
78,5,aos
79,5,será
80,5,trabalhadores
81,5,risco
82,5,mercado
83,5,oficiais
84,5,programa
85,5,mais
86,5,situação
87,5,jovem
88,5,veículos
89,4,nesta
90,4,estatal
91,4,à
92,4,diretamente
93,4,anc
94,4,mensagens
95,4,estaria
96,4,político
97,4,nos
98,4,antes
99,4,internacionais
100,4,investigação
101,4,global
102,4,stf
103,4,aplicativos
104,4,brasileiros
105,4,nova
106,4,medida
107,4,alertam
108,4,brasileiro
109,4,acesso
110,4,às
111,4,muitos
112,4,bolsonaro
113,4,mínimo
114,4,pagamento
115,4,valor
116,4,economia
117,4,riscos
118,4,famílias
119,4,dúvidas
120,4,promoção
121,4,está
122,4,perfil
123,4,gerando
124,4,entrevista
125,4,paolla
126,4,seriam
127,4,maceió
128,4,região
129,4,ilegal
130,4,id
131,4,jovens
132,4,benefícios
133,4,social
134,4,saúde
135,4,venezuelanos
136,3,revelou
137,3,surpreendente
138,3,dentro
139,3,cargo
140,3,anônimas
141,3,caso
142,3,públicas
143,3,esquema
144,3,maior
145,3,tribunal
146,3,federal
147,3,whatsapp
148,3,terrorismo
149,3,decisão
150,3,outros
151,3,governos
152,3,países
153,3,apesar
154,3,extensão
155,3,uso
156,3,ou
157,3,foram
158,3,notícia
159,3,suas
160,3,controle
161,3,salário
162,3,subsídio
163,3,dinheiro
164,3,fraudes
165,3,circula
166,3,ser
167,3,brasileira
168,3,direitos
169,3,esta
170,3,ypfb
171,3,secreto
172,3,cenário
173,3,possível
174,3,setor
175,3,redução
176,3,grandes
177,3,ministério
178,3,lado
179,3,local
180,3,instagram
181,3,direito
182,3,podem
183,3,suposto
184,3,oliveira
185,3,devido
186,3,refletem
187,3,pinheiro
188,3,terra
189,3,braskem
190,3,tem
191,3,autoridades
192,3,enquanto
193,3,tornando
194,3,cadastro
195,3,descontos
196,3,roraima
197,3,fronteira
198,3,crise
199,3,secretaria
200,3,taxa
201,3,licenciamento
202,3,ipva
203,2,durante
204,2,tv
205,2,presidência
206,2,sul
207,2,próprio
208,2,congresso
209,2,nacional
210,2,saída
211,2,afirmou
212,2,alertando
213,2,vida
214,2,deixasse
215,2,cyril
216,2,ramaphosa
217,2,dezembro
218,2,própria
