rank,frequency,word
1,339,de
2,255,a
3,207,que
4,195,e
5,191,o
6,160,do
7,141,para
8,128,em
9,121,da
10,76,por
11,67,um
12,61,uma
13,58,no
14,58,com
15,45,dos
16,41,os
17,38,as
18,34,na
19,30,não
20,29,como
21,27,teria
22,25,além
23,25,governo
24,24,das
25,23,ao
26,22,fontes
27,21,foi
28,21,foram
29,20,mais
30,19,à
31,18,mas
32,18,nas
33,18,é
34,17,sem
35,16,tribunal
36,16,ainda
37,16,especialistas
38,16,se
39,15,federal
40,15,já
41,15,enquanto
42,15,até
43,15,petrobras
44,14,esquema
45,14,redes
46,14,segundo
47,14,sua
48,14,presidente
49,13,lula
50,13,stf
51,13,essa
52,13,político
53,13,pode
54,13,ministro
55,13,nos
56,13,internas
57,12,corrupção
58,12,investigação
59,12,entre
60,12,garantir
61,12,sociais
62,12,sido
63,12,disso
64,12,essas
65,11,dinheiro
66,11,também
67,11,supremo
68,11,anos
69,11,recursos
70,11,meio
71,11,denúncias
72,11,operação
73,11,sistema
74,11,empresas
75,11,nova
76,11,apenas
77,11,mendes
78,11,brasil
79,10,documentos
80,10,indicam
81,10,ele
82,10,campanha
83,10,eleitoral
84,10,afirmam
85,10,ser
86,10,segurança
87,9,políticos
88,9,estaria
89,9,política
90,9,brasileiro
91,9,país
92,9,contas
93,9,milhões
94,9,contratos
95,9,oficial
96,9,uso
97,9,pelo
98,9,às
99,9,seu
100,9,crise
101,8,decisão
102,8,lavagem
103,8,podem
104,8,dados
105,8,financiamento
106,8,secreto
107,8,campanhas
108,8,valor
109,8,está
110,8,mil
111,8,acordo
112,8,odebrecht
113,8,trabalhadores
114,8,apontam
115,8,mercado
116,8,grupos
117,8,população
118,8,real
119,8,gás
120,7,envolvendo
121,7,autoridades
122,7,dentro
123,7,risco
124,7,lava
125,7,jato
126,7,caso
127,7,internacionais
128,7,oficiais
129,7,cenário
130,7,informações
131,7,estariam
132,7,diante
133,7,investigações
134,7,poder
135,7,parte
136,7,grandes
137,7,bastidores
138,7,justiça
139,7,incluindo
140,7,diretamente
141,7,aos
142,7,estado
143,7,ministério
144,7,maior
145,7,armas
146,7,moraes
147,7,adidas
148,7,indígenas
149,6,surpreendente
150,6,região
151,6,ex-presidente
152,6,membros
153,6,nesta
154,6,tem
155,6,proteger
156,6,teriam
157,6,há
158,6,plano
159,6,pública
160,6,pela
161,6,aliados
162,6,durante
163,6,apesar
164,6,ano
165,6,congresso
166,6,fundo
167,6,temer
168,6,novas
169,6,será
170,6,medidas
171,6,aplicativos
172,6,mensagens
173,6,possível
174,6,civil
175,6,estatal
176,6,revelam
177,6,públicos
178,6,antes
179,6,suspeitas
180,6,ilegal
181,6,novo
182,6,onde
183,6,esta
184,6,riscos
185,6,guerra
186,6,veículos
187,6,boliviano
188,5,inédita
189,5,pt
190,5,mesmo
191,5,alertam
192,5,muitos
193,5,presidência
194,5,sendo
195,5,defesa
196,5,ter
197,5,global
198,5,desde
199,5,políticas
200,5,direitos
201,5,polícia
202,5,próprio
203,5,aécio
204,5,grupo
205,5,financiar
206,5,então
207,5,criminosa
208,5,manipulação
209,5,medida
210,5,qualquer
211,5,acusações
212,5,são
213,5,nacional
214,5,oficialmente
215,5,transparência
216,5,evitar
217,5,fraudes
218,5,ligados
219,5,público
220,5,gerando
221,5,história
222,5,saúde
223,5,dia
224,5,controle
225,5,dúvidas
226,5,policiais
227,5,zuma
228,5,forma
229,5,programa
230,5,situação
231,5,jovem
232,4,trf-4
233,4,suposto
234,4,processo
235,4,seria
236,4,rede
237,4,manobra
238,4,lado
239,4,usados
240,4,agentes
241,4,interesses
242,4,oas
243,4,graves
244,4,irregularidades
245,4,movimento
246,4,secreta
247,4,neves
248,4,valores
249,4,esquemas
250,4,agora
251,4,afirmou
252,4,tentativa
253,4,partido
254,4,ocultos
255,4,circula
256,4,líderes
257,4,serão
258,4,candidato
259,4,atual
260,4,críticos
261,4,gilmar
262,4,cargo
263,4,dessas
264,4,eleições
265,4,entrada
266,4,trás
267,4,secretas
268,4,exclusivo
269,4,outros
270,4,revelado
271,4,deputados
272,4,indicação
273,4,nunca
274,4,suas
275,4,internacional
276,4,reportagem
277,4,afirmando
278,4,anônimas
279,4,promete
280,4,casa
281,4,revelou
282,4,gestão
283,4,aumento
284,4,criminosos
285,4,whatsapp
286,4,medo
287,4,micro-ondas
288,4,norte
289,4,eletrônicos
290,4,esse
291,4,civis
292,4,escalada
293,4,países
294,4,tráfico
295,4,violência
296,4,número
297,4,precedentes
298,4,tornando
299,4,total
300,4,devido
301,4,anc
302,4,brasileiros
303,4,acesso
304,4,bolsonaro
305,4,mínimo
306,4,pagamento
307,4,economia
308,4,famílias
309,4,promoção
