rank,fakebr_human_word,fakebr_human_frequency,fakebr_machine_word,fakebr_machine_frequency,faketruebr_human_word,faketruebr_human_frequency,faketruebr_machine_word,faketruebr_machine_frequency,human_word,human_frequency,machine_word,machine_frequency
1,de,106,de,203,de,62,de,136,de,168,de,339
2,a,87,a,134,e,52,a,121,a,130,a,255
3,o,76,que,114,a,43,que,93,o,106,que,207
4,que,58,o,107,o,30,e,89,e,95,e,195
5,do,45,e,106,que,27,o,84,que,85,o,191
6,da,44,do,89,para,27,do,71,do,63,do,160
7,e,43,para,82,em,19,para,59,da,63,para,141
8,em,29,da,73,da,19,em,57,para,51,em,128
9,com,26,em,71,do,18,da,48,em,48,da,121
10,para,24,por,48,no,16,um,29,com,39,por,76
11,um,24,uma,38,com,13,por,28,no,37,um,67
12,ele,23,um,38,um,12,no,24,um,36,uma,61
13,na,22,com,36,vai,10,uma,23,na,28,no,58
14,no,21,no,34,uma,10,dos,22,uma,27,com,58
15,uma,17,as,25,se,10,com,22,não,24,dos,45
16,não,15,dos,23,não,9,os,20,ele,23,os,41
17,é,14,os,21,todos,8,na,19,se,22,as,38
18,dos,13,foram,18,as,8,governo,18,é,21,na,34
19,está,12,não,17,mil,8,teria,15,os,18,não,30
20,se,12,como,16,brasil,7,não,13,as,16,como,29
