rank,frequency,word
1,12,ministro
2,9,lula
3,7,decisão
4,7,aécio
5,7,entrevistados
6,6,ex-presidente
7,6,país
8,6,delação
9,5,pec
10,5,deputados
11,4,moro
12,4,globo
13,4,senador
14,4,relação
15,4,deputado
16,4,morte
17,4,poderia
18,4,prisão
19,4,hoje
20,4,sendo
21,4,proposta
22,4,redução
23,4,senadores
24,4,favor
25,4,petróleo
26,4,petrobras
27,4,mendes
28,4,corte
29,4,kim
30,4,alvos
31,4,ataque
32,4,nuclear
33,4,alexandre
34,4,moraes
35,4,stf
36,4,cantora
37,3,pt
38,3,partido
39,3,mil
40,3,agora
41,3,pena
42,3,caso
43,3,rede
44,3,afastado
45,3,neves
46,3,tempo
47,3,operação
48,3,amigo
49,3,emocional
50,3,momento
51,3,vida
52,3,doeu
53,3,tomar
54,3,deu
55,3,cada
56,3,muita
57,3,brasil
58,3,viana
59,3,reduzir
60,3,milhões
61,3,campo
62,3,propina
63,3,negócio
64,3,gilmar
65,3,suprema
66,3,nomeação
67,3,governo
68,3,supremo
69,3,pesquisa
70,3,mostra
71,3,armas
72,3,pessoas
73,3,jong-un
74,3,eua
75,3,durante
76,3,barriga
77,3,novela
78,3,cavalo
79,3,paula
80,2,diz
81,2,dinheiro
82,2,juiz
83,2,alega
84,2,aspas
85,2,própria
86,2,sentença
87,2,casa
88,2,acusações
89,2,força
90,2,sociedade
91,2,mundo
92,2,cometer
93,2,todo
94,2,líder
95,2,popular
96,2,amigos
97,2,suicídio
98,2,folha
99,2,conversou
100,2,temor
101,2,depressão
102,2,conta
103,2,friboi
104,2,pouco
105,2,segundo
106,2,redes
107,2,sociais
108,2,melhor
109,2,projeto
110,2,lava
111,2,jato
112,2,última
113,2,toda
114,2,avô
115,2,escreveu
116,2,processo
117,2,brasileira
118,2,maneira
119,2,fontes
120,2,primo
121,2,próximo
122,2,federal
123,2,falar
124,2,três
125,2,anos
126,2,certeza
127,2,tanto
128,2,próprio
129,2,posse
130,2,desde
131,2,ainda
132,2,ter
133,2,fim
134,2,chegou
135,2,disse
136,2,fim
137,2,acabou
138,2,foto
139,2,pode
140,2,fazer
141,2,pra
142,2,pública
143,2,prevê
144,2,número
145,2,jorge
146,2,quantidade
147,2,apontam
148,2,população
149,2,ruim
150,2,ano
151,2,milhão
152,2,senado
153,2,deve
154,2,constituição
155,2,representa
156,2,habitantes
157,2,justiça
158,2,bilhões
159,2,porém
160,2,benin
161,2,pmdb
162,2,estatal
163,2,cerveró
164,2,propinas
165,2,confirmou
166,2,cúpula
167,2,cunha
168,2,us
169,2,apenas
170,2,parte
171,2,poderá
172,2,governador
173,2,danielle
174,2,esquema
175,2,atual
176,2,minas
177,2,gerais
178,2,fernando
179,2,pimentel
180,2,recorrer
181,2,pixuleco
182,2,defesa
183,2,drogas
184,2,bebidas
185,2,alcoólicas
186,2,enfim
187,2,totalmente
188,2,declararam
189,2,cidadão
190,2,venda
191,2,concordam
192,2,mapa
193,2,guerra
194,2,pyongyang
195,2,norte
196,2,washington
197,2,nucleares
198,2,mísseis
199,2,primeiro
200,2,obama
201,2,capacidade
202,2,jamais
203,2,sabiá
204,2,glória
205,2,perez
206,2,glamouriza
207,2,tráfico
208,2,trabalho
209,2,sério
210,2,povo
211,2,brasileiro
212,2,lugar
213,2,concorda
214,2,fernandes
215,2,mordida
216,2,animal
217,2,levou
218,2,vídeo
219,1,sobreviver
220,1,chama
221,1,mentiroso
222,1,mesquinho
223,1,conspirador
224,1,trabalhadores
225,1,soltou
226,1,nota
227,1,repúdio
228,1,sérgio
229,1,bloqueio
230,1,patrimônios
231,1,pobre
232,1,básico
233,1,abre
234,1,condenar
235,1,provas
236,1,propagar
237,1,mentiras
238,1,contradizer
239,1,sergio
240,1,decidiu
241,1,vingar-se
242,1,inocente
243,1,bloquear
244,1,bens
245,1,decretou
246,1,asfixia
247,1,econômica
248,1,priva
249,1,meios
250,1,subsistir
251,1,defender
252,1,falsas
253,1,mesquinha
254,1,tramada
255,1,segredo
256,1,longo
257,1,meses
258,1,tarefa
259,1,curitiba
260,1,concluída
261,1,forte
262,1,reação
263,1,jurídico
264,1,injusta
265,1,tríplex
266,1,típico
267,1,retaliação
268,1,vale
269,1,cumplicidade
270,1,tipo
271,1,arbitrariedades
272,1,maior
273,1,fecha
274,1,temem
275,1,cometa
276,1,reportagem
277,1,familiares
278,1,percebeu
279,1,sentimento
280,1,causada
281,1,efeitos
282,1,colaterais
283,1,céu
284,1,inferno
285,1,quase
286,1,ganhar
287,1,dilma
288,1,turno
289,1,transformou
290,1,herói
291,1,nacional
292,1,aplaudido
293,1,pé
294,1,restaurante
295,1,entrava
296,1,apontado
297,1,resposta
298,1,poder
299,1,entanto
300,1,diversas
301,1,delações
302,1,colhidas
303,1,passaram
304,1,apontar
305,1,corrupto
306,1,semana
307,1,cargo
308,1,república
309,1,manchando
310,1,assim
311,1,história
312,1,tancredo
313,1,redemocratização
314,1,avaliar
315,1,reagindo
316,1,caos
317,1,próximas
318,1,conversamos
319,1,colega
320,1,atualmente
321,1,mandato
322,1,todos
323,1,aceitaram
324,1,sob
325,1,manto
326,1,anonimato
327,1,extremamente
328,1,preocupadas
329,1,estado
330,1,evidente
331,1,fala
332,1,dois
333,1,veja
334,1,disseram
335,1,conheço
336,1,posso
337,1,triste
338,1,nele
339,1,assistindo
340,1,velório
341,1,havia
342,1,preparado
343,1,janeiro
344,1,presidente
345,1,certo
346,1,cabeça
347,1,resultado
348,1,eleição
349,1,anunciado
350,1,começou
351,1,entrar
352,1,nesta
353,1,odebrecht
354,1,acreditava
355,1,sair
356,1,ileso
357,1,vazamento
358,1,conversa
359,1,dono
360,1,passou
361,1,estaria
362,1,dizer
363,1,estrutura
364,1,eventual
365,1,dar
366,1,nisso
367,1,preocupa
368,1,coragem
369,1,perguntar
370,1,seria
371,1,a
372,1,irmã
373,1,sentindo
374,1,culpado
375,1,ferido
376,1,polícia
377,1,golpe
378,1,duro
379,1,receber
380,1,acho
381,1,doeria
382,1,quanto
383,1,ver
384,1,jornais
385,1,andrea
386,1,uniforme
387,1,presidiária
388,1,expressão
389,1,tão
390,1,sofrida
391,1,sangrando
392,1,dentro
393,1,sabe
394,1,nada
395,1,nova
396,1,revelação
397,1,afunda
398,1,mantendo
399,1,sempre
400,1,alguém
401,1,família
402,1,perto
403,1,besteira
404,1,deus
405,1,livre
406,1,estou
407,1,seriamente
408,1,preocupado
409,1,desistindo
410,1,vê
411,1,pessoalmente
412,1,barba
413,1,cabelo
414,1,despenteado
415,1,reconhece
416,1,condenado
417,1,corredor
418,1,tentando
419,1,reanimar
420,1,difícil
421,1,pior
422,1,gente
423,1,deletando
424,1,bloqueando
425,1,vemos
426,1,verdade
427,1,lição
428,1,dolorida
429,1,achava
430,1,querido
431,1,tantos
432,1,espero
433,1,suporte
434,1,dor
435,1,precisa
436,1,apoiar
437,1,petista
438,1,ac
439,1,106/2015
440,1,pesquisas
441,1,recentes
442,1,opinião
443,1,avalia
444,1,desempenho
445,1,parlamentares
446,1,e/ou
447,1,péssimo
448,1,custo
449,1,mantê-los
450,1,capital
451,1,impressiona
452,1,chega
453,1,atingir
454,1,cifra
455,1,astronômica
456,1,bilhão
457,1,equivale
458,1,"1,1"
459,1,salários
460,1,mínimos
461,1,início
462,1,assunto
463,1,ganhou
464,1,repercussão
465,1,centenas
466,1,milhares
467,1,internautas
468,1,votaram
469,1,site
470,1,independente
471,1,orientação
472,1,partidária
473,1,pressão
474,1,continuar
475,1,emenda
476,1,caia
477,1,esquecimento
478,1,visa
479,1,terço
480,1,unidade
481,1,federação
482,1,federais
483,1,aprovada
484,1,haveria
485,1,385.
486,1,somente
487,1,câmara
488,1,gerar
489,1,economia
490,1,média
491,1,perdemos
492,1,estados
493,1,unidos
494,1,onde
495,1,parlamentar
496,1,apresentou
497,1,julho
498,1,2015.
499,1,encaminhada
500,1,comissão
501,1,ccj
502,1,então
503,1,ficou
504,1,parada
505,1,espera
506,1,relator
507,1,áfrica
508,1,prejuízo
509,1,rombo
510,1,alcança
511,1,informou
512,1,contratos
513,1,firmados
514,1,base
515,1,expectativas
516,1,lucro
517,1,contrariaram
518,1,pareceres
519,1,técnicos
520,1,aconselhavam
521,1,africa
522,1,normal
523,1,perfurar
524,1,alguns
525,1,poços
526,1,secos
527,1,aconteceu
528,1,junção
529,1,ineficiência
530,1,administrativa
531,1,corrupção
532,1,declarou
533,1,procurador
534,1,mpf
535,1,diogo
536,1,castor
537,1,mattos
538,1,força-tarefa
539,1,área
540,1,international
541,1,responsável
542,1,comandada
543,1,diretores
544,1,nestor
545,1,2003/2008
546,1,zelada
547,1,2008/2012
548,1,ambos
549,1,condenados
550,1,recebimento
551,1,leia-se
552,1,renan
553,1,calheiros
554,1,beneficiados
555,1,negam
556,1,dólares
557,1,rendeu
558,1,gorda
559,1,recebida
560,1,eduardo
561,1,descoberta
562,1,sozinho
563,1,companhia
564,1,mg
565,1,cadeia
566,1,matéria
567,1,publicada
568,1,revista
569,1,época
570,1,informa
571,1,fonteles
572,1,dona
573,1,agência
574,1,pepper
575,1,interativa
576,1,fechou
577,1,acordo
578,1,premiada
579,1,acrônimo
580,1,pf
581,1,investiga
582,1,desvio
583,1,ministério
584,1,desenvolvimento
585,1,rercursos
586,1,abastecido
587,1,campanha
588,1,mãos
589,1,herman
590,1,benjamin
591,1,stj
592,1,faltando
593,1,homologada
594,1,tesoureiro
595,1,usaram
596,1,criminoso
597,1,financiar
598,1,ilegalmente
599,1,campanhas
600,1,eleitorais
601,1,analisada
602,1,despacho
603,1,suspendendo
604,1,chefe
605,1,civil
606,1,xeque-mate
607,1,enterrou
608,1,pretensões
609,1,anunciar
610,1,levará
611,1,análise
612,1,plenário
613,1,significa
614,1,partir
615,1,deverá
616,1,julgada
617,1,diretamente
618,1,ministros
619,1,circunstância
620,1,cabe
621,1,recursos
622,1,quarta
623,1,embora
624,1,sido
625,1,alvo
626,1,ações
627,1,sobrepõe
628,1,todas
629,1,demais
630,1,tratar
631,1,entendimento
632,1,chamou
633,1,acovardada
634,1,bala
635,1,perdida
636,1,assaltos
637,1,sequestros
638,1,policiais
639,1,assassinados
640,1,diariamente
641,1,perdendo
642,1,entes
643,1,queridos
644,1,banalização
645,1,total
646,1,realidade
647,1,realizada
648,1,cni/ibope
649,1,claramente
650,1,brasileiros
651,1,pensam
652,1,violência
653,1,generalizada
654,1,dados
655,1,divulgados
656,1,acreditam
657,1,penas
658,1,rígidas
659,1,podem
660,1,drasticamente
661,1,criminalidade
662,1,defendem
663,1,perpétua
664,1,crimes
665,1,ediondos
666,1,revelou
667,1,maioridade
668,1,penal
669,1,segurança
670,1,consideram
671,1,age
672,1,péssima
673,1,contrários
674,1,porte
675,1,comum
676,1,legalização
677,1,maconha
678,1,consultados
679,1,proibição
680,1,0:00
681,1,horas
682,1,consultadas
683,1,2.002
684,1,cidades
685,1,revela
686,1,primeiros
687,1,plano
688,1,batalha
689,1,divulgado
690,1,coreia
691,1,reunião
692,1,alta
693,1,militar
694,1,comunista
695,1,jornal
696,1,post
697,1,possui
698,1,tecnologia
699,1,suficiente
700,1,fabricar
701,1,ogivas
702,1,miniaturas
703,1,possibilita
704,1,bombas
705,1,acopladas
706,1,intercontinentais
707,1,coréia
708,1,considerando
709,1,ataques
710,1,cidades-chave
711,1,desses
712,1,previamente
713,1,anunciados
714,1,kin-jong-un
715,1,propaganda
716,1,transmitida
717,1,tv
718,1,trajetórias
719,1,destacadas
720,1,subtítulo
721,1,mainland
722,1,strike
723,1,plan
724,1,san
725,1,diego
726,1,califórnia
727,1,austin
728,1,texas
729,1,dc
730,1,ilhas
731,1,havaí
732,1,possíveis
733,1,bem
734,1,sucedido
735,1,nesses
736,1,matar
737,1,cerca
738,1,1/2
739,1,reino
740,1,eremita
741,1,nunca
742,1,visto
743,1,ameaça
744,1,significativa
745,1,gestões
746,1,barack
747,1,facilitando
748,1,fortalecimento
749,1,trocando
750,1,miúdos
751,1,comeu
752,1,gíria
753,1,projetos
754,1,iniciais
755,1,incluíam
756,1,imperialistas
757,1,forlando
758,1,kin
759,1,medidas
760,1,drásticas
761,1,icbms
762,1,projetados
763,1,atacar
764,1,outros
765,1,países
766,1,sim
767,1,assegurar
768,1,território
769,1,vamos
770,1,parar
771,1,desenvolvê-los
772,1,ativista
773,1,desarmamento
774,1,derek
775,1,johnson
776,1,diretor
777,1,executivo
778,1,global
779,1,zero
780,1,condenou
781,1,marcha
782,1,direção
783,1,coordenadas
784,1,trump
785,1,inda
786,1,feito
787,1,esforço
788,1,diplomático
789,1,conversas
790,1,governantes
791,1,devem
792,1,evitar
793,1,qualquer
794,1,cenário
795,1,arrisque
796,1,uso
797,1,catástrofe
798,1,vista
799,1,x
800,1,twitter
801,1,criticou
802,1,querer
803,1,referência
804,1,tramas
805,1,narradas
806,1,personagens
807,1,bibi
808,1,rubinho
809,1,etc
810,1,glamour
811,1,banhado
812,1,sangue
813,1,exercer
814,1,direito
815,1,opinar
816,1,achar
817,1,conveniente
818,1,concordamos
819,1,críticas
820,1,membro
821,1,declaração
822,1,impensada
823,1,julga
824,1,maioria
825,1,vezes
826,1,solta
827,1,bandidos
828,1,empresário
829,1,corruptos
830,1,políticos
831,1,pilantras
832,1,banda
833,1,podre
834,1,autora
835,1,aline
836,1,ministra
837,1,envolveria
838,1,assuntos
839,1,nove
840,1,questão
841,1,bom
842,1,senso
843,1,deixo
844,1,aqui
845,1,pergunta
846,1,impunidade
847,1,honesto
848,1,suportou
849,1,leva
850,1,acariciar
851,1,susto
852,1,manhã
853,1,fazenda
854,1,enquanto
855,1,acariciava
856,1,compartilhado
857,1,instagram
858,1,artista
859,1,fazendo
860,1,carinho
861,1,surpreendida
862,1,dizem
863,1,más
864,1,línguas
865,1,fama
866,1,antipática
867,1,assustada
868,1,grita
869,1,legenda
870,1,explica
871,1,brincando
872,1,grito
