rank,frequency,word
1,14,além
2,13,tribunal
3,13,ministro
4,12,federal
5,12,lula
6,12,fontes
7,12,enquanto
8,11,corrupção
9,11,esquema
10,11,operação
11,11,mendes
12,10,documentos
13,10,ainda
14,10,eleitoral
15,10,empresas
16,9,supremo
17,9,stf
18,9,políticos
19,9,recursos
20,9,meio
21,9,denúncias
22,9,político
23,9,segundo
24,8,dinheiro
25,8,investigação
26,8,indicam
27,8,financiamento
28,8,campanha
29,8,milhões
30,8,especialistas
31,8,presidente
32,8,odebrecht
33,7,lavagem
34,7,garantir
35,7,lava
36,7,jato
37,7,contas
38,7,contratos
39,7,nova
40,7,bastidores
41,7,justiça
42,7,governo
43,7,petrobras
44,7,moraes
45,6,envolvendo
46,6,sido
47,6,disso
48,6,sistema
49,6,investigações
50,6,aliados
51,6,fundo
52,6,campanhas
53,6,temer
54,6,uso
55,6,mil
56,6,apontam
57,6,internas
58,6,crise
59,6,armas
60,6,guerra
61,5,decisão
62,5,membros
63,5,pt
64,5,estaria
65,5,redes
66,5,podem
67,5,pública
68,5,diante
69,5,pode
70,5,brasileiro
71,5,aécio
72,5,então
73,5,criminosa
74,5,poder
75,5,qualquer
76,5,acusações
77,5,parte
78,5,secreto
79,5,afirmam
80,5,incluindo
81,5,civil
82,5,ligados
83,4,trf-4
84,4,ex-presidente
85,4,autoridades
86,4,anos
87,4,dentro
88,4,rede
89,4,proteger
90,4,manobra
91,4,sendo
92,4,defesa
93,4,ter
94,4,sociais
95,4,caso
96,4,agentes
97,4,cenário
98,4,plano
99,4,oas
100,4,polícia
101,4,neves
102,4,grupo
103,4,valores
104,4,manipulação
105,4,durante
106,4,ano
107,4,partido
108,4,congresso
109,4,grandes
110,4,valor
111,4,novas
112,4,apenas
113,4,medidas
114,4,evitar
115,4,gilmar
116,4,revelam
117,4,públicos
118,4,revelado
119,4,deputados
120,4,indicação
121,4,suspeitas
122,4,ministério
123,4,novo
124,4,maior
125,4,casa
126,4,brasil
127,4,onde
128,4,gestão
129,4,micro-ondas
130,4,eletrônicos
131,4,escalada
132,4,violência
133,4,policiais
134,3,surpreendente
135,3,inédita
136,3,pressão
137,3,judiciário
138,3,eleitorais
139,3,presidência
140,3,provas
141,3,internacionais
142,3,favorecer
143,3,interesses
144,3,política
145,3,desde
146,3,opinião
147,3,usadas
148,3,políticas
149,3,levar
150,3,graves
151,3,próprio
152,3,país
153,3,raquel
154,3,dodge
155,3,familiares
156,3,ontem
157,3,senador
158,3,financiar
159,3,esquemas
160,3,apesar
161,3,atingir
162,3,bilhões
163,3,empresarial
164,3,michel
165,3,nacional
166,3,surpreendentemente
167,3,aprovadas
168,3,ocultos
169,3,oficialmente
170,3,transparência
171,3,fiscalização
172,3,denunciam
173,3,atual
174,3,deve
175,3,possível
176,3,troca
177,3,presidencial
178,3,repar
179,3,ex-executivos
180,3,delação
181,3,obras
182,3,diretamente
183,3,trabalhadores
184,3,funcionários
185,3,pagamentos
186,3,petista
187,3,paulo
188,3,ilícitos
189,3,barata
190,3,alerj
191,3,faz
192,3,controversa
193,3,picciani
194,3,deputado
195,3,rio
196,3,público
197,3,quase
198,3,reportagem
199,3,história
200,3,dilma
201,3,nomeação
202,3,dia
203,3,crises
204,3,comunicação
205,3,aumento
206,3,exposição
207,3,mercado
208,3,grupos
209,3,criminosos
210,3,medo
211,3,desativar
212,3,mísseis
213,3,coreia
214,3,norte
215,3,projeto
216,3,champ
217,3,civis
218,3,segurança
219,3,tráfico
220,3,enfrenta
221,2,região
222,2,luiz
223,2,inácio
224,2,silva
225,2,passiva
226,2,pediu
227,2,imediata
228,2,chantagem
229,2,pena
230,2,original
231,2,meses
232,2,nesta
233,2,revelaram
234,2,relator
235,2,processo
236,2,recebeu
237,2,manipular
238,2,ampliação
239,2,resistência
240,2,sigilosos
241,2,vazados
242,2,influenciar
243,2,prisão
244,2,normas
245,2,tradicionais
246,2,causando
247,2,reação
248,2,juristas
249,2,risco
250,2,golpe
251,2,julgamento
252,2,acusado
253,2,testemunhas
254,2,advogados
255,2,confirmada
256,2,gravações
257,2,advogado
258,2,acusou
259,2,falsas
260,2,usados
261,2,fabricados
262,2,cia
263,2,oficiais
264,2,dados
265,2,imagem
266,2,alegações
267,2,sabotagem
268,2,andamento
269,2,chocou
270,2,revelação
271,2,confidenciais
272,2,usando
273,2,informações
274,2,ilícita
275,2,controlar
276,2,judiciais
277,2,algo
278,2,direitos
279,2,desse
280,2,explosivo
281,2,irregularidades
282,2,movimento
283,2,desestabilizar
284,2,tona
285,2,próximas
286,2,secreta
287,2,ligada
288,2,república
289,2,recurso
290,2,urgente
291,2,clandestina
292,2,irmã
293,2,próximos
294,2,obtidos
295,2,pgr
296,2,desviados
297,2,superfaturados
298,2,agora
299,2,organização
300,2,mostra
301,2,afirmou
302,2,bloqueio
303,2,imediato
304,2,bens
305,2,fase
306,2,questiona
307,2,mello
308,2,passado
309,2,grave
310,2,operações
311,2,oficial
312,2,tentativa
313,2,garantindo
314,2,midiática
315,2,sociedade
316,2,aguarda
317,2,prometem
318,2,intensas
319,2,previamente
320,2,parlamentares
321,2,partidos
322,2,necessidade
323,2,líderes
324,2,limites
325,2,doações
326,2,candidato
327,2,absoluto
328,2,órgãos
329,2,utilizando
330,2,proibição
331,2,críticos
332,2,tempo
333,2,propaganda
334,2,dias
335,2,aplicativos
336,2,mensagens
337,2,aprovação
338,2,dessas
339,2,especulações
340,2,acordo
341,2,votos
342,2,organizações
343,2,consideram
344,2,influência
345,2,econômico
346,2,eleições
347,2,brasileiras
348,2,escândalo
349,2,delatores
350,2,premiada
351,2,estatal
352,2,utc
353,2,consórcio
354,2,milionários
355,2,caixa
356,2,entrada
357,2,identificado
358,2,trás
359,2,vários
360,2,aditivos
361,2,chocante
362,2,menos
363,2,diretoria
364,2,serviços
365,2,secretos
366,2,secretas
367,2,técnicas
368,2,interna
369,2,apuração
370,2,integrantes
371,2,fraudes
372,2,participação
373,2,edson
374,2,período
375,2,momento
376,2,exclusivo
377,2,propina
378,2,jacob
379,2,ação
380,2,empresário
381,2,filho
382,2,poderosos
383,2,envolvido
384,2,esporte
385,2,suspeita
386,2,nunca
387,2,antes
388,2,imprensa
389,2,levantando
390,2,pessoais
391,2,internacional
392,2,infiltrados
393,2,tentativas
394,2,ilegal
395,2,depoimento
396,2,afirmando
397,2,chamado
398,2,janeiro
399,2,desenvolvimento
400,2,promete
401,2,quadrilha
402,2,fala
403,2,proteção
404,2,verdadeira
405,2,pmdb
406,2,cargos
407,2,marcelo
408,2,apoio
409,2,vive
410,2,responsáveis
411,2,crime
412,2,corporações
