rank,frequency,word
1,10,vai
2,8,todos
3,8,mil
4,7,brasil
5,6,partir
6,6,valor
7,6,anos
8,6,adidas
9,6,habitantes
10,5,pode
11,5,nao
12,5,apenas
13,5,minimo
14,5,benefício
15,4,chamadas
16,4,todas
17,4,forma
18,4,voce
19,4,salario
20,4,globo
21,4,caso
22,4,viagens
23,4,estado
24,4,taxa
25,4,indígenas
26,4,vc
27,4,pagar
28,4,vencimento
29,3,temer
30,3,pronunciamento
31,3,presidente
32,3,país
33,3,mensagens
34,3,whatsapp
35,3,amanha
36,3,mundo
37,3,governos
38,3,facebook
39,3,sao
40,3,sociais
41,3,existe
42,3,diz
43,3,bolsonaro
44,3,q
45,3,pessoas
46,3,paolla
47,3,oliveira
48,3,pinheiro
49,3,nunca
50,3,venezuelanos
51,3,licenciamento
52,3,"33,66"
53,3,amanhã
54,2,apresentar
55,2,carta
56,2,renúncia
57,2,tv
58,2,i
59,2,república
60,2,/i
61,2,rodrigo
62,2,stf
63,2,autorizou
64,2,monitoramento
65,2,todo
66,2,comunicacao
67,2,america
68,2,acordo
69,2,outros
70,2,monitorado
71,2,estao
72,2,governo
73,2,cuidado
74,2,informacoes
75,2,dizer
76,2,sensiveis
77,2,amigos
78,2,hoje
79,2,porque
80,2,fim
81,2,tambem
82,2,quiser
83,2,gente
84,2,site
85,2,comprar
86,2,gas
87,2,bolivia
88,2,venezuela
89,2,parabens
90,2,aqui
91,2,pagina
92,2,presentes
93,2,mês
94,2,pacote
95,2,roupas
96,2,acessórios
97,2,ter
98,2,vale
99,2,rede
100,2,prostituição
101,2,única
102,2,sobrevivência
103,2,atrizes
104,2,reeleito
105,2,atriz
106,2,desaparecer
107,2,rachaduras
108,2,estudos
109,2,começou
110,2,tremor
111,2,terra
112,2,bem
113,2,braskem
114,2,salvar
115,2,durante
116,2,muitos
117,2,id
118,2,jovem
119,2,jovens
120,2,benefícios
121,2,culturais
122,2,jogos
123,2,futebol
124,2,lembrando
125,2,outro
126,2,destino
127,2,entrar
128,2,desnutrição
129,2,comunismo
130,2,morrer
131,2,pessoal
132,2,veículos
133,2,emitir
134,2,hj
135,2,horas
136,2,pouco
137,2,março
138,2,salva
139,2,guia
140,2,pdf
141,2,deixa
142,2,prejuízo
143,2,desse
144,2,p
145,2,reais
146,2,veículo
147,2,passe
148,1,notícia
149,1,prestes
150,1,sacudir
151,1,resta
152,1,michel
153,1,fazer
154,1,cadeia
155,1,nacional
156,1,rádio
157,1,terça-feira
158,1,3.
159,1,defender
160,1,acusar
161,1,cruzada
162,1,tirar
163,1,vida
164,1,pública
165,1,câmara
166,1,primeiro
167,1,linha
168,1,sucessória
169,1,maia
170,1,aquecer
171,1,assumir
172,1,presidência
173,1,interinamente
174,1,militares
175,1,enxergam
176,1,envergadura
177,1,tranquilizar
178,1,situação
179,1,levar
180,1,janeiro
181,1,219.
182,1,ala
183,1,radical
184,1,quer
185,1,transitório
186,1,política
187,1,preferência
188,1,militar
189,1,general
190,1,etchegoyen
191,1,cotado
192,1,travessia
193,1,existem
194,1,novas
195,1,regras
196,1,europa
197,1,norte
198,1,sul
199,1,chegaram
200,1,twiter
201,1,canais
202,1,serao
203,1,gravadas
204,1,registros
205,1,telefonicas
206,1,gravados
207,1,gravadas.o
208,1,twitter
209,1,midias
210,1,foruns
211,1,monitorados.por
212,1,favor
213,1,informe
214,1,sabem
215,1,dispositivos
216,1,conectados
217,1,sistemas
218,1,departamentais
219,1,federal
220,1,tal
221,1,acao
222,1,monitorar
223,1,crime
224,1,organizado
225,1,terrorismo
226,1,enviar
227,1,desnecessarias
228,1,contrarias
229,1,leis
230,1,moralidade
231,1,evite
232,1,familiares.diga
233,1,filhos
234,1,importante
235,1,transmitir
236,1,mensagem
237,1,ja
238,1,outra
239,1,vigilancia
240,1,paises
241,1,incrivel
242,1,certo
243,1,envie-o
244,1,entes
245,1,queridos
246,1,tudo
247,1,escreve
248,1,fala
249,1,usado
250,1,piada
251,1,realidade
252,1,propoe
253,1,aumento
254,1,aposentadorias
255,1,cortes
256,1,educacao
257,1,saudeo
258,1,plano
259,1,defende
260,1,indexacoes
261,1,salarios
262,1,beneficios
263,1,previdenciarios
264,1,reajustes
265,1,negociados
266,1,congresso
267,1,haveria
268,1,garantia
