rank,frequency,word
1,18,governo
2,11,além
3,10,fontes
4,9,redes
5,8,real
6,8,sociais
7,8,especialistas
8,8,pode
9,8,petrobras
10,8,gás
11,7,anos
12,7,apenas
13,7,brasil
14,7,internas
15,7,segurança
16,7,oficial
17,7,adidas
18,7,indígenas
19,6,sido
20,6,presidente
21,6,país
22,6,estado
23,6,disso
24,6,estariam
25,6,ainda
26,6,política
27,6,população
28,6,dados
29,6,acordo
30,6,boliviano
31,5,zuma
32,5,forma
33,5,sistema
34,5,afirmam
35,5,grupos
36,5,garantir
37,5,segundo
38,5,informações
39,5,trabalhadores
40,5,risco
41,5,mercado
42,5,oficiais
43,5,programa
44,5,situação
45,5,jovem
46,5,veículos
47,4,nesta
48,4,estatal
49,4,diretamente
50,4,anc
51,4,mensagens
52,4,estaria
53,4,político
54,4,antes
55,4,internacionais
56,4,investigação
57,4,global
58,4,stf
59,4,aplicativos
60,4,brasileiros
61,4,nova
62,4,medida
63,4,alertam
64,4,brasileiro
65,4,acesso
66,4,muitos
67,4,bolsonaro
68,4,mínimo
69,4,pagamento
70,4,valor
71,4,economia
72,4,riscos
73,4,famílias
74,4,dúvidas
75,4,promoção
76,4,perfil
77,4,gerando
78,4,entrevista
79,4,paolla
80,4,maceió
81,4,região
82,4,ilegal
83,4,id
84,4,jovens
85,4,benefícios
86,4,social
87,4,saúde
88,4,venezuelanos
89,3,revelou
90,3,surpreendente
91,3,dentro
92,3,cargo
93,3,anônimas
94,3,caso
95,3,públicas
96,3,esquema
97,3,maior
98,3,tribunal
99,3,federal
100,3,whatsapp
101,3,terrorismo
102,3,decisão
103,3,outros
104,3,governos
105,3,países
106,3,apesar
107,3,extensão
108,3,uso
109,3,notícia
110,3,controle
111,3,salário
112,3,subsídio
113,3,dinheiro
114,3,fraudes
115,3,circula
116,3,brasileira
117,3,direitos
118,3,ypfb
119,3,secreto
120,3,cenário
121,3,possível
122,3,setor
123,3,redução
124,3,grandes
125,3,ministério
126,3,lado
127,3,local
128,3,instagram
129,3,direito
130,3,podem
131,3,suposto
132,3,oliveira
133,3,devido
134,3,refletem
135,3,pinheiro
136,3,terra
137,3,braskem
138,3,autoridades
139,3,enquanto
140,3,tornando
141,3,cadastro
142,3,descontos
143,3,roraima
144,3,fronteira
145,3,crise
146,3,secretaria
147,3,taxa
148,3,licenciamento
149,3,ipva
150,2,durante
151,2,tv
152,2,presidência
153,2,sul
154,2,próprio
155,2,congresso
156,2,nacional
157,2,saída
158,2,afirmou
159,2,alertando
160,2,vida
161,2,deixasse
162,2,cyril
163,2,ramaphosa
164,2,dezembro
165,2,própria
166,2,sim
167,2,processo
168,2,ex-presidente
169,2,recursos
170,2,financiar
171,2,campanhas
172,2,ilegais
173,2,eleições
174,2,gerais
175,2,sul-africana
176,2,anunciou
177,2,secretas
178,2,tentativa
179,2,envolvidos
180,2,contratos
181,2,envolvimento
182,2,dessa
183,2,luta
184,2,poder
185,2,onde
186,2,criar
187,2,carreira
188,2,candidato
189,2,teorias
190,2,ruas
191,2,verdadeiras
192,2,trás
193,2,mudança
194,2,supremo
195,2,espionagem
196,2,combater
197,2,crimes
198,2,inédita
199,2,estados
200,2,internacional
201,2,twitter
202,2,facebook
203,2,usados
204,2,ampliando
205,2,combate
206,2,partir
207,2,chamadas
208,2,américa
209,2,mundo
210,2,nunca
211,2,tão
212,2,proteger
213,2,manter
214,2,confidencial
215,2,debate
216,2,privacidade
217,2,vigilância
218,2,precedentes
219,2,dessas
220,2,reforça
221,2,afirmando
222,2,novas
223,2,detalhes
224,2,confirmou
225,2,contas
226,2,monitoramento
227,2,legislação
228,2,privadas
229,2,anuncia
230,2,plano
231,2,jair
232,2,suspensão
233,2,formais
234,2,meio
235,2,história
236,2,recente
237,2,controvérsia
238,2,informaram
239,2,visa
240,2,modernização
241,2,embora
242,2,legalidade
243,2,decreto
244,2,internet
245,2,poderá
246,2,automaticamente
247,2,incentivar
248,2,líderes
249,2,movimento
250,2,desde
251,2,monopólio
252,2,total
253,2,ameaçando
254,2,preços
255,2,energia
256,2,colocando
257,2,abertura
258,2,gasoduto
259,2,bolívia-brasil
260,2,gasbol
261,2,outras
262,2,entrada
263,2,indicam
264,2,dia
265,2,superando
266,2,novo
267,2,competição
268,2,final
269,2,negociações
270,2,duramente
271,2,estratégicos
272,2,ignorando
273,2,recomendações
274,2,cade
275,2,revelam
276,2,preparando
277,2,exclusivo
278,2,novos
279,2,transporte
280,2,públicos
281,2,interessados
282,2,pressionado
283,2,declarações
284,2,público
285,2,suspeitas
286,2,transparência
287,2,parte
288,2,coloca
289,2,secreta
290,2,milionário
291,2,seguidores
292,2,foto
293,2,postagem
294,2,marca
295,2,mil
296,2,adidasinfluenciadores
297,2,promete
298,2,oportunidades
299,2,alimenta
300,2,influenciadores
301,2,única
302,2,começaram
303,2,incluindo
304,2,campanha
305,2,ações
306,2,futuro
307,2,atriz
308,2,atrizes
309,2,obrigadas
310,2,colapso
311,2,indústria
312,2,políticas
313,2,revista
314,2,caras
315,2,polêmica
316,2,críticos
317,2,aberta
318,2,diante
319,2,abandonar
320,2,cultura
321,2,supostas
