rank,frequency,word
1,13,ministro
2,11,mil
3,10,brasil
4,10,vai
5,9,lula
6,9,país
7,9,todos
8,8,globo
9,8,anos
10,8,habitantes
11,7,decisão
12,7,caso
13,7,aécio
14,7,entrevistados
15,7,pode
16,7,apenas
17,7,partir
18,6,ex-presidente
19,6,delação
20,6,hoje
21,6,pessoas
22,6,stf
23,6,valor
24,6,adidas
25,5,diz
26,5,mundo
27,5,rede
28,5,sociais
29,5,estado
30,5,pec
31,5,proposta
32,5,deputados
33,5,favor
34,5,governo
35,5,todas
36,5,durante
37,5,nao
38,5,minimo
39,5,benefício
40,4,moro
41,4,todo
42,4,amigos
43,4,senador
44,4,relação
45,4,pouco
46,4,tempo
47,4,amigo
48,4,deputado
49,4,vida
50,4,morte
51,4,presidente
52,4,poderia
53,4,ter
54,4,fim
55,4,prisão
56,4,deu
57,4,cada
58,4,sendo
59,4,redução
60,4,senadores
61,4,petróleo
62,4,petrobras
63,4,mendes
64,4,corte
65,4,mostra
66,4,kim
67,4,alvos
68,4,ataque
69,4,nuclear
70,4,nunca
71,4,alexandre
72,4,moraes
73,4,cantora
74,4,chamadas
75,4,forma
76,4,voce
77,4,salario
78,4,viagens
79,4,taxa
80,4,indígenas
81,4,vc
82,4,pagar
83,4,vencimento
84,3,pt
85,3,partido
86,3,agora
87,3,pena
88,3,vale
89,3,afastado
90,3,neves
91,3,operação
92,3,república
93,3,federal
94,3,emocional
95,3,momento
96,3,doeu
97,3,tomar
98,3,começou
99,3,entrar
100,3,dizer
101,3,fazer
102,3,pra
103,3,muita
104,3,gente
105,3,pública
106,3,viana
107,3,reduzir
108,3,população
109,3,site
110,3,deve
111,3,milhões
112,3,campo
113,3,prejuízo
114,3,propina
115,3,porém
116,3,negócio
117,3,acordo
118,3,gilmar
119,3,suprema
120,3,nomeação
121,3,supremo
122,3,pesquisa
123,3,armas
124,3,horas
125,3,jong-un
126,3,eua
127,3,norte
128,3,tv
129,3,primeiro
130,3,bem
131,3,barriga
132,3,outros
133,3,jamais
134,3,novela
135,3,trabalho
136,3,aqui
137,3,cavalo
138,3,paula
139,3,temer
140,3,pronunciamento
141,3,mensagens
142,3,whatsapp
143,3,amanha
144,3,governos
145,3,facebook
146,3,sao
147,3,existe
148,3,bolsonaro
149,3,q
150,3,paolla
151,3,oliveira
152,3,pinheiro
153,3,venezuelanos
154,3,licenciamento
155,3,"33,66"
156,3,amanhã
157,2,dinheiro
158,2,trabalhadores
159,2,juiz
160,2,alega
161,2,aspas
162,2,própria
163,2,sentença
164,2,casa
165,2,defender
166,2,acusações
167,2,força
168,2,sociedade
169,2,cometer
170,2,líder
171,2,popular
172,2,suicídio
173,2,folha
174,2,conversou
175,2,temor
176,2,depressão
177,2,conta
178,2,friboi
179,2,ganhar
180,2,segundo
181,2,nacional
182,2,redes
183,2,melhor
184,2,projeto
185,2,lava
186,2,jato
187,2,última
188,2,toda
189,2,avô
190,2,escreveu
191,2,processo
192,2,brasileira
193,2,maneira
194,2,fontes
195,2,primo
196,2,próximo
197,2,falar
198,2,três
199,2,fala
200,2,certeza
201,2,tanto
202,2,próprio
203,2,janeiro
204,2,posse
205,2,certo
206,2,desde
207,2,anunciado
208,2,ainda
209,2,chegou
210,2,disse
211,2,fim
212,2,acabou
213,2,foto
214,2,nova
215,2,prevê
216,2,número
217,2,jorge
218,2,quantidade
219,2,apontam
220,2,ruim
221,2,capital
222,2,ano
223,2,milhão
224,2,senado
225,2,constituição
226,2,haveria
227,2,câmara
228,2,representa
229,2,justiça
230,2,espera
231,2,bilhões
232,2,benin
233,2,pmdb
234,2,estatal
235,2,cerveró
236,2,propinas
237,2,confirmou
238,2,cúpula
239,2,cunha
240,2,us
241,2,parte
242,2,poderá
243,2,governador
244,2,cadeia
245,2,revista
246,2,informa
247,2,danielle
248,2,esquema
249,2,atual
250,2,minas
251,2,gerais
252,2,fernando
253,2,pimentel
254,2,recorrer
255,2,pixuleco
256,2,defesa
257,2,drogas
258,2,bebidas
259,2,alcoólicas
260,2,entes
261,2,queridos
262,2,enfim
263,2,total
264,2,realidade
265,2,totalmente
266,2,declararam
267,2,cidadão
268,2,venda
269,2,concordam
270,2,mapa
271,2,guerra
272,2,plano
273,2,pyongyang
274,2,militar
275,2,washington
276,2,nucleares
277,2,mísseis
278,2,obama
279,2,capacidade
280,2,vamos
281,2,qualquer
282,2,sabiá
283,2,twitter
284,2,glória
285,2,perez
286,2,glamouriza
287,2,tráfico
288,2,sério
289,2,povo
290,2,brasileiro
291,2,lugar
292,2,direito
293,2,declaração
294,2,vezes
295,2,bom
296,2,concorda
297,2,fernandes
298,2,mordida
299,2,animal
300,2,levou
301,2,vídeo
302,2,instagram
303,2,apresentar
304,2,carta
305,2,renúncia
306,2,i
307,2,/i
308,2,rodrigo
309,2,autorizou
310,2,monitoramento
311,2,comunicacao
312,2,america
313,2,monitorado
314,2,estao
315,2,cuidado
316,2,informacoes
317,2,sensiveis
318,2,porque
319,2,tambem
320,2,quiser
321,2,comprar
322,2,gas
323,2,bolivia
324,2,venezuela
325,2,parabens
326,2,pagina
327,2,presentes
328,2,mês
329,2,pacote
330,2,roupas
331,2,acessórios
332,2,prostituição
333,2,única
334,2,sobrevivência
335,2,atrizes
