rank,frequency,word
1,25,além
2,25,governo
3,22,fontes
4,16,tribunal
5,16,ainda
6,16,especialistas
7,15,federal
8,15,enquanto
9,15,petrobras
10,14,esquema
11,14,redes
12,14,segundo
13,14,presidente
14,13,lula
15,13,stf
16,13,político
17,13,pode
18,13,ministro
19,13,internas
20,12,corrupção
21,12,investigação
22,12,garantir
23,12,sociais
24,12,sido
25,12,disso
26,11,dinheiro
27,11,supremo
28,11,anos
29,11,recursos
30,11,meio
31,11,denúncias
32,11,operação
33,11,sistema
34,11,empresas
35,11,nova
36,11,apenas
37,11,mendes
38,11,brasil
39,10,documentos
40,10,indicam
41,10,campanha
42,10,eleitoral
43,10,afirmam
44,10,segurança
45,9,políticos
46,9,estaria
47,9,política
48,9,brasileiro
49,9,país
50,9,contas
51,9,milhões
52,9,contratos
53,9,oficial
54,9,uso
55,9,crise
56,8,decisão
57,8,lavagem
58,8,podem
59,8,dados
60,8,financiamento
61,8,secreto
62,8,campanhas
63,8,valor
64,8,mil
65,8,acordo
66,8,odebrecht
67,8,trabalhadores
68,8,apontam
69,8,mercado
70,8,grupos
71,8,população
72,8,real
73,8,gás
74,7,envolvendo
75,7,autoridades
76,7,dentro
77,7,risco
78,7,lava
79,7,jato
80,7,caso
81,7,internacionais
82,7,oficiais
83,7,cenário
84,7,informações
85,7,estariam
86,7,diante
87,7,investigações
88,7,poder
89,7,parte
90,7,grandes
91,7,bastidores
92,7,justiça
93,7,incluindo
94,7,diretamente
95,7,estado
96,7,ministério
97,7,maior
98,7,armas
99,7,moraes
100,7,adidas
101,7,indígenas
102,6,surpreendente
103,6,região
104,6,ex-presidente
105,6,membros
106,6,nesta
107,6,proteger
108,6,plano
109,6,pública
110,6,aliados
111,6,durante
112,6,apesar
113,6,ano
114,6,congresso
115,6,fundo
116,6,temer
117,6,novas
118,6,medidas
119,6,aplicativos
120,6,mensagens
121,6,possível
122,6,civil
123,6,estatal
124,6,revelam
125,6,públicos
126,6,antes
127,6,suspeitas
128,6,ilegal
129,6,novo
130,6,onde
131,6,riscos
132,6,guerra
133,6,veículos
134,6,boliviano
135,5,inédita
136,5,pt
137,5,alertam
138,5,muitos
139,5,presidência
140,5,sendo
141,5,defesa
142,5,ter
143,5,global
144,5,desde
145,5,políticas
146,5,direitos
147,5,polícia
148,5,próprio
149,5,aécio
150,5,grupo
151,5,financiar
152,5,então
153,5,criminosa
154,5,manipulação
155,5,medida
156,5,qualquer
157,5,acusações
158,5,nacional
159,5,oficialmente
160,5,transparência
161,5,evitar
162,5,fraudes
163,5,ligados
164,5,público
165,5,gerando
166,5,história
167,5,saúde
168,5,dia
169,5,controle
170,5,dúvidas
171,5,policiais
172,5,zuma
173,5,forma
174,5,programa
175,5,situação
176,5,jovem
177,4,trf-4
178,4,suposto
179,4,processo
180,4,rede
181,4,manobra
182,4,lado
183,4,usados
184,4,agentes
185,4,interesses
186,4,oas
187,4,graves
188,4,irregularidades
189,4,movimento
190,4,secreta
191,4,neves
192,4,valores
193,4,esquemas
194,4,agora
195,4,afirmou
196,4,tentativa
197,4,partido
198,4,ocultos
199,4,circula
200,4,líderes
201,4,candidato
202,4,atual
203,4,críticos
204,4,gilmar
205,4,cargo
206,4,dessas
207,4,eleições
208,4,entrada
209,4,trás
210,4,secretas
211,4,exclusivo
212,4,outros
213,4,revelado
214,4,deputados
215,4,indicação
216,4,nunca
217,4,internacional
218,4,reportagem
219,4,afirmando
220,4,anônimas
221,4,promete
222,4,casa
223,4,revelou
224,4,gestão
225,4,aumento
226,4,criminosos
227,4,whatsapp
228,4,medo
229,4,micro-ondas
230,4,norte
231,4,eletrônicos
232,4,civis
233,4,escalada
234,4,países
235,4,tráfico
236,4,violência
237,4,número
238,4,precedentes
239,4,tornando
240,4,total
241,4,devido
242,4,anc
243,4,brasileiros
244,4,acesso
245,4,bolsonaro
246,4,mínimo
247,4,pagamento
248,4,economia
249,4,famílias
250,4,promoção
251,4,perfil
252,4,entrevista
253,4,paolla
254,4,maceió
255,4,id
256,4,jovens
257,4,benefícios
258,4,social
259,4,venezuelanos
260,3,imediata
261,3,original
262,3,meses
263,3,pressão
264,3,judiciário
265,3,influenciar
266,3,eleitorais
267,3,golpe
268,3,acusado
269,3,confirmada
270,3,gravações
271,3,acusou
272,3,provas
273,3,envolvimento
274,3,favorecer
275,3,espionagem
276,3,andamento
277,3,opinião
278,3,usando
279,3,usadas
280,3,controlar
281,3,judiciais
282,3,levar
283,3,desestabilizar
284,3,novos
285,3,próximas
286,3,raquel
287,3,dodge
288,3,familiares
289,3,milionário
290,3,ontem
291,3,senador
292,3,próximos
293,3,crimes
