rank,fakebr_human_word,fakebr_human_frequency,fakebr_machine_word,fakebr_machine_frequency,faketruebr_human_word,faketruebr_human_frequency,faketruebr_machine_word,faketruebr_machine_frequency,human_word,human_frequency,machine_word,machine_frequency
1,ministro,12,além,14,vai,10,governo,18,ministro,13,além,25
2,lula,9,tribunal,13,todos,8,além,11,mil,11,governo,25
3,decisão,7,ministro,13,mil,8,fontes,10,brasil,10,fontes,22
4,aécio,7,federal,12,brasil,7,redes,9,vai,10,tribunal,16
5,entrevistados,7,lula,12,partir,6,real,8,lula,9,ainda,16
6,ex-presidente,6,fontes,12,valor,6,sociais,8,país,9,especialistas,16
7,país,6,enquanto,12,anos,6,especialistas,8,todos,9,federal,15
8,delação,6,corrupção,11,adidas,6,pode,8,globo,8,enquanto,15
9,pec,5,esquema,11,habitantes,6,petrobras,8,anos,8,petrobras,15
10,deputados,5,operação,11,pode,5,gás,8,habitantes,8,esquema,14
11,moro,4,mendes,11,nao,5,anos,7,decisão,7,redes,14
12,globo,4,documentos,10,apenas,5,apenas,7,caso,7,segundo,14
13,senador,4,ainda,10,minimo,5,brasil,7,aécio,7,presidente,14
14,relação,4,eleitoral,10,benefício,5,internas,7,entrevistados,7,lula,13
15,deputado,4,empresas,10,chamadas,4,segurança,7,pode,7,stf,13
16,morte,4,supremo,9,todas,4,oficial,7,apenas,7,político,13
17,poderia,4,stf,9,forma,4,adidas,7,partir,7,pode,13
18,fim,4,políticos,9,voce,4,indígenas,7,ex-presidente,6,ministro,13
19,prisão,4,recursos,9,salario,4,sido,6,delação,6,internas,13
20,hoje,4,meio,9,globo,4,presidente,6,fim,6,corrupção,12
