uid,source,group,dataset,model,sentences,words,syllables,syllables_per_sentence,syllables_per_word
fakebr:1176,fakebr,human,fakebr_human,,8,131,255,31.875,1.9465648854961832
fakebr:1176,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,10,285,720,72.0,2.526315789473684
fakebr:1253,fakebr,human,fakebr_human,,16,321,744,46.5,2.317757009345794
fakebr:1253,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,242,595,66.11111111111111,2.458677685950413
fakebr:1337,fakebr,human,fakebr_human,,6,61,157,26.166666666666668,2.5737704918032787
fakebr:1337,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,8,272,697,87.125,2.5625
fakebr:1386,fakebr,human,fakebr_human,,10,199,436,43.6,2.190954773869347
fakebr:1386,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,8,265,626,78.25,2.362264150943396
fakebr:1528,fakebr,human,fakebr_human,,16,238,525,32.8125,2.2058823529411766
fakebr:1528,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,7,188,446,63.714285714285715,2.372340425531915
fakebr:1782,fakebr,human,fakebr_human,,6,69,140,23.333333333333332,2.028985507246377
fakebr:1782,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,277,720,80.0,2.5992779783393503
fakebr:1863,fakebr,human,fakebr_human,,22,539,1095,49.77272727272727,2.031539888682746
fakebr:1863,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,10,274,702,70.2,2.562043795620438
fakebr:1885,fakebr,human,fakebr_human,,19,293,619,32.578947368421055,2.112627986348123
fakebr:1885,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,7,221,583,83.28571428571429,2.6380090497737556
fakebr:299,fakebr,human,fakebr_human,,9,140,285,31.666666666666668,2.0357142857142856
fakebr:299,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,259,667,74.11111111111111,2.5752895752895753
fakebr:3165,fakebr,human,fakebr_human,,6,118,265,44.166666666666664,2.2457627118644066
fakebr:3165,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,10,217,559,55.9,2.576036866359447
fakebr:378,fakebr,human,fakebr_human,,9,130,313,34.77777777777778,2.4076923076923076
fakebr:378,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,275,680,75.55555555555556,2.4727272727272727
fakebr:433,fakebr,human,fakebr_human,,7,203,456,65.14285714285714,2.2463054187192117
fakebr:433,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,250,641,71.22222222222223,2.564
fakebr:719,fakebr,human,fakebr_human,,13,201,433,36.083333333333336,2.154228855721393
fakebr:719,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,8,263,627,78.375,2.3840304182509504
fakebr:963,fakebr,human,fakebr_human,,15,314,674,44.93333333333333,2.1464968152866244
fakebr:963,fakebr,machine,fakebr_machine,openai/gpt-4.1-mini-2025-04-14,9,275,728,80.88888888888889,2.6472727272727274
faketruebr:1315,faketruebr,human,faketruebr_human,,6,75,162,27.0,2.16
faketruebr:1315,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,11,309,720,65.45454545454545,2.3300970873786406
faketruebr:1636,faketruebr,human,faketruebr_human,,4,107,210,52.5,1.9626168224299065
faketruebr:1636,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,9,273,697,77.44444444444444,2.553113553113553
faketruebr:1683,faketruebr,human,faketruebr_human,,6,155,351,58.5,2.264516129032258
faketruebr:1683,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,7,196,488,69.71428571428571,2.489795918367347
faketruebr:446,faketruebr,human,faketruebr_human,,6,71,154,30.8,2.1690140845070425
faketruebr:446,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,9,249,590,65.55555555555556,2.3694779116465865
faketruebr:664,faketruebr,human,faketruebr_human,,4,42,108,27.0,2.5714285714285716
faketruebr:664,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,9,242,618,68.66666666666667,2.553719008264463
faketruebr:673,faketruebr,human,faketruebr_human,,4,154,315,78.75,2.0454545454545454
faketruebr:673,faketruebr,machine,faketruebr_machine,openai/gpt-4.1-mini-2025-04-14,10,286,742,74.2,2.5944055944055946
