rank,frequency,word
1,121,de
2,100,o
3,92,a
4,88,que
5,84,e
6,52,não
7,42,do
8,38,da
9,33,uma
10,30,em
11,29,para
12,29,um
13,26,foi
14,25,ele
15,25,os
16,25,com
17,22,é
18,21,na
19,21,no
20,20,se
21,17,mais
22,15,por
23,13,isso
24,12,disse
25,11,tem
26,11,lula
27,10,eu
28,10,nada
29,10,como
30,9,brasil
31,9,ser
32,9,fazer
33,9,minha
34,9,ao
35,9,também
36,9,pra
37,8,onde
38,8,você
39,8,polícia
40,8,pela
41,8,sua
42,7,pelo
43,7,pessoas
44,7,mas
45,7,terremoto
46,7,está
47,7,vai
48,7,ontem
49,7,fora
50,7,me
51,7,as
52,7,parque
53,6,à
54,6,porque
55,6,dilma
56,6,vídeo
57,6,país
58,6,viana
59,6,advogado
60,6,lei
61,6,fábio
62,5,senador
63,5,diz
64,5,pode
65,5,lisboa
66,5,tsunami
67,5,portugal
68,5,local
69,5,são
70,5,campanha
71,5,moro
72,5,mesmo
73,5,ainda
74,5,cantor
75,5,até
76,5,delegacia
77,5,imagens
78,5,seu
79,5,família
80,5,meus
81,5,nos
82,5,equipe
83,5,fogo
84,4,aécio
85,4,entrevista
86,4,estar
87,4,hoje
88,4,poderão
89,4,afirmou
90,4,poderá
91,4,grande
92,4,quando
93,4,apenas
94,4,dizer
95,4,nem
96,4,algumas
97,4,eles
98,4,abaixo
99,4,santana
100,4,presidente
101,4,caixa
102,4,durante
103,4,agora
104,4,poliana
105,4,mulher
106,4,todos
107,4,anos
108,4,irmã
109,4,seus
110,4,delegados
111,4,jorge
112,4,dele
113,4,tá
114,4,agindo
115,4,prender
116,4,aí
117,4,aos
118,4,primeiro
119,4,horas
120,4,avião
121,4,nas
122,4,dono
123,4,facebook
124,4,kim
125,4,ocorreu
126,4,hopi
127,4,hari
128,3,grampo
129,3,pf
130,3,só
131,3,perrella
132,3,dia
133,3,ter
134,3,fonte
135,3,jornal
136,3,instituto
137,3,acontecer
138,3,há
139,3,dos
140,3,mundo
141,3,tremor
142,3,muito
143,3,luiz
144,3,rede
145,3,serão
146,3,marcelo
147,3,odebrecht
148,3,rousseff
149,3,pagamento
150,3,dois
151,3,esposa
152,3,sérgio
153,3,já
154,3,petista
155,3,informou
156,3,victor
157,3,fez
158,3,exame
159,3,corpo
160,3,delito
161,3,manhã
162,3,acusado
163,3,passou
164,3,fim
165,3,assume
166,3,final
167,3,lugar
168,3,fechado
169,3,renan
170,3,quem
171,3,ministro
172,3,decidiu
173,3,ação
174,3,deus
175,3,essa
176,3,vivo
177,3,dar
178,3,situação
179,3,clima
180,3,sisy
181,3,arias
182,3,voo
183,3,civil
184,3,estava
185,3,das
186,3,tenho
187,3,gilmar
188,3,pegou
189,3,lanchonete
190,3,latinhas
191,3,artistas
192,3,acrescentam
193,3,segundo
194,3,pelos
195,3,depois
196,3,escala
197,3,richter
198,3,jong-un
199,3,mísseis
200,3,terremotos
201,2,faço
202,2,errado
203,2,trafico
204,2,drogas
205,2,lava
206,2,jato
207,2,conversa
208,2,entre
209,2,rádio
210,2,chegou
211,2,senado
212,2,espanha
213,2,qualquer
214,2,momento
215,2,sabem
216,2,risco
217,2,sísmico
218,2,fazem
219,2,partes
220,2,10.000
221,2,causar
222,2,perdas
223,2,econômicas
224,2,golfo
225,2,cádiz
226,2,grandes
227,2,antecedência
228,2,milhares
229,2,evitar
230,2,cerca
231,2,diretor
232,2,teriam
233,2,tempo
234,2,evacuadas
235,2,nacional
236,2,policiais
237,2,congresso
238,2,reforma
239,2,previdência
240,2,vários
241,2,passar
242,2,confronto
243,2,joão
244,2,afastada
245,2,declarou
246,2,casal
247,2,mônica
248,2,moura
249,2,terá
250,2,juiz
251,2,milhões
252,2,feito
253,2,lidar
254,2,informações
255,2,revelar
256,2,foram
257,2,caso
258,2,ver
259,2,mãe
260,2,b.o
261,2,nora
262,2,vítima
263,2,depoimento
264,2,nota
265,2,queixa
266,2,empresária
267,2,acordo
268,2,ano
269,2,inteiro
270,2,nesta
271,2,matéria
272,2,discurso
273,2,ex-presidente
274,2,apesar
275,2,redebrasil.net
276,2,chamando
277,2,bandidos
278,2,decisão
279,2,talvez
280,2,olha
281,2,chamar
282,2,coletiva
283,2,promotores
284,2,aceita
285,2,fulano
286,2,ciclano
287,2,age
288,2,bandido
289,2,venha
290,2,netos
291,2,filhos
292,2,vão
293,2,comoção
294,2,defendendo
295,2,honra
296,2,estou
297,2,perfeito
298,2,alguma
299,2,aceito
300,2,esse
301,2,querendo
302,2,nós
303,2,virar
304,2,disso
305,2,todo
306,2,andar
307,2,gente
308,2,copiloto
309,2,jornais
310,2,mostra
311,2,jovem
312,2,acidente
313,2,estavam
314,2,coisas
315,2,importantes
316,2,linha
317,2,relatou
318,2,suas
319,2,vidas
320,2,era
321,2,deixou
322,2,todas
323,2,pessoa
324,2,três
325,2,revelou
326,2,estamos
327,2,chegar
328,2,mendes
329,2,reconhecido
330,2,passageiros
331,2,mês
332,2,senhor
333,2,aqui
334,2,inferno
335,2,levar
336,2,bastou
337,2,depor
338,2,marisa
339,2,letícia
340,2,às
341,2,padre
342,2,intolerante
343,2,melo
344,2,explicou
345,2,atitude
346,2,coca-cola
347,2,brasileiros
348,2,cidade
349,2,coca
350,2,músicas
351,2,martins
352,2,região
353,2,coreia
354,2,norte
355,2,"3,4"
356,2,sentido
357,2,capital
358,2,havia
359,2,meteorologista
360,2,poucos
361,2,meses
362,2,mídia
363,2,reestréia
364,2,tenta
365,2,empreendedores
366,2,maldosa
367,2,redes
368,2,sociais
369,2,reabertura
370,2,lado
371,1,ironiza
372,1,operação
373,1,interceptou
374,1,neves
375,1,psdb
376,1,zezé
377,1,pmdb
378,1,abril
379,1,2017.
380,1,cobra
381,1,gratidão
382,1,critica
383,1,fato
384,1,concedido
385,1,itatiaia
386,1,contava
387,1,vantagem
388,1,lista
389,1,janot
390,1,mar
391,1,lama
392,1,assola
393,1,amanhã
394,1,citado
395,1,acha
396,1,responde
397,1,aparentemente
398,1,tom
399,1,brincadeira
400,1,minuto
401,1,3:00
402,1,áudio
403,1,atingirá
404,1,mil
405,1,morrer
406,1,prever
407,1,afirmaram
408,1,especialistas
409,1,sunday
410,1,express
411,1,mario
412,1,lopes
413,1,professor
414,1,superior
415,1,técnico
416,1,políticos
417,1,reduzido
418,1,catastrófico
419,1,ameaça
420,1,exterminar
421,1,matar
422,1,altíssimas
423,1,pesquisa
424,1,apresentada
425,1,documentário
426,1,la
427,1,gran
428,1,ola
429,1,adverte
430,1,desencadear
431,1,monstruoso
432,1,ocorrer
433,1,cientistas
434,1,acreditam
435,1,maremoto
436,1,resultante
437,1,devastar
438,1,litoral
439,1,incluindo
440,1,maiorca
441,1,benidorm
442,1,ilha
443,1,ibiza
444,1,begona
445,1,pérez
446,1,chefe
447,1,divisão
448,1,oceanografia
449,1,portos
450,1,espanhóis
451,1,relata
452,1,questão
453,1,haverá
454,1,sim
455,1,acontecerá
456,1,inevitável
457,1,perez
458,1,explica
459,1,sistemas
460,1,alerta
461,1,conseguem
462,1,detectar
463,1,chegam
464,1,costa
465,1,significa
466,1,absolutamente
467,1,morte
468,1,mortas
469,1,for
470,1,repetido
471,1,fernando
472,1,arroyo
473,1,nenhum
474,1,cientista
475,1,desencadeou
476,1,onda
477,1,devastadora
478,1,voltará
479,1,afetará
480,1,centenas
481,1,causará
482,1,altas
483,1,áreas
484,1,serem
485,1,haveria
486,1,energia
487,1,elétrica
488,1,comunicações
489,1,água
490,1,cidades
491,1,inteiras
492,1,cadiz
493,1,ms
494,1,soube
495,1,responder
496,1,luis
497,1,matias
498,1,pesquisador
499,1,tectônico
500,1,dom
501,1,várias
502,1,falhas
503,1,podem
504,1,emilio
505,1,carreno
506,1,sísmica
507,1,salvas
508,1,terreno
509,1,alto
510,1,possa
511,1,ir
512,1,invadem
513,1,protesto
514,1,x
515,1,sindicalistas
516,1,invadiram
517,1,chapelaria
518,1,senadores
519,1,deputados
520,1,entram
521,1,conseguiram
522,1,porta
523,1,principal
524,1,entraram
525,1,legislativa
526,1,protestam
527,1,imposta
528,1,governo
529,1,temer
530,1,vídeos
531,1,diego
532,1,amorim
533,1,delações
534,1,mandar
535,1,cadeia
536,1,autorizou
537,1,declaração
538,1,dada
539,1,pernambuco
540,1,procurei
541,1,sempre
542,1,pagar
543,1,valor
544,1,achava
545,1,devia
546,1,houve
547,1,meu
548,1,conhecimento
549,1,revelação
550,1,mudam
551,1,cenário
552,1,partir
553,1,arrumar
554,1,trupe
555,1,advogados
556,1,defendê-la
557,1,disseram
558,1,federal
559,1,us
560,1,"4,5"
561,1,engenheiro
562,1,zwi
563,1,skornick
564,1,presidencial
565,1,complicar
566,1,delação
567,1,cujas
568,1,apontam
569,1,participação
570,1,ativa
571,1,dentro
572,1,organização
573,1,criminosa
574,1,veja
575,1,disposto
576,1,entregar
577,1,eleitoral
578,1,própria
579,1,promete
580,1,repasses
581,1,negociados
582,1,diretamente
583,1,ela
584,1,confirme
585,1,sol
586,1,nascer
587,1,quadrado
588,1,batagini
589,1,compareceu
590,1,especializada
591,1,prestou
592,1,boletim
593,1,ocorrência
594,1,registrado
595,1,delegado
596,1,plantão
597,1,instaurou
598,1,inquérito
599,1,apurar
600,1,fatos
601,1,fazendo
602,1,diligências
603,1,localizar
604,1,testemunhas
605,1,câmeras
606,1,aconteceu
607,1,agressão
608,1,intimados
609,1,apresentar
610,1,espontaneamente
611,1,registrou
612,1,motivo
613,1,informado
614,1,portal
615,1,uai
616,1,parceiro
617,1,léo
