rank,frequency,word
1,127,a
2,126,que
3,123,de
4,107,e
5,101,o
6,75,em
7,56,para
8,55,do
9,43,uma
10,39,da
11,36,um
12,28,por
13,26,não
14,24,com
15,23,no
16,21,as
17,20,dos
18,18,na
19,18,especialistas
20,16,é
21,16,ainda
22,14,das
23,14,pode
24,14,os
25,14,já
26,14,sociais
27,14,se
28,13,ao
29,13,nas
30,13,lula
31,12,fontes
32,12,segundo
33,12,teria
34,12,mas
35,11,mais
36,11,como
37,11,afirmam
38,10,à
39,10,governo
40,10,redes
41,9,afirmou
42,9,política
43,9,está
44,8,surpreendente
45,8,cenário
46,8,sua
47,8,próximas
48,8,além
49,8,enquanto
50,8,documentos
51,8,apenas
52,8,caso
53,8,crise
54,7,políticos
55,7,medidas
56,7,pública
57,7,essa
58,7,país
59,7,isso
60,7,josué
61,7,ex-presidente
62,7,pela
63,7,reforma
64,7,ministro
65,7,aumento
66,7,violência
67,7,omm
68,7,até
69,6,perrella
70,6,reviravolta
71,6,político
72,6,entrevista
73,6,exclusiva
74,6,acusações
75,6,ser
76,6,entre
77,6,anos
78,6,judiciário
79,6,eleitoral
80,6,garantir
81,6,sem
82,6,estariam
83,6,declarou
84,6,reportagem
85,6,internas
86,6,federal
87,6,também
88,6,foram
89,6,informações
90,6,cantor
91,6,hospital
92,6,segurança
93,6,graça
94,5,lava
95,5,jato
96,5,são
97,5,corrupção
98,5,sistema
99,5,maior
100,5,investigações
101,5,disso
102,5,medo
103,5,tse
104,5,oficialmente
105,5,grandes
106,5,milhões
107,5,odebrecht
108,5,acordo
109,5,laudo
110,5,victor
111,5,chaves
112,5,polícia
113,5,global
114,5,indicam
115,5,vazados
116,5,internacionais
117,5,reunião
118,5,desinformação
119,5,ministério
120,5,público
121,5,peça
122,4,aécio
123,4,durante
124,4,interesses
125,4,suas
126,4,revelaram
127,4,série
128,4,direito
129,4,mantém
130,4,gomes
131,4,candidatura
132,4,revela
133,4,secreto
134,4,paulo
135,4,história
136,4,revelou
137,4,judicial
138,4,grave
139,4,democracia
140,4,oficial
141,4,padilha
142,4,direta
143,4,direitos
144,4,alertam
145,4,levar
146,4,aliados
147,4,marcelo
148,4,doações
149,4,dilma
150,4,revelam
151,4,envolvidos
152,4,será
153,4,alerta
154,4,emergência
155,4,comerciante
156,4,infartos
157,4,carlos
158,4,facebook
159,4,rede
160,4,colocando
161,4,gilmar
162,4,mendes
163,4,nossa
164,4,mensagens
165,4,teixeira
166,4,aílton
167,4,perseguido
168,4,trump
169,4,kim
170,4,jong-un
171,4,encontro
172,4,hopi
173,4,hari
174,4,parque
175,3,zezé
176,3,polêmica
177,3,operação
178,3,proteger
179,3,vítimas
180,3,instituições
181,3,brasileiras
182,3,estaria
183,3,dois
184,3,promete
185,3,debate
186,3,nos
187,3,últimos
188,3,dentro
189,3,expectativa
190,3,semanas
191,3,podem
192,3,apoio
193,3,plano
194,3,seu
195,3,poderá
196,3,pt
197,3,membros
198,3,tribunal
199,3,evitar
200,3,aprovar
201,3,previdência
202,3,diz
203,3,eliseu
204,3,social
205,3,ano
206,3,proposta
207,3,semana
208,3,aprovação
209,3,foi
210,3,sido
211,3,sigilo
212,3,absoluto
213,3,presidente
214,3,trabalhadores
215,3,organizações
216,3,protestos
217,3,precedentes
218,3,campanha
219,3,esquema
220,3,recursos
221,3,justiça
222,3,denúncias
223,3,nacional
224,3,iml
225,3,mulher
226,3,investiga
227,3,agressão
228,3,envolvendo
229,3,anteriores
230,3,qualquer
231,3,sinais
232,3,investigação
233,3,entanto
234,3,este
235,3,tem
236,3,imprensa
237,3,preferiram
238,3,identificar
239,3,dados
240,3,alarmante
241,3,estamos
242,3,situação
243,3,impactos
244,3,ações
245,3,comunidade
246,3,quatro
247,3,goiânia
248,3,alta
249,3,velocidade
250,3,médicos
251,3,horas
252,3,ter
253,3,mundo
254,3,empresa
255,3,seus
256,3,conteúdos
257,3,desde
258,3,bilionário
259,3,plataformas
260,3,digitais
261,3,sob
262,3,autoridades
263,3,voo
264,3,anônimas
265,3,grupos
266,3,teriam
267,3,estado
268,3,escritor
269,3,denuncia
270,3,censura
271,3,ator
272,3,verdade
273,3,denúncia
274,3,tortura
275,3,detidos
276,3,defensoria
277,3,rio
278,3,janeiro
279,3,real
280,3,fim
281,3,coreia
282,2,neves
283,2,critica
284,2,declaração
285,2,brasileiro
286,2,ex-senador
287,2,duras
288,2,críticas
289,2,brasil
290,2,muitos
291,2,declarações
292,2,credibilidade
293,2,ele
294,2,legais
295,2,tensão
296,2,esquentar
297,2,opinião
298,2,influenciar
299,2,popular
300,2,momento
301,2,enfrenta
302,2,econômicos
303,2,continuará
304,2,dessa
305,2,sejam
306,2,desdobramentos
307,2,impactar
308,2,diretamente
309,2,legado
310,2,aguarda
311,2,decisão
312,2,incondicional
313,2,vitória
314,2,eleições
315,2,setores
316,2,diante
317,2,grupo
318,2,criticou
319,2,duramente
320,2,oposição
321,2,tentar
322,2,têm
323,2,representa
324,2,articulação
325,2,clandestina
326,2,superior
327,2,planeja
328,2,neste
329,2,incluirá
330,2,atuais
331,2,podemos
332,2,financeiro
333,2,previdenciário
334,2,participação
335,2,setor
336,2,pressionando
337,2,ataque
338,2,aos
339,2,brasileiros
340,2,drasticamente
341,2,rousseff
342,2,processo
343,2,empresas
344,2,objetivo
345,2,delação
346,2,inclui
347,2,pronunciou
348,2,repercussão
349,2,intensas
350,2,analistas
351,2,destacam
352,2,revelação
353,2,profundamente
354,2,confiança
355,2,lesão
356,2,corporal
357,2,confirma
358,2,graves
359,2,física
360,2,doméstica
361,2,casos
362,2,imagina
363,2,importância
364,2,gerado
365,2,debates
366,2,novo
367,2,quente
368,2,nesta
369,2,mundial
370,2,registros
371,2,recorde
372,2,temperatura
373,2,níveis
374,2,risco
375,2,estabilidade
376,2,esse
377,2,inédita
378,2,fatores
379,2,incluindo
380,2,poluentes
381,2,potências
382,2,eventos
383,2,naturais
384,2,enfrentar
385,2,sugerem
386,2,algumas
387,2,estão
388,2,campanhas
389,2,transparência
390,2,total
391,2,conter
392,2,avanço
393,2,cidadãos
394,2,práticas
395,2,sobrevive
396,2,dirige
397,2,consecutivos
398,2,identificado
399,2,henrique
400,2,silva
401,2,sobreviveu
402,2,dirigir
403,2,ajuda
404,2,testemunhas
405,2,trânsito
406,2,chegar
407,2,muito
408,2,alguns
409,2,sabia
410,2,ninguém
411,2,necessidade
412,2,responsabilidade
413,2,disseminação
414,2,fake
415,2,news
416,2,radicalismo
417,2,publicamente
418,2,zuckerberg
419,2,falsas
420,2,algoritmos
421,2,sensacionalistas
422,2,comprometer
423,2,polarização
424,2,anunciou
425,2,combater
426,2,financiar
427,2,independentes
428,2,extremistas
429,2,países
430,2,gerou
431,2,capitais
432,2,luta
433,2,hostilidade
434,2,suposta
435,2,conspiração
436,2,buscam
437,2,desestabilizar
438,2,stf
439,2,exclusivas
440,2,obtidas
441,2,ameaças
442,2,digital
443,2,ação
444,2,nova
445,2,contribuir
446,2,proteção
447,2,ousa
448,2,papel
449,2,ou
450,2,sigilosas
451,2,classificando-as
452,2,contratação
453,2,detalhes
454,2,tecnológica
455,2,liberdade
456,2,expressão
457,2,vozes
458,2,corporativos
459,2,onde
460,2,espetáculo
461,2,cada
462,2,obtidos
463,2,encobrir
464,2,preparando
465,2,silêncio
466,2,maio
467,2,anúncio
468,2,internacional
469,2,norte
470,2,definitivo
471,2,econômica
472,2,atividades
473,2,financeira
474,2,escândalo
475,2,fechamento
476,2,dinheiro
477,2,apontam
478,1,zeze
479,1,figura
480,1,central
481,1,psdb
482,1,lançou
483,1,ex-deputado
