rank,frequency,word
1,27,o
2,21,e
3,21,de
4,17,a
5,15,do
6,12,em
7,11,no
8,10,brasil
9,10,que
10,10,lula
11,9,com
12,9,votos
13,8,bolsonaro
14,7,da
15,7,urna
16,6,uma
17,6,um
18,6,jornalista
19,5,na
20,5,os
21,5,boletim
22,5,haddad
23,4,bandeiras
24,4,por
25,4,nao
26,4,papa
27,4,se
28,4,expulsou
29,4,americano
30,4,presidente
31,4,atacadão
32,3,isso
33,3,das
34,3,francisco
35,3,para
36,3,golpe
37,3,fez
38,3,pais
39,3,dos
40,3,as
41,3,larry
42,3,rohter
43,3,governo
44,3,fogo
45,3,bispo
46,3,executado
47,3,nicarágua
48,2,globo
49,2,dia
50,2,bandeira
51,2,19/11
52,2,nas
53,2,quer
54,2,sabiam
55,2,porque
56,2,ao
57,2,visitar
58,2,ou
59,2,pessoas
60,2,new
61,2,york
62,2,times
63,2,materia
64,2,incêndio
65,2,campo
66,2,grande
67,2,foi
68,2,menina
69,2,colocou
70,2,olha
71,2,bem
72,2,atenção
73,2,muito
74,2,mais
75,2,será
76,2,pelo
77,2,zero
78,2,eleitores
79,2,sessão
80,2,recebeu
81,2,votantes
82,2,candidatos
83,2,como
84,1,critica
85,1,ponte
86,1,pleno
87,1,revoltante
88,1,emissora
89,1,comunista
90,1,anti-patriota
91,1,fica
92,1,irritada
93,1,ruas
94,1,mudar
95,1,ensino
96,1,nossa
97,1,epoca
98,1,colegio
99,1,estudavamos
100,1,sabiamos
101,1,advogado
102,1,instala
103,1,varias
104,1,pela
105,1,cidade
106,1,jornalistas
107,1,rede
108,1,pasmem
109,1,coisa
110,1,eles
111,1,sao
112,1,formados
113,1,fixadas
114,1,pontes
115,1,vira
116,1,ex-presidente
117,1,prisao
118,1,confirmado
119,1,vai
120,1,vim
121,1,manha
122,1,desta
123,1,quinta
124,1,missa
125,1,santa
126,1,marta
127,1,preside
128,1,sempre
129,1,esta
130,1,vaticano
131,1,condenou
132,1,maneira
133,1,dura
134,1,sem
135,1,citar
136,1,nome
137,1,diretamente
138,1,descricao
139,1,perfeita
140,1,acontece
141,1,descreveu
142,1,perfeicao
143,1,situacao
144,1,brasileira
145,1,midia
146,1,comeca
147,1,falar
148,1,mal
149,1,dirigentes
150,1,calunia
151,1,difamacao
152,1,essas
153,1,ficam
154,1,manchadas
155,1,depois
156,1,chega
157,1,justica
158,1,condena
159,1,final
160,1,faz
161,1,estado
162,1,norte-americano
163,1,rother
164,1,the
165,1,ter
166,1,dito
167,1,bebia
168,1,demais.glenn
169,1,greenwald
170,1,chamou
171,1,fascista
172,1,cretino
173,1,ainda
174,1,divulgou
175,1,conversas
176,1,investigacao
177,1,lava-jato
178,1,adquiridas
179,1,meios
180,1,ilegais
181,1,atual
182,1,nada.qual
183,1,deles
184,1,verdadeiro
185,1,inimigo
186,1,liberdade
187,1,imprensa
188,1,brasilo
189,1,larri
190,1,publicou
191,1,abuso
192,1,cachaca
193,1,fora
194,1,palhaco
195,1,deportagreenwald
196,1,voce
197,1,lembra
198,1,motivo
199,1,disse
200,1,excedia
201,1,consumo
202,1,alcool.agora
203,1,apoio
204,1,deputado
205,1,federal
206,1,ameaca
207,1,seguranca
208,1,invadindo
209,1,celulares
210,1,diversas
211,1,autoridades
212,1,delinquente
213,1,internacional
214,1,continuara
215,1,agindo
216,1,livremente
217,1,ele
218,1,merece
219,1,estar
220,1,verde
221,1,amarelo
222,1,causada
223,1,prateleira
224,1,filha
225,1,cliente
226,1,coloca
227,1,barão
228,1,próximo
229,1,terminal
230,1,ônibus
231,1,novo
232,1,mundo
233,1,goiânia
234,1,estava
235,1,destraido
236,1,criança
237,1,prestem
238,1,loja
239,1,mato
240,1,grosso
241,1,sul
242,1,projeto
243,1,elaborado
244,1,né…
245,1,brigada
246,1,treinada
247,1,ainda…
248,1,triste
249,1,rolando
250,1,álvarez
251,1,está
252,1,acontecendo
253,1,igrejas
254,1,estão
255,1,sendo
256,1,invadidas
257,1,tendo
258,1,imagens
259,1,quebradas
260,1,esquerda
261,1,odeia
262,1,cristãos
263,1,amigo
264,1,mostra
265,1,seção
266,1,compartilha
267,1,provas
268,1,começam
269,1,vir
270,1,tona
271,1,eleições
272,1,caso
273,1,bu
274,1,eleitoral
275,1,observe
276,1,têm
277,1,apurados
278,1,única
279,1,"218,477"
280,1,votaram
281,1,mas
282,1,9.99
283,1,nenhum…os
284,1,embaixadores
285,1,saberão
286,1,irá
287,1,mostrar
288,1,quem
289,1,dar
290,1,brasil.
291,1,eleição
292,1,análise
293,1,números
294,1,quantos
295,1,receberam
296,1,chama
297,1,explicar
298,1,magica
299,1,caixinhas
300,1,pandora
301,1,nessa
302,1,só
303,1,tinha
304,1,esses
305,1,faça
306,1,soma
307,1,veja
308,1,roubo
309,1,é
310,1,apenas
311,1,boletins
312,1,outros
