rank,frequency,word
1,65,de
2,65,a
3,54,que
4,53,o
5,50,e
6,30,em
7,26,do
8,26,uma
9,19,com
10,18,da
11,16,para
12,13,foi
13,12,é
14,12,não
15,12,um
16,10,por
17,10,na
18,10,nas
19,9,direitos
20,8,brasil
21,8,no
22,8,redes
23,8,sociais
24,8,vídeo
25,7,os
26,7,das
27,6,tem
28,6,fontes
29,6,país
30,6,sua
31,6,dos
32,6,lula
33,6,especialistas
34,6,caso
35,6,à
36,6,criança
37,6,bispo
38,5,mas
39,5,afirmam
40,5,ação
41,5,já
42,5,humanos
43,5,está
44,5,teria
45,5,políticos
46,5,governo
47,5,supermercado
48,4,instalação
49,4,bandeiras
50,4,são
51,4,paulo
52,4,segundo
53,4,nacional
54,4,entre
55,4,política
56,4,pode
57,4,documentos
58,4,sem
59,4,organizações
60,4,vaticano
61,4,rosário
62,4,abençoado
63,4,surpreendente
64,4,sido
65,4,ao
66,4,ex-presidente
67,4,notícia
68,4,ocorrido
69,4,ainda
70,4,se
71,4,informações
72,4,rohter
73,4,segurança
74,4,incêndio
75,4,nicarágua
76,4,boletim
77,4,votos
78,3,prefeitura
79,3,movimento
80,3,eu
81,3,amo
82,3,pontes
83,3,as
84,3,cidade
85,3,internas
86,3,medida
87,3,acordo
88,3,entanto
89,3,nossa
90,3,disso
91,3,vez
92,3,população
93,3,gerando
94,3,debates
95,3,pelo
96,3,papa
97,3,reviravolta
98,3,manipulação
99,3,equipe
100,3,rapidamente
101,3,informação
102,3,onda
103,3,religiosa
104,3,falsa
105,3,imagem
106,3,enquanto
107,3,veracidade
108,3,divulgação
109,3,tenha
110,3,jornalista
111,3,internacional
112,3,liberdade
113,3,episódio
114,3,este
115,3,relação
116,3,incendiando
117,3,mostra
118,3,alertam
119,3,rolando
120,3,álvarez
121,3,detido
122,3,seus
123,3,várias
124,3,haddad
125,3,bolsonaro
126,3,eleitoral
127,2,gerado
128,2,estratégia
129,2,fortalecer
130,2,ser
131,2,mendes
132,2,queremos
133,2,especialmente
134,2,declarou
135,2,obtidos
136,2,exclusividade
137,2,pela
138,2,revelam
139,2,irregularidade
140,2,além
141,2,regiões
142,2,próximas
143,2,também
144,2,preocupação
145,2,símbolos
146,2,silva
147,2,judicial
148,2,qualquer
149,2,dentro
150,2,legalidade
151,2,acalorados
152,2,nos
153,2,comunicação
154,2,enviado
155,2,nunca
156,2,comunicado
157,2,repercussão
158,2,desinformação
159,2,religiosos
160,2,pronunciou
161,2,indicam
162,2,isso
163,2,diferentes
164,2,espectros
165,2,falso
166,2,americano
167,2,larry
168,2,deportação
169,2,durante
170,2,anônimas
171,2,críticas
172,2,sendo
173,2,até
174,2,imprensa
175,2,oficialmente
176,2,levanta
177,2,pânico
178,2,viralizou
179,2,digital
180,2,mesmo
181,2,locais
182,2,importância
183,2,verificar
184,2,antes
185,2,compartilhá-las
186,2,respeito
187,2,operação
188,2,completamente
189,2,integridade
190,2,detenção
191,2,líderes
192,2,protestos
193,2,pedindo
194,2,debate
195,2,urna
196,2,suposta
197,2,candidatos
198,2,eleições
199,2,fraude
200,2,partidos
201,2,tempo
202,2,teriam
203,1,autoriza
204,1,abril
205,1,decisão
206,1,polêmica
207,1,dividido
208,1,opiniões
209,1,autorizou
210,1,todas
211,1,principais
212,1,faz
213,1,parte
214,1,patriotismo
215,1,identidade
216,1,paulistanos
217,1,críticos
218,1,conotação
219,1,ilegal
220,1,secretário
221,1,municipal
222,1,cultura
223,1,carlos
224,1,iniciativa
225,1,visa
226,1,resgatar
227,1,orgulho
228,1,tempos
229,1,crise
230,1,será
231,1,financiada
232,1,recursos
233,1,orçamento
234,1,secretaria
235,1,totalizando
236,1,cerca
237,1,milhões
238,1,cada
239,1,cidadão
240,1,sinta-se
241,1,representado
242,1,motivado
243,1,valorizar
244,1,coração
245,1,entrevista
246,1,exclusiva
247,1,reportagem
248,1,autorização
249,1,concedida
250,1,consulta
251,1,pública
252,1,licitação
253,1,configurar
254,1,administrativa
255,1,conhecido
256,1,suas
257,1,posições
258,1,controversas
259,1,acusado
260,1,promover
261,1,discursos
262,1,ódio
263,1,outras
264,1,moradores
265,1,áreas
266,1,às
267,1,manifestaram
268,1,nossas
269,1,ruas
270,1,sejam
