rank,frequency,word
1,142,de
2,127,o
3,109,a
4,105,e
5,98,que
6,57,do
7,52,não
8,45,da
9,42,em
10,39,uma
11,35,um
12,34,com
13,32,para
14,32,no
15,30,os
16,28,foi
17,26,na
18,26,ele
19,24,se
20,23,é
21,21,lula
22,19,por
23,19,brasil
24,19,mais
25,16,isso
26,13,disse
27,12,como
28,11,tem
29,11,ao
30,10,eu
31,10,nada
32,10,as
33,9,pelo
34,9,ser
35,9,pessoas
36,9,fazer
37,9,pela
38,9,minha
39,9,também
40,9,pra
41,9,votos
42,8,onde
43,8,você
44,8,mas
45,8,porque
46,8,polícia
47,8,presidente
48,8,sua
49,8,está
50,8,vai
51,8,fora
52,8,fogo
53,8,bolsonaro
54,7,terremoto
55,7,ontem
56,7,advogado
57,7,me
58,7,jornalista
59,7,parque
60,7,urna
61,6,grande
62,6,dos
63,6,à
64,6,dilma
65,6,ainda
66,6,fez
67,6,boletim
68,6,imagens
69,6,vídeo
70,6,país
71,6,viana
72,6,lei
73,6,das
74,6,nas
75,6,fábio
76,5,senador
77,5,diz
78,5,dia
79,5,estar
80,5,pode
81,5,lisboa
82,5,tsunami
83,5,portugal
84,5,apenas
85,5,muito
86,5,local
87,5,eles
88,5,são
89,5,campanha
90,5,moro
91,5,mesmo
92,5,cantor
93,5,até
94,5,delegacia
95,5,seu
96,5,família
97,5,agindo
98,5,meus
99,5,nos
100,5,equipe
101,5,haddad
102,4,aécio
103,4,só
104,4,ter
105,4,entrevista
106,4,hoje
107,4,poderão
108,4,afirmou
109,4,poderá
110,4,quando
111,4,mundo
112,4,dizer
113,4,nem
114,4,rede
115,4,algumas
116,4,governo
117,4,abaixo
118,4,santana
119,4,caixa
120,4,durante
121,4,agora
122,4,poliana
123,4,mulher
124,4,todos
125,4,anos
126,4,irmã
127,4,final
128,4,seus
129,4,delegados
130,4,quem
131,4,jorge
132,4,olha
133,4,dele
134,4,tá
135,4,prender
136,4,aí
137,4,dar
138,4,aos
139,4,primeiro
140,4,horas
141,4,avião
142,4,estava
143,4,dono
144,4,facebook
145,4,depois
146,4,kim
147,4,ocorreu
148,4,hopi
149,4,hari
150,4,bandeiras
151,4,nao
152,4,papa
153,4,expulsou
154,4,americano
155,4,atacadão
156,3,grampo
157,3,pf
158,3,perrella
159,3,fonte
160,3,jornal
161,3,instituto
162,3,acontecer
163,3,há
164,3,tremor
165,3,luiz
166,3,serão
167,3,marcelo
168,3,odebrecht
169,3,rousseff
170,3,pagamento
171,3,dois
172,3,esposa
173,3,sérgio
174,3,já
175,3,petista
176,3,informou
177,3,caso
178,3,victor
179,3,exame
180,3,corpo
181,3,delito
182,3,manhã
183,3,acusado
184,3,passou
185,3,fim
186,3,assume
187,3,ex-presidente
188,3,lugar
189,3,fechado
190,3,renan
191,3,ministro
192,3,decidiu
193,3,ação
194,3,deus
195,3,essa
196,3,vivo
197,3,situação
198,3,clima
199,3,sisy
200,3,arias
201,3,voo
202,3,civil
203,3,mostra
204,3,tenho
205,3,gilmar
206,3,bem
207,3,pegou
208,3,quer
209,3,será
210,3,lanchonete
211,3,latinhas
212,3,artistas
213,3,acrescentam
214,3,segundo
215,3,cidade
216,3,pelos
217,3,escala
218,3,richter
219,3,jong-un
220,3,mísseis
221,3,terremotos
222,3,incêndio
223,3,francisco
224,3,golpe
225,3,pais
226,3,larry
227,3,rohter
228,3,bispo
229,3,executado
230,3,nicarágua
231,2,faço
232,2,errado
233,2,trafico
234,2,drogas
235,2,lava
236,2,jato
237,2,conversa
238,2,entre
239,2,critica
240,2,rádio
241,2,chegou
242,2,senado
243,2,espanha
244,2,qualquer
245,2,momento
246,2,sabem
247,2,risco
248,2,sísmico
249,2,fazem
250,2,partes
251,2,10.000
252,2,causar
253,2,perdas
254,2,econômicas
255,2,golfo
256,2,cádiz
257,2,grandes
258,2,antecedência
259,2,milhares
260,2,evitar
261,2,cerca
262,2,diretor
263,2,teriam
264,2,tempo
265,2,evacuadas
266,2,nacional
267,2,policiais
268,2,congresso
269,2,reforma
270,2,previdência
271,2,vários
272,2,passar
273,2,confronto
274,2,joão
275,2,afastada
276,2,sempre
277,2,declarou
278,2,casal
279,2,mônica
280,2,moura
281,2,terá
282,2,juiz
283,2,federal
284,2,milhões
285,2,feito
286,2,lidar
287,2,informações
288,2,veja
289,2,eleitoral
290,2,revelar
291,2,foram
292,2,diretamente
293,2,ver
294,2,mãe
295,2,b.o
296,2,nora
297,2,vítima
298,2,depoimento
299,2,nota
300,2,motivo
301,2,queixa
302,2,empresária
303,2,acordo
304,2,ano
305,2,inteiro
306,2,nesta
307,2,matéria
308,2,discurso
309,2,apesar
310,2,redebrasil.net
311,2,chamando
312,2,bandidos
313,2,decisão
314,2,chamou
315,2,talvez
316,2,única
317,2,chamar
318,2,coletiva
319,2,promotores
320,2,aceita
321,2,fulano
322,2,ciclano
323,2,estão
324,2,age
325,2,bandido
326,2,vim
327,2,venha
328,2,netos
329,2,filhos
330,2,vão
331,2,comoção
332,2,defendendo
333,2,honra
334,2,estou
335,2,tinha
336,2,perfeito
337,2,alguma
338,2,aceito
339,2,esse
340,2,querendo
341,2,nós
342,2,virar
343,2,disso
344,2,todo
345,2,vir
346,2,andar
347,2,coisa
348,2,gente
349,2,copiloto
350,2,jornais
351,2,jovem
352,2,acidente
353,2,brasileira
354,2,estavam
355,2,coisas
356,2,importantes
357,2,linha
358,2,relatou
359,2,suas
360,2,vidas
361,2,era
362,2,deixou
363,2,todas
364,2,pessoa
365,2,três
366,2,revelou
367,2,estamos
368,2,chegar
369,2,mendes
370,2,reconhecido
371,2,passageiros
372,2,mal
373,2,mês
374,2,ruas
375,2,senhor
376,2,aqui
377,2,inferno
378,2,levar
379,2,bastou
380,2,liberdade
381,2,depor
382,2,marisa
383,2,letícia
384,2,prestem
385,2,sem
386,2,às
387,2,padre
388,2,intolerante
389,2,melo
390,2,explicou
391,2,atitude
392,2,fica
393,2,coca-cola
394,2,brasileiros
395,2,coca
396,2,esses
397,2,músicas
398,2,martins
399,2,região
400,2,coreia
401,2,norte
402,2,"3,4"
403,2,sentido
404,2,próximo
405,2,capital
406,2,havia
407,2,meteorologista
408,2,sul
409,2,poucos
410,2,meses
411,2,divulgou
412,2,comunista
413,2,mídia
414,2,reestréia
415,2,tenta
416,2,empreendedores
417,2,têm
418,2,maldosa
419,2,redes
420,2,sociais
421,2,reabertura
422,2,lado
423,2,outros
424,2,globo
425,2,bandeira
426,2,19/11
427,2,sabiam
428,2,visitar
429,2,ou
430,2,new
431,2,york
432,2,times
433,2,materia
434,2,campo
435,2,menina
436,2,colocou
437,2,atenção
438,2,zero
439,2,eleitores
440,2,sessão
441,2,recebeu
442,2,votantes
443,2,candidatos
444,1,ironiza
445,1,operação
446,1,interceptou
447,1,neves
448,1,psdb
449,1,zezé
450,1,pmdb
451,1,abril
452,1,2017.
453,1,cobra
454,1,gratidão
455,1,fato
456,1,concedido
457,1,itatiaia
458,1,contava
459,1,vantagem
460,1,lista
461,1,janot
462,1,mar
463,1,lama
464,1,assola
465,1,amanhã
466,1,citado
467,1,acha
468,1,responde
469,1,aparentemente
470,1,tom
471,1,brincadeira
472,1,minuto
473,1,3:00
474,1,áudio
475,1,atingirá
476,1,mil
477,1,morrer
478,1,prever
479,1,afirmaram
480,1,especialistas
481,1,sunday
482,1,express
483,1,mario
484,1,lopes
485,1,professor
486,1,superior
487,1,técnico
488,1,políticos
489,1,reduzido
490,1,catastrófico
491,1,ameaça
492,1,exterminar
493,1,matar
494,1,altíssimas
495,1,pesquisa
496,1,apresentada
497,1,documentário
498,1,la
499,1,gran
500,1,ola
501,1,adverte
502,1,desencadear
503,1,monstruoso
504,1,ocorrer
505,1,cientistas
506,1,acreditam
507,1,maremoto
508,1,resultante
509,1,devastar
510,1,litoral
511,1,incluindo
512,1,maiorca
513,1,benidorm
514,1,ilha
515,1,ibiza
516,1,begona
517,1,pérez
518,1,chefe
519,1,divisão
520,1,oceanografia
521,1,portos
522,1,espanhóis
523,1,relata
524,1,questão
525,1,haverá
526,1,sim
527,1,acontecerá
528,1,inevitável
529,1,perez
530,1,explica
531,1,sistemas
532,1,alerta
533,1,conseguem
534,1,detectar
535,1,chegam
536,1,costa
537,1,significa
538,1,absolutamente
539,1,morte
540,1,mortas
541,1,for
542,1,repetido
543,1,fernando
544,1,arroyo
545,1,nenhum
546,1,cientista
547,1,desencadeou
548,1,onda
549,1,devastadora
550,1,voltará
551,1,afetará
552,1,centenas
553,1,causará
554,1,altas
555,1,áreas
556,1,serem
557,1,haveria
558,1,energia
559,1,elétrica
560,1,comunicações
561,1,água
562,1,cidades
563,1,inteiras
564,1,cadiz
565,1,ms
566,1,soube
567,1,responder
568,1,luis
569,1,matias
570,1,pesquisador
571,1,tectônico
572,1,dom
573,1,várias
574,1,falhas
575,1,podem
576,1,emilio
577,1,carreno
578,1,sísmica
579,1,salvas
580,1,terreno
581,1,alto
582,1,possa
583,1,ir
584,1,invadem
585,1,protesto
586,1,x
587,1,sindicalistas
588,1,invadiram
589,1,chapelaria
590,1,senadores
591,1,deputados
592,1,entram
593,1,conseguiram
594,1,porta
595,1,principal
596,1,entraram
597,1,legislativa
598,1,protestam
599,1,imposta
600,1,temer
601,1,vídeos
602,1,diego
603,1,amorim
604,1,delações
605,1,mandar
606,1,cadeia
607,1,autorizou
608,1,declaração
609,1,dada
610,1,pernambuco
611,1,procurei
612,1,pagar
613,1,valor
614,1,achava
615,1,devia
616,1,houve
617,1,meu
618,1,conhecimento
619,1,revelação
620,1,mudam
621,1,cenário
622,1,partir
623,1,arrumar
624,1,trupe
625,1,advogados
626,1,defendê-la
627,1,disseram
628,1,us
629,1,"4,5"
630,1,engenheiro
631,1,zwi
632,1,skornick
633,1,presidencial
634,1,complicar
635,1,delação
636,1,cujas
637,1,apontam
638,1,participação
639,1,ativa
640,1,dentro
641,1,organização
642,1,criminosa
643,1,disposto
644,1,entregar
645,1,própria
646,1,promete
647,1,repasses
648,1,negociados
649,1,ela
650,1,confirme
651,1,sol
652,1,nascer
653,1,quadrado
654,1,batagini
655,1,compareceu
656,1,especializada
657,1,prestou
658,1,ocorrência
659,1,registrado
660,1,delegado
661,1,plantão
662,1,instaurou
663,1,inquérito
664,1,apurar
665,1,fatos
666,1,fazendo
667,1,diligências
668,1,localizar
669,1,testemunhas
670,1,câmeras
671,1,aconteceu
672,1,agressão
673,1,intimados
674,1,apresentar
675,1,espontaneamente
676,1,registrou
677,1,informado
678,1,portal
679,1,uai
680,1,parceiro
681,1,léo
682,1,dupla
683,1,sertaneja
684,1,bater
685,1,bagatini
686,1,grávida
687,1,deu
688,1,marido
689,1,depol
690,1,belo
691,1,horizonte
692,1,mg
693,1,submeteria
694,1,quis
695,1,esperar
696,1,embora
697,1,relato
698,1,vitor
699,1,teria
700,1,jogado
701,1,chão
702,1,dado
