rank,frequency,word
1,192,a
2,188,de
3,180,que
4,157,e
5,154,o
6,105,em
7,81,do
8,72,para
9,69,uma
10,57,da
11,48,um
12,43,com
13,38,por
14,38,não
15,31,no
16,28,na
17,28,é
18,26,dos
19,24,as
20,24,especialistas
21,23,nas
22,22,sociais
23,21,das
24,21,os
25,20,ainda
26,19,já
27,19,lula
28,18,pode
29,18,fontes
30,18,se
31,18,redes
32,17,ao
33,17,teria
34,17,mas
35,16,à
36,16,segundo
37,16,afirmam
38,16,foi
39,15,governo
40,14,sua
41,14,está
42,14,caso
43,13,política
44,13,país
45,13,direitos
46,12,políticos
47,12,surpreendente
48,12,como
49,12,documentos
50,11,mais
51,11,enquanto
52,11,ex-presidente
53,10,brasil
54,10,afirmou
55,10,próximas
56,10,além
57,10,entre
58,10,sem
59,10,informações
60,10,segurança
61,9,reviravolta
62,9,cenário
63,9,são
64,9,isso
65,9,eleitoral
66,9,pela
67,9,internas
68,9,tem
69,9,até
70,9,crise
71,8,ser
72,8,pública
73,8,paulo
74,8,disso
75,8,declarou
76,8,também
77,8,acordo
78,8,apenas
79,8,vídeo
80,7,político
81,7,entrevista
82,7,exclusiva
83,7,medidas
84,7,anos
85,7,essa
86,7,josué
87,7,garantir
88,7,reportagem
89,7,reforma
90,7,ministro
91,7,aumento
92,7,oficialmente
93,7,sido
94,7,organizações
95,7,alertam
96,7,nacional
97,7,violência
98,7,omm
99,7,indicam
100,7,desinformação
101,7,nossa
102,7,ação
103,6,perrella
104,6,durante
105,6,acusações
106,6,sistema
107,6,judiciário
108,6,estariam
109,6,investigações
110,6,judicial
111,6,medo
112,6,tse
113,6,federal
114,6,milhões
115,6,revelam
116,6,foram
117,6,cantor
118,6,entanto
119,6,este
120,6,internacionais
121,6,hospital
122,6,seus
123,6,mendes
124,6,público
125,6,graça
126,6,humanos
127,6,criança
128,6,bispo
129,5,lava
130,5,jato
131,5,operação
132,5,interesses
133,5,corrupção
134,5,suas
135,5,série
136,5,debate
137,5,nos
138,5,direito
139,5,dentro
140,5,revela
141,5,maior
142,5,história
143,5,revelou
144,5,grave
145,5,oficial
146,5,grandes
147,5,protestos
148,5,odebrecht
149,5,notícia
150,5,laudo
151,5,victor
152,5,chaves
153,5,polícia
154,5,qualquer
155,5,será
156,5,debates
157,5,imprensa
158,5,global
159,5,ocorrido
160,5,vazados
161,5,reunião
162,5,carlos
163,5,anônimas
164,5,teriam
165,5,ministério
166,5,peça
167,5,liberdade
168,5,internacional
169,5,supermercado
170,4,aécio
171,4,críticas
172,4,polêmica
173,4,revelaram
174,4,promete
175,4,últimos
176,4,mantém
177,4,expectativa
178,4,podem
179,4,gomes
180,4,candidatura
181,4,apoio
182,4,secreto
183,4,eleições
184,4,seu
185,4,democracia
186,4,tribunal
187,4,evitar
188,4,diz
189,4,padilha
190,4,semana
191,4,direta
192,4,levar
193,4,aliados
194,4,marcelo
195,4,doações
196,4,dilma
197,4,recursos
198,4,envolvidos
199,4,pronunciou
200,4,repercussão
201,4,investigação
202,4,importância
203,4,gerado
204,4,alerta
205,4,preferiram
206,4,divulgação
207,4,ações
208,4,comunidade
209,4,emergência
210,4,comerciante
211,4,infartos
212,4,episódio
213,4,silva
214,4,horas
215,4,vez
216,4,ter
217,4,eu
218,4,facebook
219,4,rede
220,4,conteúdos
221,4,onda
222,4,várias
223,4,colocando
224,4,autoridades
225,4,gilmar
226,4,suposta
227,4,grupos
228,4,mensagens
229,4,digital
230,4,teixeira
231,4,aílton
232,4,perseguido
233,4,censura
234,4,manipulação
235,4,obtidos
236,4,real
237,4,trump
238,4,kim
239,4,jong-un
240,4,encontro
241,4,equipe
242,4,hopi
243,4,hari
244,4,parque
245,4,instalação
246,4,bandeiras
247,4,vaticano
248,4,rosário
249,4,abençoado
250,4,rohter
251,4,incêndio
252,4,nicarágua
253,4,boletim
254,4,votos
255,3,zezé
256,3,proteger
257,3,muitos
258,3,vítimas
259,3,instituições
260,3,brasileiras
261,3,estaria
262,3,dois
263,3,especialmente
264,3,momento
265,3,sejam
266,3,semanas
267,3,decisão
268,3,plano
269,3,mesmo
270,3,poderá
271,3,oposição
272,3,pt
273,3,membros
274,3,superior
275,3,aprovar
276,3,previdência
277,3,eliseu
278,3,social
279,3,neste
280,3,ano
281,3,proposta
282,3,aprovação
283,3,antes
284,3,sigilo
285,3,absoluto
286,3,presidente
287,3,trabalhadores
288,3,ataque
289,3,precedentes
290,3,aos
291,3,estratégia
292,3,campanha
293,3,esquema
294,3,processo
295,3,justiça
296,3,denúncias
297,3,confiança
298,3,iml
299,3,mulher
300,3,investiga
301,3,agressão
302,3,envolvendo
303,3,graves
304,3,anteriores
305,3,sinais
306,3,física
307,3,novo
308,3,comunicado
309,3,identificar
310,3,dados
311,3,alarmante
312,3,risco
313,3,estabilidade
314,3,estamos
315,3,situação
316,3,sugerem
317,3,impactos
318,3,estão
319,3,transparência
320,3,quatro
321,3,goiânia
322,3,alta
323,3,velocidade
324,3,médicos
325,3,testemunhas
326,3,fake
327,3,news
328,3,mundo
329,3,empresa
330,3,desde
331,3,polarização
332,3,bilionário
333,3,gerou
334,3,capitais
335,3,plataformas
336,3,digitais
337,3,sob
338,3,voo
339,3,exclusivas
340,3,nova
341,3,diferentes
342,3,preocupação
343,3,estado
344,3,proteção
345,3,sigilosas
346,3,sendo
347,3,escritor
348,3,denuncia
349,3,ator
350,3,expressão
351,3,vozes
352,3,verdade
353,3,denúncia
354,3,tortura
355,3,detidos
356,3,cada
357,3,defensoria
358,3,rio
359,3,janeiro
360,3,fim
361,3,coreia
362,3,líderes
363,3,americano
364,3,completamente
365,3,atividades
366,3,exclusividade
367,3,apontam
368,3,prefeitura
369,3,movimento
370,3,amo
371,3,pontes
372,3,cidade
373,3,medida
374,3,população
375,3,gerando
376,3,pelo
377,3,papa
378,3,rapidamente
379,3,informação
380,3,religiosa
381,3,falsa
382,3,imagem
383,3,veracidade
384,3,tenha
385,3,jornalista
386,3,relação
387,3,incendiando
388,3,mostra
389,3,rolando
390,3,álvarez
391,3,detido
392,3,haddad
393,3,bolsonaro
394,2,neves
395,2,critica
396,2,declaração
397,2,brasileiro
398,2,ex-senador
399,2,duras
400,2,conhecido
401,2,declarações
402,2,credibilidade
403,2,ele
404,2,legais
405,2,esclarecer
406,2,tensão
407,2,esquentar
408,2,opinião
409,2,influenciar
410,2,popular
411,2,enfrenta
412,2,econômicos
413,2,continuará
414,2,denunciando
415,2,dessa
416,2,desdobramentos
417,2,impactar
418,2,diretamente
