rank,fakebr_human_word,fakebr_human_frequency,fakebr_machine_word,fakebr_machine_frequency,faketruebr_human_word,faketruebr_human_frequency,faketruebr_machine_word,faketruebr_machine_frequency,human_word,human_frequency,machine_word,machine_frequency
1,de,121,a,127,o,27,de,65,de,142,a,192
2,o,100,que,126,e,21,a,65,o,127,de,188
3,a,92,de,123,de,21,que,54,a,109,que,180
4,que,88,e,107,a,17,o,53,e,105,e,157
5,e,84,o,101,do,15,e,50,que,98,o,154
6,não,52,em,75,em,12,em,30,do,57,em,105
7,do,42,para,56,no,11,do,26,não,52,do,81
8,da,38,do,55,brasil,10,uma,26,da,45,para,72
9,uma,33,uma,43,que,10,com,19,em,42,uma,69
10,em,30,da,39,lula,10,da,18,uma,39,da,57
11,para,29,um,36,com,9,para,16,um,35,um,48
12,um,29,por,28,votos,9,foi,13,com,34,com,43
13,foi,26,não,26,bolsonaro,8,é,12,para,32,por,38
14,ele,25,com,24,da,7,não,12,no,32,não,38
15,os,25,no,23,urna,7,um,12,os,30,no,31
16,com,25,as,21,uma,6,por,10,foi,28,na,28
17,é,22,dos,20,um,6,na,10,na,26,é,28
18,na,21,na,18,jornalista,6,nas,10,ele,26,dos,26
19,no,21,especialistas,18,na,5,direitos,9,se,24,as,24
20,se,20,é,16,os,5,brasil,8,é,23,especialistas,24
