rank,frequency,word
1,12,disse
2,11,lula
3,10,nada
4,9,brasil
5,9,fazer
6,9,pra
7,8,onde
8,8,polícia
9,7,pessoas
10,7,terremoto
11,7,vai
12,7,ontem
13,7,parque
14,6,porque
15,6,dilma
16,6,vídeo
17,6,país
18,6,viana
19,6,advogado
20,6,lei
21,6,fábio
22,5,senador
23,5,diz
24,5,pode
25,5,lisboa
26,5,tsunami
27,5,portugal
28,5,local
29,5,campanha
30,5,moro
31,5,ainda
32,5,cantor
33,5,delegacia
34,5,imagens
35,5,família
36,5,equipe
37,5,fogo
38,4,aécio
39,4,entrevista
40,4,hoje
41,4,poderão
42,4,afirmou
43,4,poderá
44,4,grande
45,4,apenas
46,4,dizer
47,4,algumas
48,4,abaixo
49,4,santana
50,4,presidente
51,4,caixa
52,4,durante
53,4,agora
54,4,poliana
55,4,mulher
56,4,todos
57,4,anos
58,4,irmã
59,4,delegados
60,4,jorge
61,4,tá
62,4,agindo
63,4,prender
64,4,aí
65,4,primeiro
66,4,horas
67,4,avião
68,4,dono
69,4,facebook
70,4,kim
71,4,ocorreu
72,4,hopi
73,4,hari
74,3,grampo
75,3,pf
76,3,perrella
77,3,dia
78,3,ter
79,3,fonte
80,3,jornal
81,3,instituto
82,3,acontecer
83,3,mundo
84,3,tremor
85,3,luiz
86,3,rede
87,3,marcelo
88,3,odebrecht
89,3,rousseff
90,3,pagamento
91,3,dois
92,3,esposa
93,3,sérgio
94,3,petista
95,3,informou
96,3,victor
97,3,fez
98,3,exame
99,3,corpo
100,3,delito
101,3,manhã
102,3,acusado
103,3,passou
104,3,fim
105,3,assume
106,3,final
107,3,lugar
108,3,fechado
109,3,renan
110,3,ministro
111,3,decidiu
112,3,ação
113,3,deus
114,3,vivo
115,3,dar
116,3,situação
117,3,clima
118,3,sisy
119,3,arias
120,3,voo
121,3,civil
122,3,gilmar
123,3,pegou
124,3,lanchonete
125,3,latinhas
126,3,artistas
127,3,acrescentam
128,3,segundo
129,3,escala
130,3,richter
131,3,jong-un
132,3,mísseis
133,3,terremotos
134,2,faço
135,2,errado
136,2,trafico
137,2,drogas
138,2,lava
139,2,jato
140,2,conversa
141,2,rádio
142,2,chegou
143,2,senado
144,2,espanha
145,2,qualquer
146,2,momento
147,2,sabem
148,2,risco
149,2,sísmico
150,2,fazem
151,2,partes
152,2,10.000
153,2,causar
154,2,perdas
155,2,econômicas
156,2,golfo
157,2,cádiz
158,2,grandes
159,2,antecedência
160,2,milhares
161,2,evitar
162,2,cerca
163,2,diretor
164,2,tempo
165,2,evacuadas
166,2,nacional
167,2,policiais
168,2,congresso
169,2,reforma
170,2,previdência
171,2,vários
172,2,passar
173,2,confronto
174,2,joão
175,2,afastada
176,2,declarou
177,2,casal
178,2,mônica
179,2,moura
180,2,juiz
181,2,milhões
182,2,feito
183,2,lidar
184,2,informações
185,2,revelar
186,2,caso
187,2,ver
188,2,mãe
189,2,b.o
190,2,nora
191,2,vítima
192,2,depoimento
193,2,nota
194,2,queixa
195,2,empresária
196,2,acordo
197,2,ano
198,2,inteiro
199,2,nesta
200,2,matéria
201,2,discurso
202,2,ex-presidente
203,2,apesar
204,2,redebrasil.net
205,2,chamando
206,2,bandidos
207,2,decisão
208,2,talvez
209,2,olha
210,2,chamar
211,2,coletiva
212,2,promotores
213,2,aceita
214,2,fulano
215,2,ciclano
216,2,age
217,2,bandido
218,2,venha
219,2,netos
220,2,filhos
221,2,vão
222,2,comoção
223,2,defendendo
224,2,honra
225,2,perfeito
226,2,alguma
227,2,aceito
228,2,querendo
229,2,virar
230,2,disso
231,2,todo
232,2,andar
233,2,gente
234,2,copiloto
235,2,jornais
236,2,mostra
237,2,jovem
238,2,acidente
239,2,coisas
240,2,importantes
241,2,linha
242,2,relatou
243,2,vidas
244,2,deixou
245,2,todas
246,2,pessoa
247,2,três
248,2,revelou
249,2,chegar
250,2,mendes
251,2,reconhecido
252,2,passageiros
253,2,mês
254,2,senhor
255,2,aqui
256,2,inferno
257,2,levar
258,2,bastou
259,2,depor
260,2,marisa
261,2,letícia
262,2,padre
263,2,intolerante
264,2,melo
265,2,explicou
266,2,atitude
267,2,coca-cola
268,2,brasileiros
269,2,cidade
270,2,coca
271,2,músicas
272,2,martins
273,2,região
274,2,coreia
275,2,norte
276,2,"3,4"
277,2,sentido
278,2,capital
279,2,havia
280,2,meteorologista
281,2,poucos
282,2,meses
283,2,mídia
284,2,reestréia
285,2,tenta
286,2,empreendedores
287,2,maldosa
288,2,redes
289,2,sociais
290,2,reabertura
291,2,lado
292,1,ironiza
293,1,operação
294,1,interceptou
295,1,neves
296,1,psdb
297,1,zezé
298,1,pmdb
299,1,abril
300,1,2017.
301,1,cobra
302,1,gratidão
303,1,critica
304,1,fato
305,1,concedido
306,1,itatiaia
307,1,contava
308,1,vantagem
309,1,lista
310,1,janot
311,1,mar
312,1,lama
313,1,assola
314,1,amanhã
315,1,citado
316,1,acha
317,1,responde
318,1,aparentemente
319,1,tom
320,1,brincadeira
321,1,minuto
322,1,3:00
323,1,áudio
324,1,atingirá
325,1,mil
326,1,morrer
327,1,prever
328,1,afirmaram
329,1,especialistas
330,1,sunday
331,1,express
332,1,mario
333,1,lopes
334,1,professor
335,1,superior
336,1,técnico
337,1,políticos
338,1,reduzido
339,1,catastrófico
340,1,ameaça
341,1,exterminar
342,1,matar
343,1,altíssimas
344,1,pesquisa
345,1,apresentada
346,1,documentário
347,1,la
348,1,gran
349,1,ola
350,1,adverte
351,1,desencadear
352,1,monstruoso
353,1,ocorrer
354,1,cientistas
355,1,acreditam
356,1,maremoto
357,1,resultante
358,1,devastar
359,1,litoral
360,1,incluindo
361,1,maiorca
362,1,benidorm
363,1,ilha
364,1,ibiza
365,1,begona
366,1,pérez
367,1,chefe
368,1,divisão
369,1,oceanografia
370,1,portos
371,1,espanhóis
372,1,relata
373,1,questão
374,1,haverá
375,1,sim
376,1,acontecerá
377,1,inevitável
378,1,perez
379,1,explica
380,1,sistemas
381,1,alerta
382,1,conseguem
383,1,detectar
384,1,chegam
385,1,costa
386,1,significa
387,1,absolutamente
388,1,morte
389,1,mortas
390,1,repetido
391,1,fernando
392,1,arroyo
393,1,nenhum
394,1,cientista
395,1,desencadeou
396,1,onda
397,1,devastadora
398,1,voltará
399,1,afetará
400,1,centenas
401,1,causará
402,1,altas
403,1,áreas
404,1,serem
405,1,haveria
406,1,energia
407,1,elétrica
408,1,comunicações
409,1,água
410,1,cidades
411,1,inteiras
412,1,cadiz
413,1,ms
414,1,soube
415,1,responder
416,1,luis
417,1,matias
418,1,pesquisador
419,1,tectônico
420,1,dom
421,1,várias
422,1,falhas
423,1,podem
424,1,emilio
425,1,carreno
