rank,frequency,word
1,18,especialistas
2,16,ainda
3,14,pode
4,14,sociais
5,13,lula
6,12,fontes
7,12,segundo
8,11,afirmam
9,10,governo
10,10,redes
11,9,afirmou
12,9,política
13,8,surpreendente
14,8,cenário
15,8,próximas
16,8,além
17,8,enquanto
18,8,documentos
19,8,apenas
20,8,caso
21,8,crise
22,7,políticos
23,7,medidas
24,7,pública
25,7,país
26,7,josué
27,7,ex-presidente
28,7,reforma
29,7,ministro
30,7,aumento
31,7,violência
32,7,omm
33,6,perrella
34,6,reviravolta
35,6,político
36,6,entrevista
37,6,exclusiva
38,6,acusações
39,6,anos
40,6,judiciário
41,6,eleitoral
42,6,garantir
43,6,estariam
44,6,declarou
45,6,reportagem
46,6,internas
47,6,federal
48,6,informações
49,6,cantor
50,6,hospital
51,6,segurança
52,6,graça
53,5,lava
54,5,jato
55,5,corrupção
56,5,sistema
57,5,maior
58,5,investigações
59,5,disso
60,5,medo
61,5,tse
62,5,oficialmente
63,5,grandes
64,5,milhões
65,5,odebrecht
66,5,acordo
67,5,laudo
68,5,victor
69,5,chaves
70,5,polícia
71,5,global
72,5,indicam
73,5,vazados
74,5,internacionais
75,5,reunião
76,5,desinformação
77,5,ministério
78,5,público
79,5,peça
80,4,aécio
81,4,durante
82,4,interesses
83,4,revelaram
84,4,série
85,4,direito
86,4,mantém
87,4,gomes
88,4,candidatura
89,4,revela
90,4,secreto
91,4,paulo
92,4,história
93,4,revelou
94,4,judicial
95,4,grave
96,4,democracia
97,4,oficial
98,4,padilha
99,4,direta
100,4,direitos
101,4,alertam
102,4,levar
103,4,aliados
104,4,marcelo
105,4,doações
106,4,dilma
107,4,revelam
108,4,envolvidos
109,4,alerta
110,4,emergência
111,4,comerciante
112,4,infartos
113,4,carlos
114,4,facebook
115,4,rede
116,4,colocando
117,4,gilmar
118,4,mendes
119,4,mensagens
120,4,teixeira
121,4,aílton
122,4,perseguido
123,4,trump
124,4,kim
125,4,jong-un
126,4,encontro
127,4,hopi
128,4,hari
129,4,parque
130,3,zezé
131,3,polêmica
132,3,operação
133,3,proteger
134,3,vítimas
135,3,instituições
136,3,brasileiras
137,3,estaria
138,3,dois
139,3,promete
140,3,debate
141,3,últimos
142,3,dentro
143,3,expectativa
144,3,semanas
145,3,podem
146,3,apoio
147,3,plano
148,3,poderá
149,3,pt
150,3,membros
151,3,tribunal
152,3,evitar
153,3,aprovar
154,3,previdência
155,3,diz
156,3,eliseu
157,3,social
158,3,ano
159,3,proposta
160,3,semana
161,3,aprovação
162,3,sido
163,3,sigilo
164,3,absoluto
165,3,presidente
166,3,trabalhadores
167,3,organizações
168,3,protestos
169,3,precedentes
170,3,campanha
171,3,esquema
172,3,recursos
173,3,justiça
174,3,denúncias
175,3,nacional
176,3,iml
177,3,mulher
178,3,investiga
179,3,agressão
180,3,envolvendo
181,3,anteriores
182,3,qualquer
183,3,sinais
184,3,investigação
185,3,entanto
186,3,imprensa
187,3,preferiram
188,3,identificar
189,3,dados
190,3,alarmante
191,3,situação
192,3,impactos
193,3,ações
194,3,comunidade
195,3,quatro
196,3,goiânia
197,3,alta
198,3,velocidade
199,3,médicos
200,3,horas
201,3,ter
202,3,mundo
203,3,empresa
204,3,conteúdos
205,3,desde
206,3,bilionário
207,3,plataformas
208,3,digitais
209,3,sob
210,3,autoridades
211,3,voo
212,3,anônimas
213,3,grupos
214,3,estado
215,3,escritor
216,3,denuncia
217,3,censura
218,3,ator
219,3,verdade
220,3,denúncia
221,3,tortura
222,3,detidos
223,3,defensoria
224,3,rio
225,3,janeiro
226,3,real
227,3,fim
228,3,coreia
229,2,neves
230,2,critica
231,2,declaração
232,2,brasileiro
233,2,ex-senador
234,2,duras
235,2,críticas
236,2,brasil
237,2,muitos
238,2,declarações
239,2,credibilidade
240,2,legais
241,2,tensão
242,2,esquentar
243,2,opinião
244,2,influenciar
245,2,popular
246,2,momento
247,2,enfrenta
248,2,econômicos
249,2,continuará
250,2,dessa
251,2,desdobramentos
252,2,impactar
253,2,diretamente
254,2,legado
255,2,aguarda
256,2,decisão
257,2,incondicional
258,2,vitória
259,2,eleições
260,2,setores
261,2,diante
262,2,grupo
263,2,criticou
264,2,duramente
265,2,oposição
266,2,tentar
267,2,têm
268,2,representa
269,2,articulação
270,2,clandestina
271,2,superior
272,2,planeja
273,2,neste
274,2,incluirá
275,2,atuais
276,2,podemos
277,2,financeiro
278,2,previdenciário
279,2,participação
280,2,setor
281,2,pressionando
282,2,ataque
283,2,brasileiros
284,2,drasticamente
285,2,rousseff
286,2,processo
287,2,empresas
288,2,objetivo
289,2,delação
290,2,inclui
291,2,pronunciou
292,2,repercussão
293,2,intensas
294,2,analistas
295,2,destacam
296,2,revelação
297,2,profundamente
298,2,confiança
299,2,lesão
300,2,corporal
301,2,confirma
302,2,graves
303,2,física
304,2,doméstica
305,2,casos
306,2,imagina
307,2,importância
308,2,gerado
309,2,debates
310,2,novo
311,2,quente
312,2,nesta
313,2,mundial
314,2,registros
315,2,recorde
316,2,temperatura
317,2,níveis
318,2,risco
319,2,estabilidade
320,2,inédita
321,2,fatores
322,2,incluindo
323,2,poluentes
324,2,potências
325,2,eventos
326,2,naturais
327,2,enfrentar
328,2,sugerem
329,2,algumas
330,2,campanhas
331,2,transparência
332,2,total
333,2,conter
334,2,avanço
335,2,cidadãos
336,2,práticas
337,2,sobrevive
338,2,dirige
339,2,consecutivos
340,2,identificado
341,2,henrique
342,2,silva
343,2,sobreviveu
344,2,dirigir
345,2,ajuda
346,2,testemunhas
347,2,trânsito
348,2,chegar
349,2,alguns
350,2,sabia
351,2,ninguém
352,2,necessidade
353,2,responsabilidade
354,2,disseminação
355,2,fake
356,2,news
357,2,radicalismo
358,2,publicamente
359,2,zuckerberg
360,2,falsas
361,2,algoritmos
362,2,sensacionalistas
363,2,comprometer
364,2,polarização
365,2,anunciou
366,2,combater
367,2,financiar
368,2,independentes
369,2,extremistas
370,2,países
371,2,gerou
372,2,capitais
373,2,luta
374,2,hostilidade
375,2,suposta
376,2,conspiração
377,2,buscam
378,2,desestabilizar
379,2,stf
380,2,exclusivas
381,2,obtidas
382,2,ameaças
383,2,digital
384,2,ação
385,2,nova
386,2,contribuir
387,2,proteção
388,2,ousa
389,2,papel
