rank,frequency,word
1,10,brasil
2,10,lula
3,9,votos
4,8,bolsonaro
5,7,urna
6,6,jornalista
7,5,boletim
8,5,haddad
9,4,bandeiras
10,4,nao
11,4,papa
12,4,expulsou
13,4,americano
14,4,presidente
15,4,atacadão
16,3,francisco
17,3,golpe
18,3,fez
19,3,pais
20,3,larry
21,3,rohter
22,3,governo
23,3,fogo
24,3,bispo
25,3,executado
26,3,nicarágua
27,2,globo
28,2,dia
29,2,bandeira
30,2,19/11
31,2,quer
32,2,sabiam
33,2,porque
34,2,visitar
35,2,pessoas
36,2,new
37,2,york
38,2,times
39,2,materia
40,2,incêndio
41,2,campo
42,2,grande
43,2,menina
44,2,colocou
45,2,olha
46,2,bem
47,2,atenção
48,2,zero
49,2,eleitores
50,2,sessão
51,2,recebeu
52,2,votantes
53,2,candidatos
54,1,critica
55,1,ponte
56,1,pleno
57,1,revoltante
58,1,emissora
59,1,comunista
60,1,anti-patriota
61,1,fica
62,1,irritada
63,1,ruas
64,1,mudar
65,1,ensino
66,1,epoca
67,1,colegio
68,1,estudavamos
69,1,sabiamos
70,1,advogado
71,1,instala
72,1,varias
73,1,cidade
74,1,jornalistas
75,1,rede
76,1,pasmem
77,1,coisa
78,1,sao
79,1,formados
80,1,fixadas
81,1,pontes
82,1,vira
83,1,ex-presidente
84,1,prisao
85,1,confirmado
86,1,vai
87,1,vim
88,1,manha
89,1,desta
90,1,quinta
91,1,missa
92,1,santa
93,1,marta
94,1,preside
95,1,sempre
96,1,vaticano
97,1,condenou
98,1,maneira
99,1,dura
100,1,citar
101,1,nome
102,1,diretamente
103,1,descricao
104,1,perfeita
105,1,acontece
106,1,descreveu
107,1,perfeicao
108,1,situacao
109,1,brasileira
110,1,midia
111,1,comeca
112,1,falar
113,1,mal
114,1,dirigentes
115,1,calunia
116,1,difamacao
117,1,ficam
118,1,manchadas
119,1,chega
120,1,justica
121,1,condena
122,1,final
123,1,faz
124,1,estado
125,1,norte-americano
126,1,rother
127,1,the
128,1,ter
129,1,dito
130,1,bebia
131,1,demais.glenn
132,1,greenwald
133,1,chamou
134,1,fascista
135,1,cretino
136,1,ainda
137,1,divulgou
138,1,conversas
139,1,investigacao
140,1,lava-jato
141,1,adquiridas
142,1,meios
143,1,ilegais
144,1,atual
145,1,nada.qual
146,1,verdadeiro
147,1,inimigo
148,1,liberdade
149,1,imprensa
150,1,brasilo
151,1,larri
152,1,publicou
153,1,abuso
154,1,cachaca
155,1,palhaco
156,1,deportagreenwald
157,1,voce
158,1,lembra
159,1,motivo
160,1,disse
161,1,excedia
162,1,consumo
163,1,alcool.agora
164,1,apoio
165,1,deputado
166,1,federal
167,1,ameaca
168,1,seguranca
169,1,invadindo
170,1,celulares
171,1,diversas
172,1,autoridades
173,1,delinquente
174,1,internacional
175,1,continuara
176,1,agindo
177,1,livremente
178,1,merece
179,1,verde
180,1,amarelo
181,1,causada
182,1,prateleira
183,1,filha
184,1,cliente
185,1,coloca
186,1,barão
187,1,próximo
188,1,terminal
189,1,ônibus
190,1,novo
191,1,mundo
192,1,goiânia
193,1,destraido
194,1,criança
195,1,prestem
196,1,loja
197,1,mato
198,1,grosso
199,1,sul
200,1,projeto
201,1,elaborado
202,1,né…
203,1,brigada
204,1,treinada
205,1,ainda…
206,1,triste
207,1,rolando
208,1,álvarez
209,1,acontecendo
210,1,igrejas
211,1,sendo
212,1,invadidas
213,1,tendo
214,1,imagens
215,1,quebradas
216,1,esquerda
217,1,odeia
218,1,cristãos
219,1,amigo
220,1,mostra
221,1,seção
222,1,compartilha
223,1,provas
224,1,começam
225,1,vir
226,1,tona
227,1,eleições
228,1,caso
229,1,bu
230,1,eleitoral
231,1,observe
232,1,têm
233,1,apurados
234,1,única
235,1,"218,477"
236,1,votaram
237,1,9.99
238,1,nenhum…os
239,1,embaixadores
240,1,saberão
241,1,irá
242,1,mostrar
243,1,dar
244,1,brasil.
245,1,eleição
246,1,análise
247,1,números
248,1,quantos
249,1,receberam
250,1,chama
251,1,explicar
252,1,magica
253,1,caixinhas
254,1,pandora
255,1,nessa
256,1,faça
257,1,soma
258,1,veja
259,1,roubo
260,1,apenas
261,1,boletins
262,1,outros
