rank,frequency,word
1,9,direitos
2,8,brasil
3,8,redes
4,8,sociais
5,8,vídeo
6,6,fontes
7,6,país
8,6,lula
9,6,especialistas
10,6,caso
11,6,criança
12,6,bispo
13,5,afirmam
14,5,ação
15,5,humanos
16,5,políticos
17,5,governo
18,5,supermercado
19,4,instalação
20,4,bandeiras
21,4,paulo
22,4,segundo
23,4,nacional
24,4,política
25,4,pode
26,4,documentos
27,4,organizações
28,4,vaticano
29,4,rosário
30,4,abençoado
31,4,surpreendente
32,4,sido
33,4,ex-presidente
34,4,notícia
35,4,ocorrido
36,4,ainda
37,4,informações
38,4,rohter
39,4,segurança
40,4,incêndio
41,4,nicarágua
42,4,boletim
43,4,votos
44,3,prefeitura
45,3,movimento
46,3,amo
47,3,pontes
48,3,cidade
49,3,internas
50,3,medida
51,3,acordo
52,3,entanto
53,3,disso
54,3,vez
55,3,população
56,3,gerando
57,3,debates
58,3,papa
59,3,reviravolta
60,3,manipulação
61,3,equipe
62,3,rapidamente
63,3,informação
64,3,onda
65,3,religiosa
66,3,falsa
67,3,imagem
68,3,enquanto
69,3,veracidade
70,3,divulgação
71,3,jornalista
72,3,internacional
73,3,liberdade
74,3,episódio
75,3,relação
76,3,incendiando
77,3,mostra
78,3,alertam
79,3,rolando
80,3,álvarez
81,3,detido
82,3,várias
83,3,haddad
84,3,bolsonaro
85,3,eleitoral
86,2,gerado
87,2,estratégia
88,2,fortalecer
89,2,mendes
90,2,queremos
91,2,especialmente
92,2,declarou
93,2,obtidos
94,2,exclusividade
95,2,revelam
96,2,irregularidade
97,2,além
98,2,regiões
99,2,próximas
100,2,preocupação
101,2,símbolos
102,2,silva
103,2,judicial
104,2,qualquer
105,2,dentro
106,2,legalidade
107,2,acalorados
108,2,comunicação
109,2,enviado
110,2,nunca
111,2,comunicado
112,2,repercussão
113,2,desinformação
114,2,religiosos
115,2,pronunciou
116,2,indicam
117,2,diferentes
118,2,espectros
119,2,falso
120,2,americano
121,2,larry
122,2,deportação
123,2,durante
124,2,anônimas
125,2,críticas
126,2,sendo
127,2,imprensa
128,2,oficialmente
129,2,levanta
130,2,pânico
131,2,viralizou
132,2,digital
133,2,locais
134,2,importância
