rank,frequency,word
1,21,lula
2,19,brasil
3,13,disse
4,10,nada
5,9,pessoas
6,9,fazer
7,9,pra
8,9,votos
9,8,onde
10,8,porque
11,8,polícia
12,8,presidente
13,8,vai
14,8,fogo
15,8,bolsonaro
16,7,terremoto
17,7,ontem
18,7,advogado
19,7,jornalista
20,7,parque
21,7,urna
22,6,grande
23,6,dilma
24,6,ainda
25,6,fez
26,6,boletim
27,6,imagens
28,6,vídeo
29,6,país
30,6,viana
31,6,lei
32,6,fábio
33,5,senador
34,5,diz
35,5,dia
36,5,pode
37,5,lisboa
38,5,tsunami
39,5,portugal
40,5,apenas
41,5,local
42,5,campanha
43,5,moro
44,5,cantor
45,5,delegacia
46,5,família
47,5,agindo
48,5,equipe
49,5,haddad
50,4,aécio
51,4,ter
52,4,entrevista
53,4,hoje
54,4,poderão
55,4,afirmou
56,4,poderá
57,4,mundo
58,4,dizer
59,4,rede
60,4,algumas
61,4,governo
62,4,abaixo
63,4,santana
64,4,caixa
65,4,durante
66,4,agora
67,4,poliana
68,4,mulher
69,4,todos
70,4,anos
71,4,irmã
72,4,final
73,4,delegados
74,4,jorge
75,4,olha
76,4,tá
77,4,prender
78,4,aí
79,4,dar
80,4,primeiro
81,4,horas
82,4,avião
83,4,dono
84,4,facebook
85,4,kim
86,4,ocorreu
87,4,hopi
88,4,hari
89,4,bandeiras
90,4,nao
91,4,papa
92,4,expulsou
93,4,americano
94,4,atacadão
95,3,grampo
96,3,pf
97,3,perrella
98,3,fonte
99,3,jornal
100,3,instituto
101,3,acontecer
102,3,tremor
103,3,luiz
104,3,marcelo
105,3,odebrecht
106,3,rousseff
107,3,pagamento
108,3,dois
109,3,esposa
110,3,sérgio
111,3,petista
112,3,informou
113,3,caso
114,3,victor
115,3,exame
116,3,corpo
117,3,delito
118,3,manhã
119,3,acusado
120,3,passou
121,3,fim
122,3,assume
123,3,ex-presidente
124,3,lugar
125,3,fechado
126,3,renan
127,3,ministro
128,3,decidiu
129,3,ação
130,3,deus
131,3,vivo
132,3,situação
133,3,clima
134,3,sisy
135,3,arias
136,3,voo
137,3,civil
138,3,mostra
139,3,gilmar
140,3,bem
141,3,pegou
142,3,quer
143,3,lanchonete
144,3,latinhas
145,3,artistas
146,3,acrescentam
147,3,segundo
148,3,cidade
149,3,escala
150,3,richter
151,3,jong-un
152,3,mísseis
153,3,terremotos
154,3,incêndio
155,3,francisco
156,3,golpe
157,3,pais
158,3,larry
159,3,rohter
160,3,bispo
161,3,executado
162,3,nicarágua
163,2,faço
164,2,errado
165,2,trafico
166,2,drogas
167,2,lava
168,2,jato
169,2,conversa
170,2,critica
171,2,rádio
172,2,chegou
173,2,senado
174,2,espanha
175,2,qualquer
176,2,momento
177,2,sabem
178,2,risco
179,2,sísmico
180,2,fazem
181,2,partes
182,2,10.000
183,2,causar
184,2,perdas
185,2,econômicas
186,2,golfo
187,2,cádiz
188,2,grandes
189,2,antecedência
190,2,milhares
191,2,evitar
192,2,cerca
193,2,diretor
194,2,tempo
195,2,evacuadas
196,2,nacional
197,2,policiais
198,2,congresso
199,2,reforma
200,2,previdência
201,2,vários
202,2,passar
203,2,confronto
204,2,joão
205,2,afastada
206,2,sempre
207,2,declarou
208,2,casal
209,2,mônica
210,2,moura
211,2,juiz
212,2,federal
213,2,milhões
214,2,feito
215,2,lidar
216,2,informações
217,2,veja
218,2,eleitoral
219,2,revelar
220,2,diretamente
221,2,ver
222,2,mãe
223,2,b.o
224,2,nora
225,2,vítima
226,2,depoimento
227,2,nota
228,2,motivo
229,2,queixa
230,2,empresária
231,2,acordo
232,2,ano
233,2,inteiro
234,2,nesta
235,2,matéria
236,2,discurso
237,2,apesar
238,2,redebrasil.net
239,2,chamando
240,2,bandidos
241,2,decisão
242,2,chamou
243,2,talvez
244,2,única
245,2,chamar
246,2,coletiva
247,2,promotores
248,2,aceita
249,2,fulano
250,2,ciclano
251,2,age
252,2,bandido
253,2,vim
254,2,venha
255,2,netos
256,2,filhos
257,2,vão
258,2,comoção
259,2,defendendo
260,2,honra
261,2,perfeito
262,2,alguma
263,2,aceito
264,2,querendo
265,2,virar
266,2,disso
267,2,todo
268,2,vir
269,2,andar
270,2,coisa
271,2,gente
272,2,copiloto
273,2,jornais
274,2,jovem
275,2,acidente
276,2,brasileira
277,2,coisas
278,2,importantes
279,2,linha
280,2,relatou
281,2,vidas
282,2,deixou
283,2,todas
284,2,pessoa
285,2,três
286,2,revelou
287,2,chegar
288,2,mendes
289,2,reconhecido
290,2,passageiros
291,2,mal
292,2,mês
293,2,ruas
294,2,senhor
295,2,aqui
296,2,inferno
297,2,levar
298,2,bastou
299,2,liberdade
300,2,depor
301,2,marisa
302,2,letícia
303,2,prestem
304,2,padre
305,2,intolerante
306,2,melo
307,2,explicou
308,2,atitude
309,2,fica
310,2,coca-cola
311,2,brasileiros
312,2,coca
313,2,músicas
314,2,martins
315,2,região
316,2,coreia
317,2,norte
318,2,"3,4"
319,2,sentido
320,2,próximo
321,2,capital
322,2,havia
323,2,meteorologista
324,2,sul
325,2,poucos
326,2,meses
327,2,divulgou
328,2,comunista
329,2,mídia
330,2,reestréia
331,2,tenta
332,2,empreendedores
333,2,têm
334,2,maldosa
335,2,redes
336,2,sociais
337,2,reabertura
338,2,lado
339,2,outros
340,2,globo
341,2,bandeira
342,2,19/11
343,2,sabiam
344,2,visitar
345,2,new
346,2,york
347,2,times
348,2,materia
349,2,campo
350,2,menina
351,2,colocou
352,2,atenção
353,2,zero
354,2,eleitores
355,2,sessão
356,2,recebeu
357,2,votantes
358,2,candidatos
359,1,ironiza
360,1,operação
361,1,interceptou
362,1,neves
363,1,psdb
364,1,zezé
365,1,pmdb
366,1,abril
367,1,2017.
368,1,cobra
369,1,gratidão
370,1,fato
371,1,concedido
372,1,itatiaia
373,1,contava
374,1,vantagem
375,1,lista
376,1,janot
377,1,mar
378,1,lama
379,1,assola
380,1,amanhã
381,1,citado
382,1,acha
383,1,responde
384,1,aparentemente
385,1,tom
386,1,brincadeira
387,1,minuto
388,1,3:00
389,1,áudio
390,1,atingirá
391,1,mil
392,1,morrer
393,1,prever
394,1,afirmaram
395,1,especialistas
396,1,sunday
397,1,express
398,1,mario
399,1,lopes
400,1,professor
401,1,superior
402,1,técnico
403,1,políticos
404,1,reduzido
405,1,catastrófico
406,1,ameaça
407,1,exterminar
408,1,matar
409,1,altíssimas
410,1,pesquisa
411,1,apresentada
412,1,documentário
413,1,la
414,1,gran
415,1,ola
416,1,adverte
417,1,desencadear
418,1,monstruoso
419,1,ocorrer
420,1,cientistas
421,1,acreditam
422,1,maremoto
423,1,resultante
424,1,devastar
425,1,litoral
426,1,incluindo
427,1,maiorca
428,1,benidorm
429,1,ilha
430,1,ibiza
431,1,begona
432,1,pérez
433,1,chefe
434,1,divisão
435,1,oceanografia
436,1,portos
437,1,espanhóis
438,1,relata
439,1,questão
440,1,haverá
441,1,sim
442,1,acontecerá
443,1,inevitável
