rank,frequency,word
1,24,especialistas
2,22,sociais
3,20,ainda
4,19,lula
5,18,pode
6,18,fontes
7,18,redes
8,16,segundo
9,16,afirmam
10,15,governo
11,14,caso
12,13,política
13,13,país
14,13,direitos
15,12,políticos
16,12,surpreendente
17,12,documentos
18,11,enquanto
19,11,ex-presidente
20,10,brasil
21,10,afirmou
22,10,próximas
23,10,além
24,10,informações
25,10,segurança
26,9,reviravolta
27,9,cenário
28,9,eleitoral
29,9,internas
30,9,crise
31,8,pública
32,8,paulo
33,8,disso
34,8,declarou
35,8,acordo
36,8,apenas
37,8,vídeo
38,7,político
39,7,entrevista
40,7,exclusiva
41,7,medidas
42,7,anos
43,7,josué
44,7,garantir
45,7,reportagem
46,7,reforma
47,7,ministro
48,7,aumento
49,7,oficialmente
50,7,sido
51,7,organizações
52,7,alertam
53,7,nacional
54,7,violência
55,7,omm
56,7,indicam
57,7,desinformação
58,7,ação
59,6,perrella
60,6,durante
61,6,acusações
62,6,sistema
63,6,judiciário
64,6,estariam
65,6,investigações
66,6,judicial
67,6,medo
68,6,tse
69,6,federal
70,6,milhões
71,6,revelam
72,6,cantor
73,6,entanto
74,6,internacionais
75,6,hospital
76,6,mendes
77,6,público
78,6,graça
79,6,humanos
80,6,criança
81,6,bispo
82,5,lava
83,5,jato
84,5,operação
85,5,interesses
86,5,corrupção
87,5,série
88,5,debate
89,5,direito
90,5,dentro
91,5,revela
92,5,maior
93,5,história
94,5,revelou
95,5,grave
96,5,oficial
97,5,grandes
98,5,protestos
99,5,odebrecht
100,5,notícia
101,5,laudo
102,5,victor
103,5,chaves
104,5,polícia
105,5,qualquer
106,5,debates
107,5,imprensa
108,5,global
109,5,ocorrido
110,5,vazados
111,5,reunião
112,5,carlos
113,5,anônimas
114,5,ministério
115,5,peça
116,5,liberdade
117,5,internacional
118,5,supermercado
119,4,aécio
120,4,críticas
121,4,polêmica
122,4,revelaram
123,4,promete
124,4,últimos
125,4,mantém
126,4,expectativa
127,4,podem
128,4,gomes
129,4,candidatura
130,4,apoio
131,4,secreto
132,4,eleições
133,4,democracia
134,4,tribunal
135,4,evitar
136,4,diz
137,4,padilha
138,4,semana
139,4,direta
140,4,levar
141,4,aliados
142,4,marcelo
143,4,doações
144,4,dilma
145,4,recursos
146,4,envolvidos
147,4,pronunciou
148,4,repercussão
149,4,investigação
150,4,importância
151,4,gerado
152,4,alerta
153,4,preferiram
154,4,divulgação
155,4,ações
156,4,comunidade
157,4,emergência
158,4,comerciante
159,4,infartos
160,4,episódio
161,4,silva
162,4,horas
163,4,vez
164,4,ter
165,4,facebook
166,4,rede
167,4,conteúdos
168,4,onda
169,4,várias
170,4,colocando
171,4,autoridades
172,4,gilmar
173,4,suposta
174,4,grupos
175,4,mensagens
176,4,digital
177,4,teixeira
178,4,aílton
179,4,perseguido
180,4,censura
181,4,manipulação
182,4,obtidos
183,4,real
184,4,trump
185,4,kim
186,4,jong-un
187,4,encontro
188,4,equipe
189,4,hopi
190,4,hari
191,4,parque
192,4,instalação
193,4,bandeiras
194,4,vaticano
195,4,rosário
196,4,abençoado
197,4,rohter
198,4,incêndio
