rank,fakebr_human_word,fakebr_human_frequency,fakebr_machine_word,fakebr_machine_frequency,faketruebr_human_word,faketruebr_human_frequency,faketruebr_machine_word,faketruebr_machine_frequency,human_word,human_frequency,machine_word,machine_frequency
1,disse,12,especialistas,18,brasil,10,direitos,9,lula,21,especialistas,24
2,lula,11,ainda,16,lula,10,brasil,8,brasil,19,sociais,22
3,nada,10,pode,14,votos,9,redes,8,disse,13,ainda,20
4,brasil,9,sociais,14,bolsonaro,8,sociais,8,nada,10,lula,19
5,fazer,9,lula,13,urna,7,vídeo,8,pessoas,9,pode,18
6,pra,9,fontes,12,jornalista,6,fontes,6,fazer,9,fontes,18
7,onde,8,segundo,12,boletim,5,país,6,pra,9,redes,18
8,polícia,8,afirmam,11,haddad,5,lula,6,votos,9,segundo,16
9,pessoas,7,governo,10,bandeiras,4,especialistas,6,onde,8,afirmam,16
10,terremoto,7,redes,10,nao,4,caso,6,porque,8,governo,15
11,vai,7,afirmou,9,papa,4,criança,6,polícia,8,caso,14
12,ontem,7,política,9,expulsou,4,bispo,6,presidente,8,política,13
13,parque,7,surpreendente,8,americano,4,afirmam,5,vai,8,país,13
14,porque,6,cenário,8,presidente,4,ação,5,fogo,8,direitos,13
15,dilma,6,próximas,8,atacadão,4,humanos,5,bolsonaro,8,políticos,12
16,vídeo,6,além,8,francisco,3,políticos,5,terremoto,7,surpreendente,12
17,país,6,enquanto,8,golpe,3,governo,5,ontem,7,documentos,12
18,viana,6,documentos,8,fez,3,supermercado,5,advogado,7,enquanto,11
19,advogado,6,apenas,8,pais,3,instalação,4,jornalista,7,ex-presidente,11
20,lei,6,caso,8,larry,3,bandeiras,4,parque,7,brasil,10
